id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
BOBR001,BOBR,2020-01-01 00:00:00,2020.0027322,1,-1391662.80760,5971556.56775,1750910.62189,47,940888.5480,1777625.3131,16.038931363507,103.118548838094,151.3220,179.7403
BOBR002,BOBR,2020-01-02 00:00:00,2020.0054645,2,-1391662.81270,5971556.57128,1750910.62417,47,940888.5521,1777625.3142,16.038931371880,103.118548876981,151.3271,179.7454
BOBR003,BOBR,2020-01-03 00:00:00,2020.0081967,3,-1391662.80956,5971556.56826,1750910.61963,47,940888.5498,1777625.3108,16.038931341608,103.118548854839,151.3223,179.7406
BOBR004,BOBR,2020-01-04 00:00:00,2020.0109290,4,-1391662.80970,5971556.57379,1750910.62100,47,940888.5487,1777625.3105,16.038931339926,103.118548844382,151.3279,179.7462
BOBR005,BOBR,2020-01-05 00:00:00,2020.0136612,5,-1391662.81205,5971556.58084,1750910.62303,47,940888.5494,1777625.3105,16.038931339108,103.118548850783,151.3355,179.7539
BOBR006,BOBR,2020-01-06 00:00:00,2020.0163934,6,-1391662.80876,5971556.57536,1750910.62310,47,940888.5474,1777625.3122,16.038931354914,103.118548832504,151.3297,179.7480
BOBR007,BOBR,2020-01-07 00:00:00,2020.0191257,7,-1391662.80730,5971556.57171,1750910.62454,47,940888.5467,1777625.3146,16.038931377091,103.118548826924,151.3264,179.7447
BOBR008,BOBR,2020-01-08 00:00:00,2020.0218579,8,-1391662.80965,5971556.57555,1750910.62665,47,940888.5481,1777625.3155,16.038931384750,103.118548840164,151.3311,179.7494
BOBR009,BOBR,2020-01-09 00:00:00,2020.0245902,9,-1391662.80879,5971556.57200,1750910.62409,47,940888.5481,1777625.3141,16.038931371673,103.118548839889,151.3268,179.7452
BOBR010,BOBR,2020-01-10 00:00:00,2020.0273224,10,-1391662.81086,5971556.57274,1750910.62299,47,940888.5500,1777625.3127,16.038931359099,103.118548857139,151.3277,179.7460
