id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
JAHM001,JAHM,2020-01-01 00:00:00,2020.0027322,1,-1003279.83990,5959660.14221,2032774.36073,47,558607.2308,2068529.8397,18.707275620880,99.555867104204,274.9182,312.2543
JAHM002,JAHM,2020-01-02 00:00:00,2020.0054645,2,-1003279.84167,5959660.13948,2032774.35908,47,558607.2330,2068529.8390,18.707275613737,99.555867125108,274.9154,312.2515
JAHM003,JAHM,2020-01-03 00:00:00,2020.0081967,3,-1003279.84065,5959660.14269,2032774.35868,47,558607.2315,2068529.8376,18.707275601652,99.555867110486,274.9181,312.2543
JAHM004,JAHM,2020-01-04 00:00:00,2020.0109290,4,-1003279.84043,5959660.14550,2032774.35922,47,558607.2308,2068529.8372,18.707275598327,99.555867103958,274.9209,312.2570
JAHM005,JAHM,2020-01-05 00:00:00,2020.0136612,5,-1003279.83993,5959660.14555,2032774.35809,47,558607.2303,2068529.8362,18.707275588734,99.555867099283,274.9205,312.2566
JAHM006,JAHM,2020-01-06 00:00:00,2020.0163934,6,-1003279.84050,5959660.14732,2032774.36071,47,558607.2306,2068529.8381,18.707275605836,99.555867101832,274.9231,312.2592
JAHM007,JAHM,2020-01-07 00:00:00,2020.0191257,7,-1003279.84329,5959660.15407,2032774.36502,47,558607.2322,2068529.8399,18.707275622063,99.555867117277,274.9312,312.2673
JAHM008,JAHM,2020-01-08 00:00:00,2020.0218579,8,-1003279.84208,5959660.14484,2032774.36056,47,558607.2325,2068529.8386,18.707275610933,99.555867120488,274.9209,312.2571
JAHM009,JAHM,2020-01-09 00:00:00,2020.0245902,9,-1003279.84061,5959660.14604,2032774.36314,47,558607.2309,2068529.8408,18.707275630244,99.555867104851,274.9227,312.2588
JAHM010,JAHM,2020-01-10 00:00:00,2020.0273224,10,-1003279.83900,5959660.14641,2032774.36241,47,558607.2292,2068529.8401,18.707275623719,99.555867089180,274.9225,312.2587
JAHM011,JAHM,2020-01-11 00:00:00,2020.0300546,11,-1003279.84539,5959660.15708,2032774.36480,47,558607.2337,2068529.8386,18.707275610571,99.555867132106,274.9343,312.2704
JAHM012,JAHM,2020-01-12 00:00:00,2020.0327869,12,-1003279.84163,5959660.14625,2032774.36245,47,558607.2318,2068529.8400,18.707275623276,99.555867113991,274.9228,312.2589
JAHM013,JAHM,2020-01-13 00:00:00,2020.0355191,13,-1003279.84526,5959660.15051,2032774.36159,47,558607.2347,2068529.8377,18.707275601964,99.555867141300,274.9271,312.2632
JAHM014,JAHM,2020-01-14 00:00:00,2020.0382514,14,-1003279.84420,5959660.15461,2032774.36227,47,558607.2330,2068529.8371,18.707275596587,99.555867124858,274.9310,312.2671
JAHM015,JAHM,2020-01-15 00:00:00,2020.0409836,15,-1003279.84295,5959660.14773,2032774.36457,47,558607.2329,2068529.8415,18.707275636497,99.555867123994,274.9251,312.2612
JAHM016,JAHM,2020-01-16 00:00:00,2020.0437158,16,-1003279.84250,5959660.14832,2032774.36388,47,558607.2323,2068529.8407,18.707275629151,99.555867118926,274.9253,312.2615
JAHM017,JAHM,2020-01-17 00:00:00,2020.0464481,17,-1003279.84148,5959660.13878,2032774.35758,47,558607.2329,2068529.8378,18.707275602983,99.555867124382,274.9142,312.2504
JAHM018,JAHM,2020-01-18 00:00:00,2020.0491803,18,-1003279.84089,5959660.13872,2032774.35934,47,558607.2324,2068529.8395,18.707275618506,99.555867118969,274.9146,312.2508
JAHM019,JAHM,2020-01-19 00:00:00,2020.0519126,19,-1003279.84294,5959660.15138,2032774.36081,47,558607.2323,2068529.8368,18.707275593914,99.555867118183,274.9273,312.2634
JAHM020,JAHM,2020-01-20 00:00:00,2020.0546448,20,-1003279.84242,5959660.14556,2032774.36133,47,558607.2327,2068529.8391,18.707275615220,99.555867122502,274.9219,312.2581
