id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
KOGD001,KOGD,2020-01-01 00:00:00,2020.0027322,1,-1356671.04721,6098368.02677,1280387.72996,47,886290.0648,1291158.4275,11.658063011122,102.542041126235,35.9577,55.7975
KOGD002,KOGD,2020-01-02 00:00:00,2020.0054645,2,-1356671.05040,6098368.03378,1280387.72893,47,886290.0665,1291158.4250,11.658062988147,102.542041140895,35.9649,55.8047
KOGD003,KOGD,2020-01-03 00:00:00,2020.0081967,3,-1356671.04772,6098368.03326,1280387.72844,47,886290.0639,1291158.4247,11.658062985849,102.542041117908,35.9637,55.8035
KOGD004,KOGD,2020-01-04 00:00:00,2020.0109290,4,-1356671.04807,6098368.04226,1280387.72959,47,886290.0623,1291158.4240,11.658062979786,102.542041103124,35.9726,55.8125
KOGD005,KOGD,2020-01-05 00:00:00,2020.0136612,5,-1356671.04933,6098368.04194,1280387.72952,47,886290.0636,1291158.4240,11.658062979276,102.542041115013,35.9726,55.8124
KOGD006,KOGD,2020-01-06 00:00:00,2020.0163934,6,-1356671.04784,6098368.03846,1280387.72991,47,886290.0629,1291158.4251,11.658062989549,102.542041108639,35.9690,55.8088
KOGD007,KOGD,2020-01-07 00:00:00,2020.0191257,7,-1356671.05130,6098368.04147,1280387.73415,47,886290.0656,1291158.4286,11.658063020315,102.542041133633,35.9735,55.8133
KOGD008,KOGD,2020-01-08 00:00:00,2020.0218579,8,-1356671.04952,6098368.04335,1280387.73413,47,886290.0635,1291158.4282,11.658063017467,102.542041113887,35.9749,55.8147
KOGD009,KOGD,2020-01-09 00:00:00,2020.0245902,9,-1356671.04953,6098368.04558,1280387.73690,47,886290.0630,1291158.4305,11.658063038086,102.542041109551,35.9776,55.8174
KOGD010,KOGD,2020-01-10 00:00:00,2020.0273224,10,-1356671.05384,6098368.04445,1280387.73624,47,886290.0674,1291158.4299,11.658063032538,102.542041150435,35.9773,55.8171
KOGD011,KOGD,2020-01-11 00:00:00,2020.0300546,11,-1356671.05278,6098368.04562,1280387.73262,47,886290.0662,1291158.4262,11.658062998840,102.542041138551,35.9775,55.8173
KOGD012,KOGD,2020-01-12 00:00:00,2020.0327869,12,-1356671.04914,6098368.03536,1280387.73115,47,886290.0649,1291158.4269,11.658063005489,102.542041126465,35.9666,55.8064
KOGD013,KOGD,2020-01-13 00:00:00,2020.0355191,13,-1356671.05130,6098368.03731,1280387.73254,47,886290.0665,1291158.4278,11.658063013488,102.542041141891,35.9692,55.8090
KOGD014,KOGD,2020-01-14 00:00:00,2020.0382514,14,-1356671.04966,6098368.04006,1280387.73279,47,886290.0643,1291158.4276,11.658063011491,102.542041121746,35.9715,55.8113
KOGD015,KOGD,2020-01-15 00:00:00,2020.0409836,15,-1356671.05199,6098368.03763,1280387.73148,47,886290.0671,1291158.4267,11.658063003249,102.542041147437,35.9694,55.8092
KOGD016,KOGD,2020-01-16 00:00:00,2020.0437158,16,-1356671.05024,6098368.04530,1280387.73450,47,886290.0637,1291158.4282,11.658063017045,102.542041116475,35.9770,55.8168
KOGD017,KOGD,2020-01-17 00:00:00,2020.0464481,17,-1356671.04733,6098368.03720,1280387.72948,47,886290.0627,1291158.4250,11.658062988212,102.542041106548,35.9676,55.8074
KOGD018,KOGD,2020-01-18 00:00:00,2020.0491803,18,-1356671.04785,6098368.03507,1280387.72897,47,886290.0637,1291158.4249,11.658062987250,102.542041115427,35.9656,55.8054
KOGD019,KOGD,2020-01-19 00:00:00,2020.0519126,19,-1356671.05073,6098368.04508,1280387.72876,47,886290.0643,1291158.4226,11.658062966385,102.542041121308,35.9757,55.8155
KOGD020,KOGD,2020-01-20 00:00:00,2020.0546448,20,-1356671.05261,6098368.04065,1280387.72996,47,886290.0671,1291158.4246,11.658062984200,102.542041146992,35.9721,55.8119
KOGD021,KOGD,2020-01-21 00:00:00,2020.0573770,21,-1356671.04997,6098368.04447,1280387.73031,47,886290.0637,1291158.4242,11.658062981538,102.542041115699,35.9753,55.8151
KOGD022,KOGD,2020-01-22 00:00:00,2020.0601093,22,-1356671.05121,6098368.04559,1280387.73004,47,886290.0647,1291158.4237,11.658062976609,102.542041124565,35.9766,55.8164
KOGD023,KOGD,2020-01-23 00:00:00,2020.0628415,23,-1356671.05003,6098368.05197,1280387.73653,47,886290.0621,1291158.4288,11.658063023193,102.542041101307,35.9837,55.8235
KOGD024,KOGD,2020-01-24 00:00:00,2020.0655738,24,-1356671.05157,6098368.04127,1280387.73012,47,886290.0660,1291158.4246,11.658062984938,102.542041136406,35.9725,55.8124
KOGD025,KOGD,2020-01-25 00:00:00,2020.0683060,25,-1356671.05144,6098368.05158,1280387.73310,47,886290.0636,1291158.4255,11.658062992988,102.542041114688,35.9830,55.8228
KOGD026,KOGD,2020-01-26 00:00:00,2020.0710383,26,-1356671.05576,6098368.05474,1280387.73267,47,886290.0671,1291158.4243,11.658062981788,102.542041147147,35.9868,55.8266
KOGD027,KOGD,2020-01-27 00:00:00,2020.0737705,27,-1356671.05486,6098368.04719,1280387.73526,47,886290.0679,1291158.4284,11.658063018541,102.542041154102,35.9799,55.8198
KOGD028,KOGD,2020-01-28 00:00:00,2020.0765027,28,-1356671.05022,6098368.05057,1280387.73116,47,886290.0626,1291158.4238,11.658062978053,102.542041105783,35.9814,55.8212
KOGD029,KOGD,2020-01-29 00:00:00,2020.0792350,29,-1356671.05014,6098368.04901,1280387.73067,47,886290.0629,1291158.4237,11.658062976579,102.542041108160,35.9798,55.8196
