id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
LSN1167,LSN1,2020-06-15 00:00:00,2020.4562842,167,-1088138.32942,6196941.04607,1042730.29330,47,605293.7174,1047220.4973,9.472357981623,99.959198751064,8.3081,31.4067
LSN1168,LSN1,2020-06-16 00:00:00,2020.4590164,168,-1088138.33292,6196941.05020,1042730.29490,47,605293.7201,1047220.4981,9.472357988942,99.959198776000,8.3130,31.4115
LSN1172,LSN1,2020-06-20 00:00:00,2020.4699454,172,-1088138.33363,6196941.05882,1042730.29718,47,605293.7193,1047220.4990,9.472357996468,99.959198768748,8.3218,31.4204
LSN1176,LSN1,2020-06-24 00:00:00,2020.4808743,176,-1088138.33068,6196941.03694,1042730.29217,47,605293.7202,1047220.4977,9.472357984642,99.959198776756,8.2992,31.3978
LSN1178,LSN1,2020-06-26 00:00:00,2020.4863388,178,-1088138.33390,6196941.04967,1042730.29185,47,605293.7211,1047220.4952,9.472357962288,99.959198785578,8.3121,31.4107
LSN1181,LSN1,2020-06-29 00:00:00,2020.4945355,181,-1088138.32614,6196941.04748,1042730.29315,47,605293.7139,1047220.4970,9.472357979069,99.959198719432,8.3089,31.4075
LSN1186,LSN1,2020-07-04 00:00:00,2020.5081967,186,-1088138.33366,6196941.05406,1042730.29295,47,605293.7202,1047220.4956,9.472357965722,99.959198776505,8.3165,31.4151
LSN1187,LSN1,2020-07-05 00:00:00,2020.5109290,187,-1088138.33198,6196941.04151,1042730.28554,47,605293.7207,1047220.4904,9.472357918443,99.959198781180,8.3028,31.4014
LSN1190,LSN1,2020-07-08 00:00:00,2020.5191257,190,-1088138.33584,6196941.05396,1042730.29231,47,605293.7223,1047220.4949,9.472357959603,99.959198796285,8.3167,31.4153
LSN1191,LSN1,2020-07-09 00:00:00,2020.5218579,191,-1088138.33171,6196941.05240,1042730.29171,47,605293.7185,1047220.4947,9.472357957592,99.959198761637,8.3144,31.4129
LSN1192,LSN1,2020-07-10 00:00:00,2020.5245902,192,-1088138.33150,6196941.04541,1042730.29161,47,605293.7195,1047220.4957,9.472357966985,99.959198770800,8.3075,31.4061
LSN1194,LSN1,2020-07-12 00:00:00,2020.5300546,194,-1088138.33323,6196941.04834,1042730.28925,47,605293.7207,1047220.4929,9.472357941198,99.959198781717,8.3103,31.4089
LSN1195,LSN1,2020-07-13 00:00:00,2020.5327869,195,-1088138.33354,6196941.04895,1042730.29302,47,605293.7209,1047220.4965,9.472357973858,99.959198783509,8.3115,31.4101
LSN1196,LSN1,2020-07-14 00:00:00,2020.5355191,196,-1088138.33371,6196941.05322,1042730.29521,47,605293.7203,1047220.4979,9.472357987097,99.959198778341,8.3161,31.4147
LSN1197,LSN1,2020-07-15 00:00:00,2020.5382514,197,-1088138.32980,6196941.04065,1042730.28921,47,605293.7187,1047220.4942,9.472357953009,99.959198763069,8.3022,31.4008
LSN1198,LSN1,2020-07-16 00:00:00,2020.5409836,198,-1088138.33233,6196941.05133,1042730.28973,47,605293.7193,1047220.4929,9.472357941336,99.959198768872,8.3131,31.4117
LSN1199,LSN1,2020-07-17 00:00:00,2020.5437158,199,-1088138.32969,6196941.03904,1042730.29118,47,605293.7188,1047220.4964,9.472357972930,99.959198764621,8.3009,31.3995
LSN1200,LSN1,2020-07-18 00:00:00,2020.5464481,200,-1088138.33366,6196941.04793,1042730.29229,47,605293.7212,1047220.4959,9.472357968804,99.959198786222,8.3104,31.4090
