id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
NKBI178,NKBI,2020-06-26 00:00:00,2020.4863388,178,-1004107.40827,6237146.54304,874718.73545,47,516034.1371,877174.7492,7.935542074769,99.145478499046,-8.8913,12.4220
NKBI181,NKBI,2020-06-29 00:00:00,2020.4945355,181,-1004107.40145,6237146.54914,874718.73800,47,516034.1294,877174.7511,7.935542091436,99.145478429167,-8.8861,12.4273
NKBI186,NKBI,2020-07-04 00:00:00,2020.5081967,186,-1004107.40354,6237146.54326,874718.73523,47,516034.1324,877174.7491,7.935542073471,99.145478456402,-8.8919,12.4215
NKBI191,NKBI,2020-07-09 00:00:00,2020.5218579,191,-1004107.40352,6237146.54656,874718.73357,47,516034.1318,877174.7470,7.935542054495,99.145478451455,-8.8889,12.4245
NKBI195,NKBI,2020-07-13 00:00:00,2020.5327869,195,-1004107.40807,6237146.55596,874718.73792,47,516034.1348,877174.7499,7.935542081027,99.145478478673,-8.8784,12.4350
NKBI198,NKBI,2020-07-16 00:00:00,2020.5409836,198,-1004107.40046,6237146.54541,874718.73441,47,516034.1290,877174.7480,7.935542064111,99.145478425728,-8.8904,12.4230
NKBI201,NKBI,2020-07-19 00:00:00,2020.5491803,201,-1004107.40659,6237146.53100,874718.73281,47,516034.1373,877174.7483,7.935542066301,99.145478501359,-8.9037,12.4096
NKBI205,NKBI,2020-07-23 00:00:00,2020.5601093,205,-1004107.40977,6237146.52586,874718.73097,47,516034.1413,877174.7471,7.935542055505,99.145478537218,-8.9085,12.4048
NKBI207,NKBI,2020-07-25 00:00:00,2020.5655738,207,-1004107.40437,6237146.54818,874718.73386,47,516034.1324,877174.7470,7.935542054974,99.145478456724,-8.8871,12.4262
NKBI208,NKBI,2020-07-26 00:00:00,2020.5683060,208,-1004107.40461,6237146.53931,874718.73218,47,516034.1341,877174.7466,7.935542050761,99.145478471691,-8.8960,12.4174
NKBI216,NKBI,2020-08-03 00:00:00,2020.5901639,216,-1004107.40669,6237146.55053,874718.73969,47,516034.1343,877174.7524,7.935542103803,99.145478474115,-8.8837,12.4297
NKBI227,NKBI,2020-08-14 00:00:00,2020.6202186,227,-1004107.40485,6237146.53479,874718.73822,47,516034.1350,877174.7532,7.935542110426,99.145478480353,-8.8996,12.4138
NKBI229,NKBI,2020-08-16 00:00:00,2020.6256831,229,-1004107.40689,6237146.53879,874718.73301,47,516034.1364,877174.7474,7.935542058425,99.145478492806,-8.8960,12.4173
NKBI231,NKBI,2020-08-18 00:00:00,2020.6311475,231,-1004107.40658,6237146.54476,874718.73391,47,516034.1351,877174.7475,7.935542059213,99.145478481500,-8.8901,12.4232
NKBI234,NKBI,2020-08-21 00:00:00,2020.6393443,234,-1004107.40514,6237146.54055,874718.73009,47,516034.1344,877174.7443,7.935542030425,99.145478474622,-8.8950,12.4183
NKBI235,NKBI,2020-08-22 00:00:00,2020.6420765,235,-1004107.40471,6237146.55353,874718.73561,47,516034.1319,877174.7480,7.935542063934,99.145478452030,-8.8816,12.4317
NKBI238,NKBI,2020-08-25 00:00:00,2020.6502732,238,-1004107.40246,6237146.54523,874718.73520,47,516034.1310,877174.7488,7.935542070948,99.145478443882,-8.8901,12.4232
NKBI239,NKBI,2020-08-26 00:00:00,2020.6530055,239,-1004107.40383,6237146.55200,874718.73207,47,516034.1313,877174.7448,7.935542034368,99.145478446346,-8.8837,12.4296
NKBI241,NKBI,2020-08-28 00:00:00,2020.6584699,241,-1004107.40127,6237146.54478,874718.73860,47,516034.1299,877174.7523,7.935542102224,99.145478433895,-8.8903,12.4231
NKBI242,NKBI,2020-08-29 00:00:00,2020.6612022,242,-1004107.40521,6237146.52927,874718.73739,47,516034.1362,877174.7531,7.935542109710,99.145478491479,-8.9050,12.4083
NKBI257,NKBI,2020-09-13 00:00:00,2020.7021858,257,-1004107.40659,6237146.54440,874718.73499,47,516034.1352,877174.7486,7.935542069325,99.145478482092,-8.8903,12.4230
NKBI258,NKBI,2020-09-14 00:00:00,2020.7049180,258,-1004107.40518,6237146.53471,874718.73125,47,516034.1354,877174.7463,7.935542048046,99.145478483371,-8.9006,12.4128
NKBI260,NKBI,2020-09-16 00:00:00,2020.7103825,260,-1004107.40645,6237146.54217,874718.73362,47,516034.1354,877174.7476,7.935542059852,99.145478484006,-8.8927,12.4206
NKBI265,NKBI,2020-09-21 00:00:00,2020.7240437,265,-1004107.40726,6237146.54014,874718.73314,47,516034.1365,877174.7474,7.935542057878,99.145478494179,-8.8946,12.4187
NKBI266,NKBI,2020-09-22 00:00:00,2020.7267760,266,-1004107.40588,6237146.54074,874718.73150,47,516034.1351,877174.7457,7.935542042707,99.145478481027,-8.8945,12.4189
NKBI267,NKBI,2020-09-23 00:00:00,2020.7295082,267,-1004107.40961,6237146.54839,874718.73562,47,516034.1376,877174.7486,7.935542069448,99.145478503357,-8.8859,12.4275
NKBI268,NKBI,2020-09-24 00:00:00,2020.7322404,268,-1004107.40754,6237146.54346,874718.73146,47,516034.1363,877174.7452,7.935542038674,99.145478491943,-8.8916,12.4218
NKBI270,NKBI,2020-09-26 00:00:00,2020.7377049,270,-1004107.40983,6237146.54515,874718.73659,47,516034.1383,877174.7500,7.935542082033,99.145478509942,-8.8889,12.4245
NKBI278,NKBI,2020-10-04 00:00:00,2020.7595628,278,-1004107.40543,6237146.53972,874718.73290,47,516034.1348,877174.7472,7.935542056600,99.145478478392,-8.8954,12.4180
NKBI283,NKBI,2020-10-09 00:00:00,2020.7732240,283,-1004107.40746,6237146.53990,874718.73433,47,516034.1368,877174.7486,7.935542068795,99.145478496378,-8.8947,12.4187
NKBI285,NKBI,2020-10-11 00:00:00,2020.7786885,285,-1004107.40576,6237146.53368,874718.73386,47,516034.1361,877174.7490,7.935542072546,99.145478490116,-8.9011,12.4123
NKBI289,NKBI,2020-10-15 00:00:00,2020.7896175,289,-1004107.40562,6237146.53509,874718.72992,47,516034.1357,877174.7449,7.935542035585,99.145478486767,-8.9003,12.4131
NKBI293,NKBI,2020-10-19 00:00:00,2020.8005464,293,-1004107.40948,6237146.53669,874718.73341,47,516034.1393,877174.7480,7.935542064116,99.145478519082,-8.8976,12.4157
NKBI299,NKBI,2020-10-25 00:00:00,2020.8169399,299,-1004107.41145,6237146.54204,874718.73531,47,516034.1404,877174.7492,7.935542074144,99.145478528976,-8.8918,12.4215
NKBI300,NKBI,2020-10-26 00:00:00,2020.8196721,300,-1004107.40797,6237146.52572,874718.73339,47,516034.1395,877174.7495,7.935542077741,99.145478521317,-8.9086,12.4048
NKBI301,NKBI,2020-10-27 00:00:00,2020.8224044,301,-1004107.40986,6237146.53899,874718.73593,47,516034.1393,877174.7502,7.935542083716,99.145478519129,-8.8950,12.4184
NKBI315,NKBI,2020-11-10 00:00:00,2020.8606557,315,-1004107.41386,6237146.54215,874718.73399,47,516034.1427,877174.7478,7.935542061640,99.145478550437,-8.8915,12.4218
NKBI317,NKBI,2020-11-12 00:00:00,2020.8661202,317,-1004107.41322,6237146.52513,874718.73303,47,516034.1448,877174.7492,7.935542074163,99.145478569230,-8.9084,12.4050
NKBI319,NKBI,2020-11-14 00:00:00,2020.8715847,319,-1004107.41147,6237146.53987,874718.73370,47,516034.1407,877174.7479,7.935542062371,99.145478532285,-8.8942,12.4192
NKBI323,NKBI,2020-11-18 00:00:00,2020.8825137,323,-1004107.41147,6237146.53720,874718.73742,47,516034.1412,877174.7519,7.935542098934,99.145478536112,-8.8963,12.4171
NKBI324,NKBI,2020-11-19 00:00:00,2020.8852459,324,-1004107.41449,6237146.54418,874718.73810,47,516034.1430,877174.7515,7.935542095831,99.145478553081,-8.8889,12.4245
NKBI328,NKBI,2020-11-23 00:00:00,2020.8961749,328,-1004107.41337,6237146.53833,874718.73317,47,516034.1429,877174.7475,7.935542059153,99.145478551479,-8.8955,12.4179
NKBI330,NKBI,2020-11-25 00:00:00,2020.9016393,330,-1004107.41712,6237146.53491,874718.73172,47,516034.1471,877174.7464,7.935542049615,99.145478590006,-8.8984,12.4149
NKBI332,NKBI,2020-11-27 00:00:00,2020.9071038,332,-1004107.41178,6237146.54582,874718.73089,47,516034.1401,877174.7442,7.935542029803,99.145478526458,-8.8887,12.4247
