id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PJRK001,PJRK,2020-01-01 00:00:00,2020.0027322,1,-1062387.59154,6152905.10237,1297009.23512,47,586752.2388,1305846.2374,11.811617660889,99.796349962128,-11.9640,16.6833
PJRK002,PJRK,2020-01-02 00:00:00,2020.0054645,2,-1062387.59125,6152905.10529,1297009.23569,47,586752.2380,1305846.2374,11.811617660672,99.796349954972,-11.9612,16.6861
PJRK003,PJRK,2020-01-03 00:00:00,2020.0081967,3,-1062387.59207,6152905.10727,1297009.23330,47,586752.2385,1305846.2346,11.811617635608,99.796349959233,-11.9596,16.6877
PJRK004,PJRK,2020-01-04 00:00:00,2020.0109290,4,-1062387.58807,6152905.10417,1297009.23071,47,586752.2351,1305846.2328,11.811617619619,99.796349927947,-11.9638,16.6835
PJRK005,PJRK,2020-01-05 00:00:00,2020.0136612,5,-1062387.59000,6152905.10302,1297009.23227,47,586752.2371,1305846.2345,11.811617634960,99.796349947145,-11.9643,16.6831
PJRK006,PJRK,2020-01-06 00:00:00,2020.0163934,6,-1062387.59068,6152905.11040,1297009.23588,47,586752.2366,1305846.2365,11.811617653160,99.796349941811,-11.9563,16.6910
PJRK007,PJRK,2020-01-07 00:00:00,2020.0191257,7,-1062387.59156,6152905.12173,1297009.24140,47,586752.2355,1305846.2396,11.811617681112,99.796349932056,-11.9441,16.7032
PJRK008,PJRK,2020-01-08 00:00:00,2020.0218579,8,-1062387.59156,6152905.11555,1297009.23901,47,586752.2365,1305846.2385,11.811617671236,99.796349941719,-11.9505,16.6968
PJRK009,PJRK,2020-01-09 00:00:00,2020.0245902,9,-1062387.59018,6152905.11178,1297009.23606,47,586752.2358,1305846.2365,11.811617652421,99.796349935156,-11.9550,16.6923
PJRK010,PJRK,2020-01-10 00:00:00,2020.0273224,10,-1062387.58878,6152905.11377,1297009.23894,47,586752.2341,1305846.2389,11.811617674712,99.796349919397,-11.9527,16.6946
