id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PKET001,PKET,2020-01-01 00:00:00,2020.0027322,1,-922365.11067,6250473.36209,869690.38256,47,433244.0754,872144.4512,7.889627410803,98.394397583299,0.1500,24.7488
PKET002,PKET,2020-01-02 00:00:00,2020.0054645,2,-922365.11496,6250473.36239,869690.38189,47,433244.0796,872144.4504,7.889627403637,98.394397621375,0.1508,24.7496
PKET003,PKET,2020-01-03 00:00:00,2020.0081967,3,-922365.11105,6250473.35670,869690.37986,47,433244.0766,872144.4492,7.889627393216,98.394397593885,0.1444,24.7432
PKET004,PKET,2020-01-04 00:00:00,2020.0109290,4,-922365.10811,6250473.35757,869690.37688,47,433244.0735,872144.4462,7.889627365950,98.394397566338,0.1444,24.7432
PKET005,PKET,2020-01-05 00:00:00,2020.0136612,5,-922365.11237,6250473.36267,869690.38188,47,433244.0770,872144.4504,7.889627403726,98.394397597796,0.1507,24.7495
PKET006,PKET,2020-01-06 00:00:00,2020.0163934,6,-922365.11226,6250473.35628,869690.38319,47,433244.0778,872144.4526,7.889627423327,98.394397605279,0.1446,24.7434
PKET007,PKET,2020-01-07 00:00:00,2020.0191257,7,-922365.11256,6250473.35993,869690.38460,47,433244.0776,872144.4535,7.889627431447,98.394397603104,0.1484,24.7472
PKET008,PKET,2020-01-08 00:00:00,2020.0218579,8,-922365.11224,6250473.35926,869690.38207,47,433244.0774,872144.4510,7.889627409618,98.394397601175,0.1474,24.7462
PKET009,PKET,2020-01-09 00:00:00,2020.0245902,9,-922365.11113,6250473.35830,869690.38169,47,433244.0764,872144.4508,7.889627407633,98.394397592420,0.1462,24.7450
PKET010,PKET,2020-01-10 00:00:00,2020.0273224,10,-922365.11067,6250473.36585,869690.38479,47,433244.0748,872144.4529,7.889627426149,98.394397578322,0.1540,24.7528
PKET011,PKET,2020-01-11 00:00:00,2020.0300546,11,-922365.11513,6250473.35730,869690.38383,47,433244.0805,872144.4530,7.889627427243,98.394397629657,0.1461,24.7449
PKET012,PKET,2020-01-12 00:00:00,2020.0327869,12,-922365.11203,6250473.35899,869690.38221,47,433244.0772,872144.4512,7.889627411264,98.394397599667,0.1471,24.7459
PKET013,PKET,2020-01-13 00:00:00,2020.0355191,13,-922365.11250,6250473.36573,869690.38175,47,433244.0767,872144.4498,7.889627398798,98.394397594927,0.1537,24.7525
PKET014,PKET,2020-01-14 00:00:00,2020.0382514,14,-922365.11180,6250473.35677,869690.38176,47,433244.0773,872144.4511,7.889627410020,98.394397600466,0.1448,24.7437
PKET015,PKET,2020-01-15 00:00:00,2020.0409836,15,-922365.11098,6250473.34834,869690.38139,47,433244.0777,872144.4519,7.889627417178,98.394397604281,0.1364,24.7352
PKET016,PKET,2020-01-16 00:00:00,2020.0437158,16,-922365.11198,6250473.36338,869690.38533,47,433244.0765,872144.4537,7.889627433844,98.394397593373,0.1518,24.7506
PKET017,PKET,2020-01-17 00:00:00,2020.0464481,17,-922365.11153,6250473.36185,869690.38312,47,433244.0763,872144.4517,7.889627415960,98.394397591331,0.1499,24.7488
PKET018,PKET,2020-01-18 00:00:00,2020.0491803,18,-922365.10896,6250473.35050,869690.38158,47,433244.0754,872144.4518,7.889627416566,98.394397583305,0.1382,24.7371
PKET019,PKET,2020-01-19 00:00:00,2020.0519126,19,-922365.11136,6250473.36516,869690.38298,47,433244.0756,872144.4512,7.889627410718,98.394397585402,0.1531,24.7520
