id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
THAI001,THAI,2020-01-01 00:00:00,2020.0027322,1,-1150486.07621,6080853.89518,1537596.42695,47,685044.8288,1553154.1424,14.043005758272,100.713616594171,-7.2872,22.9707
THAI002,THAI,2020-01-02 00:00:00,2020.0054645,2,-1150486.08135,6080853.90320,1537596.43082,47,685044.8323,1553154.1440,14.043005772876,100.713616627184,-7.2777,22.9802
THAI003,THAI,2020-01-03 00:00:00,2020.0081967,3,-1150486.07637,6080853.90108,1537596.42756,47,685044.8278,1553154.1416,14.043005750906,100.713616585516,-7.2814,22.9765
THAI004,THAI,2020-01-04 00:00:00,2020.0109290,4,-1150486.07890,6080853.90970,1537596.42861,47,685044.8287,1553154.1404,14.043005740483,100.713616593691,-7.2725,22.9854
THAI005,THAI,2020-01-05 00:00:00,2020.0136612,5,-1150486.08025,6080853.91123,1537596.42891,47,685044.8298,1553154.1403,14.043005739240,100.713616603335,-7.2707,22.9872
THAI006,THAI,2020-01-06 00:00:00,2020.0163934,6,-1150486.07768,6080853.90682,1537596.42957,47,685044.8280,1553154.1421,14.043005755625,100.713616587487,-7.2752,22.9827
THAI007,THAI,2020-01-07 00:00:00,2020.0191257,7,-1150486.07755,6080853.91181,1537596.43307,47,685044.8270,1553154.1443,14.043005775624,100.713616577747,-7.2696,22.9883
THAI008,THAI,2020-01-08 00:00:00,2020.0218579,8,-1150486.07927,6080853.90872,1537596.43350,47,685044.8292,1553154.1454,14.043005785340,100.713616598711,-7.2721,22.9857
THAI009,THAI,2020-01-09 00:00:00,2020.0245902,9,-1150486.07910,6080853.91227,1537596.43299,47,685044.8284,1553154.1440,14.043005773265,100.713616591048,-7.2689,22.9890
THAI010,THAI,2020-01-10 00:00:00,2020.0273224,10,-1150486.07693,6080853.90980,1537596.43293,47,685044.8267,1553154.1447,14.043005778940,100.713616575580,-7.2717,22.9862
THAI011,THAI,2020-01-11 00:00:00,2020.0300546,11,-1150486.07768,6080853.91014,1537596.42930,47,685044.8274,1553154.1410,14.043005746092,100.713616581822,-7.2721,22.9858
THAI012,THAI,2020-01-12 00:00:00,2020.0327869,12,-1150486.08239,6080853.91788,1537596.43545,47,685044.8306,1553154.1450,14.043005781411,100.713616611318,-7.2624,22.9955
THAI013,THAI,2020-01-13 00:00:00,2020.0355191,13,-1150486.07864,6080853.90821,1537596.42792,47,685044.8287,1553154.1401,14.043005737717,100.713616593817,-7.2741,22.9838
THAI014,THAI,2020-01-14 00:00:00,2020.0382514,14,-1150486.07781,6080853.89941,1537596.42775,47,685044.8295,1553154.1421,14.043005755562,100.713616601438,-7.2827,22.9752
THAI015,THAI,2020-01-15 00:00:00,2020.0409836,15,-1150486.08058,6080853.90000,1537596.42994,47,685044.8321,1553154.1440,14.043005772329,100.713616625649,-7.2811,22.9768
THAI016,THAI,2020-01-16 00:00:00,2020.0437158,16,-1150486.07843,6080853.90191,1537596.42934,47,685044.8297,1553154.1430,14.043005763898,100.713616602817,-7.2798,22.9781
THAI017,THAI,2020-01-17 00:00:00,2020.0464481,17,-1150486.07742,6080853.90343,1537596.42922,47,685044.8284,1553154.1426,14.043005759926,100.713616590955,-7.2786,22.9793
THAI018,THAI,2020-01-18 00:00:00,2020.0491803,18,-1150486.07879,6080853.90206,1537596.42889,47,685044.8300,1553154.1425,14.043005759443,100.713616605820,-7.2797,22.9782
THAI019,THAI,2020-01-19 00:00:00,2020.0519126,19,-1150486.07824,6080853.90820,1537596.43004,47,685044.8283,1553154.1422,14.043005756499,100.713616590215,-7.2737,22.9842
THAI020,THAI,2020-01-20 00:00:00,2020.0546448,20,-1150486.07918,6080853.90029,1537596.42793,47,685044.8307,1553154.1420,14.043005754658,100.713616612383,-7.2815,22.9763
THAI021,THAI,2020-01-21 00:00:00,2020.0573770,21,-1150486.07755,6080853.90788,1537596.42943,47,685044.8277,1553154.1417,14.043005752128,100.713616584478,-7.2742,22.9836
