sta,doy,ydoy,ymd,x,y,z,ZONE,EOT20 Easting,N,lat,lon,ell_h,msl_h,DOY
BOBR,2020.002732,2020.1,1/1/2020 0:00,-1391662.808,5971556.568,1750910.622,47,940888.548,1777625.313,16.03893136,103.1185488,151.322,179.7403,1
BOBR,2020.005465,2020.2,1/2/2020 0:00,-1391662.813,5971556.571,1750910.624,47,940888.5521,1777625.314,16.03893137,103.1185489,151.3271,179.7454,2
BOBR,2020.008197,2020.3,1/3/2020 0:00,-1391662.81,5971556.568,1750910.62,47,940888.5498,1777625.311,16.03893134,103.1185489,151.3223,179.7406,3
BOBR,2020.010929,2020.4,1/4/2020 0:00,-1391662.81,5971556.574,1750910.621,47,940888.5487,1777625.311,16.03893134,103.1185488,151.3279,179.7462,4
BOBR,2020.013661,2020.5,1/5/2020 0:00,-1391662.812,5971556.581,1750910.623,47,940888.5494,1777625.311,16.03893134,103.1185489,151.3355,179.7539,5
BOBR,2020.016393,2020.6,1/6/2020 0:00,-1391662.809,5971556.575,1750910.623,47,940888.5474,1777625.312,16.03893135,103.1185488,151.3297,179.748,6
BOBR,2020.019126,2020.7,1/7/2020 0:00,-1391662.807,5971556.572,1750910.625,47,940888.5467,1777625.315,16.03893138,103.1185488,151.3264,179.7447,7
BOBR,2020.021858,2020.8,1/8/2020 0:00,-1391662.81,5971556.576,1750910.627,47,940888.5481,1777625.316,16.03893138,103.1185488,151.3311,179.7494,8
BOBR,2020.02459,2020.9,1/9/2020 0:00,-1391662.809,5971556.572,1750910.624,47,940888.5481,1777625.314,16.03893137,103.1185488,151.3268,179.7452,9
BOBR,2020.027322,2020.1,1/10/2020 0:00,-1391662.811,5971556.573,1750910.623,47,940888.55,1777625.313,16.03893136,103.1185489,151.3277,179.746,10
BOBR,2020.030055,2020.11,1/11/2020 0:00,-1391662.809,5971556.566,1750910.623,47,940888.5492,1777625.314,16.03893137,103.1185489,151.3212,179.7395,11
BOBR,2020.032787,2020.12,1/12/2020 0:00,-1391662.814,5971556.581,1750910.627,47,940888.5508,1777625.314,16.03893137,103.1185489,151.3374,179.7558,12
BOBR,2020.035519,2020.13,1/13/2020 0:00,-1391662.809,5971556.57,1750910.622,47,940888.5486,1777625.313,16.03893136,103.1185488,151.3242,179.7425,13
BOBR,2020.038251,2020.14,1/14/2020 0:00,-1391662.809,5971556.568,1750910.623,47,940888.5497,1777625.314,16.03893137,103.1185489,151.323,179.7413,14
BOBR,2020.040984,2020.15,1/15/2020 0:00,-1391662.812,5971556.572,1750910.623,47,940888.5516,1777625.313,16.03893136,103.1185489,151.327,179.7453,15
BOBR,2020.043716,2020.16,1/16/2020 0:00,-1391662.812,5971556.577,1750910.624,47,940888.55,1777625.312,16.03893136,103.1185489,151.3323,179.7506,16
BOBR,2020.046448,2020.17,1/17/2020 0:00,-1391662.812,5971556.577,1750910.623,47,940888.5499,1777625.311,16.03893135,103.1185489,151.3318,179.7502,17
BOBR,2020.04918,2020.18,1/18/2020 0:00,-1391662.81,5971556.569,1750910.62,47,940888.5499,1777625.311,16.03893134,103.1185489,151.3228,179.7412,18
BOBR,2020.051913,2020.19,1/19/2020 0:00,-1391662.81,5971556.567,1750910.621,47,940888.5502,1777625.313,16.03893136,103.1185489,151.3219,179.7403,19
BOBR,2020.054645,2020.2,1/20/2020 0:00,-1391662.811,5971556.573,1750910.624,47,940888.5504,1777625.314,16.03893137,103.1185489,151.3281,179.7465,20
BOBR,2020.057377,2020.21,1/21/2020 0:00,-1391662.809,5971556.572,1750910.623,47,940888.5489,1777625.313,16.03893136,103.1185488,151.3264,179.7447,21
BOBR,2020.060109,2020.22,1/22/2020 0:00,-1391662.811,5971556.58,1750910.623,47,940888.5483,1777625.31,16.03893134,103.1185488,151.3344,179.7527,22
BOBR,2020.062842,2020.23,1/23/2020 0:00,-1391662.814,5971556.581,1750910.629,47,940888.5507,1777625.316,16.03893139,103.1185489,151.3383,179.7566,23
BOBR,2020.065574,2020.24,1/24/2020 0:00,-1391662.812,5971556.57,1750910.624,47,940888.5514,1777625.314,16.03893137,103.1185489,151.3256,179.7439,24
BOBR,2020.068306,2020.25,1/25/2020 0:00,-1391662.81,5971556.587,1750910.627,47,940888.5456,1777625.312,16.03893136,103.1185488,151.3421,179.7605,25
BOBR,2020.071038,2020.26,1/26/2020 0:00,-1391662.811,5971556.566,1750910.618,47,940888.5519,1777625.31,16.03893133,103.1185489,151.3205,179.7389,26
BOBR,2020.073771,2020.27,1/27/2020 0:00,-1391662.813,5971556.582,1750910.627,47,940888.5501,1777625.314,16.03893137,103.1185489,151.338,179.7563,27
BOBR,2020.076503,2020.28,1/28/2020 0:00,-1391662.812,5971556.578,1750910.623,47,940888.5502,1777625.312,16.03893135,103.1185489,151.3328,179.7512,28
BOBR,2020.079235,2020.29,1/29/2020 0:00,-1391662.811,5971556.577,1750910.622,47,940888.5488,1777625.311,16.03893134,103.1185488,151.3311,179.7494,29
BOBR,2020.081967,2020.3,1/30/2020 0:00,-1391662.81,5971556.568,1750910.623,47,940888.5505,1777625.314,16.03893137,103.1185489,151.3235,179.7418,30
BOBR,2020.0847,2020.31,1/31/2020 0:00,-1391662.815,5971556.579,1750910.622,47,940888.5521,1777625.31,16.03893133,103.1185489,151.3345,179.7528,31
BOBR,2020.087432,2020.32,2/1/2020 0:00,-1391662.805,5971556.561,1750910.613,47,940888.5471,1777625.307,16.03893131,103.1185488,151.3132,179.7315,32
BOBR,2020.090164,2020.33,2/2/2020 0:00,-1391662.809,5971556.565,1750910.618,47,940888.5501,1777625.311,16.03893134,103.1185489,151.3191,179.7374,33
BOBR,2020.092896,2020.34,2/3/2020 0:00,-1391662.811,5971556.574,1750910.622,47,940888.5495,1777625.312,16.03893135,103.1185489,151.3287,179.747,34
BOBR,2020.095628,2020.35,2/4/2020 0:00,-1391662.812,5971556.571,1750910.621,47,940888.5513,1777625.311,16.03893134,103.1185489,151.3259,179.7442,35
BOBR,2020.098361,2020.36,2/5/2020 0:00,-1391662.808,5971556.565,1750910.623,47,940888.5488,1777625.315,16.03893138,103.1185488,151.3197,179.738,36
BOBR,2020.101093,2020.37,2/6/2020 0:00,-1391662.813,5971556.57,1750910.621,47,940888.5524,1777625.312,16.03893135,103.1185489,151.3253,179.7436,37
BOBR,2020.103825,2020.38,2/7/2020 0:00,-1391662.814,5971556.58,1750910.626,47,940888.551,1777625.314,16.03893137,103.1185489,151.3364,179.7547,38
BOBR,2020.106557,2020.39,2/8/2020 0:00,-1391662.814,5971556.582,1750910.626,47,940888.5509,1777625.313,16.03893136,103.1185489,151.3381,179.7564,39
BOBR,2020.10929,2020.4,2/9/2020 0:00,-1391662.814,5971556.575,1750910.626,47,940888.5528,1777625.315,16.03893137,103.1185489,151.331,179.7493,40
BOBR,2020.112022,2020.41,2/10/2020 0:00,-1391662.812,5971556.574,1750910.622,47,940888.551,1777625.311,16.03893135,103.1185489,151.3291,179.7474,41
BOBR,2020.114754,2020.42,2/11/2020 0:00,-1391662.813,5971556.587,1750910.623,47,940888.549,1777625.309,16.03893132,103.1185488,151.3413,179.7596,42
BOBR,2020.117486,2020.43,2/12/2020 0:00,-1391662.813,5971556.58,1750910.621,47,940888.5507,1777625.309,16.03893133,103.1185489,151.3342,179.7525,43
BOBR,2020.120219,2020.44,2/13/2020 0:00,-1391662.811,5971556.573,1750910.622,47,940888.5502,1777625.312,16.03893135,103.1185489,151.3278,179.7461,44
BOBR,2020.122951,2020.45,2/14/2020 0:00,-1391662.816,5971556.584,1750910.622,47,940888.5521,1777625.308,16.03893132,103.1185489,151.3391,179.7574,45
BOBR,2020.125683,2020.46,2/15/2020 0:00,-1391662.811,5971556.579,1750910.622,47,940888.5486,1777625.31,16.03893134,103.1185488,151.3337,179.752,46
BOBR,2020.128415,2020.47,2/16/2020 0:00,-1391662.813,5971556.57,1750910.624,47,940888.5531,1777625.314,16.03893137,103.1185489,151.326,179.7443,47
BOBR,2020.131148,2020.48,2/17/2020 0:00,-1391662.811,5971556.573,1750910.624,47,940888.5498,1777625.313,16.03893136,103.1185489,151.3279,179.7462,48
BOBR,2020.13388,2020.49,2/18/2020 0:00,-1391662.814,5971556.578,1750910.621,47,940888.5521,1777625.31,16.03893133,103.1185489,151.3326,179.751,49
BOBR,2020.136612,2020.5,2/19/2020 0:00,-1391662.811,5971556.57,1750910.62,47,940888.5505,1777625.31,16.03893134,103.1185489,151.3241,179.7425,50
BOBR,2020.139344,2020.51,2/20/2020 0:00,-1391662.814,5971556.574,1750910.621,47,940888.5529,1777625.31,16.03893134,103.1185489,151.3292,179.7475,51
BOBR,2020.142077,2020.52,2/21/2020 0:00,-1391662.814,5971556.571,1750910.624,47,940888.5537,1777625.314,16.03893137,103.1185489,151.3268,179.7452,52
BOBR,2020.144809,2020.53,2/22/2020 0:00,-1391662.812,5971556.573,1750910.623,47,940888.5509,1777625.313,16.03893136,103.1185489,151.3281,179.7465,53
BOBR,2020.147541,2020.54,2/23/2020 0:00,-1391662.813,5971556.571,1750910.62,47,940888.5526,1777625.31,16.03893133,103.1185489,151.3256,179.7439,54
BOBR,2020.150273,2020.55,2/24/2020 0:00,-1391662.815,5971556.577,1750910.622,47,940888.5531,1777625.31,16.03893134,103.1185489,151.3325,179.7508,55
BOBR,2020.153006,2020.56,2/25/2020 0:00,-1391662.815,5971556.58,1750910.618,47,940888.5528,1777625.306,16.0389313,103.1185489,151.3338,179.7521,56
BOBR,2020.155738,2020.57,2/26/2020 0:00,-1391662.813,5971556.573,1750910.621,47,940888.5524,1777625.311,16.03893134,103.1185489,151.3278,179.7461,57
BOBR,2020.15847,2020.58,2/27/2020 0:00,-1391662.813,5971556.576,1750910.623,47,940888.5509,1777625.312,16.03893135,103.1185489,151.3315,179.7499,58
