id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
BOBR001,BOBR,2020-01-01 00:00:00,2020.0027322,1,-1391662.80760,5971556.56776,1750910.62190,47,940888.5480,1777625.3132,16.038931363611,103.118548838061,151.3220,179.7403
BOBR002,BOBR,2020-01-02 00:00:00,2020.0054645,2,-1391662.81269,5971556.57127,1750910.62418,47,940888.5521,1777625.3142,16.038931371948,103.118548876941,151.3270,179.7454
BOBR003,BOBR,2020-01-03 00:00:00,2020.0081967,3,-1391662.80955,5971556.56823,1750910.61963,47,940888.5498,1777625.3108,16.038931341607,103.118548854853,151.3223,179.7406
BOBR004,BOBR,2020-01-04 00:00:00,2020.0109290,4,-1391662.80970,5971556.57375,1750910.62098,47,940888.5487,1777625.3105,16.038931339880,103.118548844435,151.3278,179.7462
BOBR005,BOBR,2020-01-05 00:00:00,2020.0136612,5,-1391662.81205,5971556.58080,1750910.62301,47,940888.5494,1777625.3105,16.038931339006,103.118548850858,151.3355,179.7538
BOBR007,BOBR,2020-01-07 00:00:00,2020.0191257,7,-1391662.80712,5971556.57123,1750910.62443,47,940888.5467,1777625.3147,16.038931377429,103.118548826304,151.3259,179.7442
BOBR010,BOBR,2020-01-10 00:00:00,2020.0273224,10,-1391662.81062,5971556.57232,1750910.62291,47,940888.5499,1777625.3127,16.038931359529,103.118548855873,151.3272,179.7455
BOBR012,BOBR,2020-01-12 00:00:00,2020.0327869,12,-1391662.81366,5971556.58140,1750910.62674,47,940888.5508,1777625.3138,16.038931369063,103.118548864262,151.3374,179.7558
BOBR013,BOBR,2020-01-13 00:00:00,2020.0355191,13,-1391662.80868,5971556.56985,1750910.62208,47,940888.5485,1777625.3127,16.038931359441,103.118548843425,151.3243,179.7426
BOBR014,BOBR,2020-01-14 00:00:00,2020.0382514,14,-1391662.80946,5971556.56836,1750910.62283,47,940888.5496,1777625.3138,16.038931369210,103.118548853714,151.3232,179.7416
BOBR015,BOBR,2020-01-15 00:00:00,2020.0409836,15,-1391662.81218,5971556.57138,1750910.62337,47,940888.5516,1777625.3134,16.038931364981,103.118548872020,151.3268,179.7451
BOBR016,BOBR,2020-01-16 00:00:00,2020.0437158,16,-1391662.81184,5971556.57714,1750910.62394,47,940888.5500,1777625.3124,16.038931356121,103.118548856728,151.3323,179.7506
BOBR017,BOBR,2020-01-17 00:00:00,2020.0464481,17,-1391662.81174,5971556.57698,1750910.62286,47,940888.5499,1777625.3114,16.038931347176,103.118548856180,151.3318,179.7501
BOBR018,BOBR,2020-01-18 00:00:00,2020.0491803,18,-1391662.80978,5971556.56863,1750910.62012,47,940888.5499,1777625.3111,16.038931344784,103.118548856041,151.3228,179.7411
BOBR021,BOBR,2020-01-21 00:00:00,2020.0573770,21,-1391662.80965,5971556.57216,1750910.62261,47,940888.5490,1777625.3125,16.038931357931,103.118548847394,151.3268,179.7451
BOBR023,BOBR,2020-01-23 00:00:00,2020.0628415,23,-1391662.81367,5971556.58146,1750910.62940,47,940888.5507,1777625.3164,16.038931392001,103.118548864191,151.3382,179.7566
