id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
JAHM001,JAHM,2020-01-01 00:00:00,2020.0027322,1,-1003279.83989,5959660.14222,2032774.36074,47,558607.2308,2068529.8397,18.707275620927,99.555867104142,274.9182,312.2544
JAHM002,JAHM,2020-01-02 00:00:00,2020.0054645,2,-1003279.84167,5959660.13949,2032774.35908,47,558607.2330,2068529.8390,18.707275613739,99.555867125086,274.9154,312.2516
JAHM003,JAHM,2020-01-03 00:00:00,2020.0081967,3,-1003279.84065,5959660.14269,2032774.35868,47,558607.2315,2068529.8376,18.707275601666,99.555867110472,274.9181,312.2542
JAHM004,JAHM,2020-01-04 00:00:00,2020.0109290,4,-1003279.84021,5959660.14414,2032774.35828,47,558607.2308,2068529.8368,18.707275594255,99.555867104040,274.9193,312.2554
JAHM005,JAHM,2020-01-05 00:00:00,2020.0136612,5,-1003279.83994,5959660.14554,2032774.35807,47,558607.2303,2068529.8362,18.707275588611,99.555867099347,274.9205,312.2566
JAHM006,JAHM,2020-01-06 00:00:00,2020.0163934,6,-1003279.84051,5959660.14731,2032774.36068,47,558607.2306,2068529.8381,18.707275605646,99.555867101907,274.9230,312.2592
JAHM007,JAHM,2020-01-07 00:00:00,2020.0191257,7,-1003279.84330,5959660.15403,2032774.36497,47,558607.2322,2068529.8398,18.707275621780,99.555867117424,274.9311,312.2673
JAHM008,JAHM,2020-01-08 00:00:00,2020.0218579,8,-1003279.84208,5959660.14480,2032774.36053,47,558607.2325,2068529.8386,18.707275610729,99.555867120529,274.9209,312.2570
JAHM009,JAHM,2020-01-09 00:00:00,2020.0245902,9,-1003279.84059,5959660.14599,2032774.36311,47,558607.2308,2068529.8408,18.707275630115,99.555867104701,274.9226,312.2587
JAHM010,JAHM,2020-01-10 00:00:00,2020.0273224,10,-1003279.83929,5959660.14566,2032774.36205,47,558607.2296,2068529.8399,18.707275622662,99.555867093045,274.9218,312.2579
JAHM011,JAHM,2020-01-11 00:00:00,2020.0300546,11,-1003279.84537,5959660.15704,2032774.36477,47,558607.2337,2068529.8386,18.707275610453,99.555867132030,274.9342,312.2704
JAHM013,JAHM,2020-01-13 00:00:00,2020.0355191,13,-1003279.84523,5959660.15056,2032774.36164,47,558607.2347,2068529.8377,18.707275602264,99.555867140920,274.9271,312.2633
JAHM014,JAHM,2020-01-14 00:00:00,2020.0382514,14,-1003279.84416,5959660.15464,2032774.36230,47,558607.2329,2068529.8371,18.707275596814,99.555867124442,274.9310,312.2671
JAHM018,JAHM,2020-01-18 00:00:00,2020.0491803,18,-1003279.84090,5959660.13873,2032774.35931,47,558607.2324,2068529.8395,18.707275618261,99.555867119006,274.9147,312.2508
JAHM019,JAHM,2020-01-19 00:00:00,2020.0519126,19,-1003279.84294,5959660.15132,2032774.36073,47,558607.2323,2068529.8367,18.707275593387,99.555867118295,274.9272,312.2633
JAHM020,JAHM,2020-01-20 00:00:00,2020.0546448,20,-1003279.84243,5959660.14551,2032774.36129,47,558607.2328,2068529.8391,18.707275615060,99.555867122696,274.9219,312.2580
JAHM021,JAHM,2020-01-21 00:00:00,2020.0573770,21,-1003279.83928,5959660.13772,2032774.35549,47,558607.2309,2068529.8362,18.707275589170,99.555867105458,274.9122,312.2484
JAHM024,JAHM,2020-01-24 00:00:00,2020.0655738,24,-1003279.83894,5959660.14584,2032774.36448,47,558607.2292,2068529.8422,18.707275643068,99.555867089550,274.9226,312.2588
JAHM025,JAHM,2020-01-25 00:00:00,2020.0683060,25,-1003279.83945,5959660.14495,2032774.36452,47,558607.2299,2068529.8425,18.707275645707,99.555867095693,274.9219,312.2580
JAHM027,JAHM,2020-01-27 00:00:00,2020.0737705,27,-1003279.84316,5959660.14461,2032774.36449,47,558607.2336,2068529.8424,18.707275644620,99.555867130932,274.9222,312.2583
JAHM028,JAHM,2020-01-28 00:00:00,2020.0765027,28,-1003279.84122,5959660.13682,2032774.35576,47,558607.2330,2068529.8367,18.707275593192,99.555867125042,274.9118,312.2479
JAHM029,JAHM,2020-01-29 00:00:00,2020.0792350,29,-1003279.84318,5959660.14741,2032774.36262,47,558607.2332,2068529.8397,18.707275620597,99.555867126698,274.9242,312.2603
JAHM030,JAHM,2020-01-30 00:00:00,2020.0819672,30,-1003279.84164,5959660.13821,2032774.36223,47,558607.2332,2068529.8423,18.707275644365,99.555867126801,274.9152,312.2514
JAHM031,JAHM,2020-01-31 00:00:00,2020.0846995,31,-1003279.84522,5959660.14283,2032774.35799,47,558607.2359,2068529.8367,18.707275593089,99.555867152935,274.9187,312.2549
JAHM032,JAHM,2020-02-01 00:00:00,2020.0874317,32,-1003279.84105,5959660.14429,2032774.36062,47,558607.2316,2068529.8389,18.707275613513,99.555867111655,274.9203,312.2564
JAHM033,JAHM,2020-02-02 00:00:00,2020.0901639,33,-1003279.84247,5959660.14766,2032774.35949,47,558607.2324,2068529.8367,18.707275593437,99.555867119631,274.9233,312.2594
JAHM034,JAHM,2020-02-03 00:00:00,2020.0928962,34,-1003279.83960,5959660.13268,2032774.36089,47,558607.2321,2068529.8429,18.707275649647,99.555867116389,274.9093,312.2454
JAHM035,JAHM,2020-02-04 00:00:00,2020.0956284,35,-1003279.84518,5959660.15093,2032774.36143,47,558607.2346,2068529.8374,18.707275599388,99.555867139886,274.9274,312.2635
JAHM036,JAHM,2020-02-05 00:00:00,2020.0983607,36,-1003279.84125,5959660.14549,2032774.36553,47,558607.2316,2068529.8432,18.707275651983,99.555867111686,274.9230,312.2592
JAHM037,JAHM,2020-02-06 00:00:00,2020.1010929,37,-1003279.84250,5959660.15087,2032774.36640,47,558607.2319,2068529.8422,18.707275643424,99.555867114848,274.9285,312.2647
JAHM038,JAHM,2020-02-07 00:00:00,2020.1038251,38,-1003279.84287,5959660.14013,2032774.36023,47,558607.2341,2068529.8398,18.707275621113,99.555867135283,274.9166,312.2527
JAHM039,JAHM,2020-02-08 00:00:00,2020.1065574,39,-1003279.84473,5959660.15262,2032774.36538,47,558607.2338,2068529.8406,18.707275628600,99.555867133008,274.9302,312.2663
JAHM040,JAHM,2020-02-09 00:00:00,2020.1092896,40,-1003279.84418,5959660.15055,2032774.36703,47,558607.2336,2068529.8429,18.707275648953,99.555867131058,274.9287,312.2648
JAHM041,JAHM,2020-02-10 00:00:00,2020.1120219,41,-1003279.84189,5959660.14758,2032774.35744,47,558607.2319,2068529.8348,18.707275576410,99.555867114357,274.9225,312.2586
JAHM042,JAHM,2020-02-11 00:00:00,2020.1147541,42,-1003279.83971,5959660.14193,2032774.35902,47,558607.2307,2068529.8382,18.707275607159,99.555867102923,274.9174,312.2535
JAHM043,JAHM,2020-02-12 00:00:00,2020.1174863,43,-1003279.84181,5959660.14487,2032774.35924,47,558607.2323,2068529.8374,18.707275599653,99.555867117928,274.9205,312.2567
JAHM044,JAHM,2020-02-13 00:00:00,2020.1202186,44,-1003279.84097,5959660.14162,2032774.36023,47,558607.2319,2068529.8394,18.707275617768,99.555867115096,274.9177,312.2538
JAHM045,JAHM,2020-02-14 00:00:00,2020.1229508,45,-1003279.84006,5959660.14652,2032774.35997,47,558607.2302,2068529.8377,18.707275602050,99.555867098920,274.9220,312.2581
