id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
KOGD001,KOGD,2020-01-01 00:00:00,2020.0027322,1,-1356671.04716,6098368.02667,1280387.72994,47,886290.0648,1291158.4275,11.658063011098,102.542041126005,35.9576,55.7974
KOGD003,KOGD,2020-01-03 00:00:00,2020.0081967,3,-1356671.04765,6098368.03308,1280387.72838,47,886290.0639,1291158.4247,11.658062985614,102.542041117664,35.9635,55.8033
KOGD004,KOGD,2020-01-04 00:00:00,2020.0109290,4,-1356671.04800,6098368.04207,1280387.72951,47,886290.0623,1291158.4240,11.658062979482,102.542041102910,35.9724,55.8122
KOGD005,KOGD,2020-01-05 00:00:00,2020.0136612,5,-1356671.04928,6098368.04177,1280387.72944,47,886290.0636,1291158.4240,11.658062978896,102.542041114888,35.9724,55.8122
KOGD006,KOGD,2020-01-06 00:00:00,2020.0163934,6,-1356671.04626,6098368.03901,1280387.73434,47,886290.0612,1291158.4294,11.658063028442,102.542041093364,35.9701,55.8099
KOGD007,KOGD,2020-01-07 00:00:00,2020.0191257,7,-1356671.05132,6098368.04147,1280387.73411,47,886290.0656,1291158.4285,11.658063019984,102.542041133822,35.9735,55.8133
KOGD008,KOGD,2020-01-08 00:00:00,2020.0218579,8,-1356671.04784,6098368.04815,1280387.73889,47,886290.0607,1291158.4320,11.658063051737,102.542041089300,35.9801,55.8199
KOGD009,KOGD,2020-01-09 00:00:00,2020.0245902,9,-1356671.04657,6098368.04654,1280387.74880,47,886290.0597,1291158.4421,11.658063142904,102.542041081162,35.9803,55.8201
KOGD010,KOGD,2020-01-10 00:00:00,2020.0273224,10,-1356671.05392,6098368.04468,1280387.73631,47,886290.0675,1291158.4300,11.658063032727,102.542041150703,35.9776,55.8174
KOGD011,KOGD,2020-01-11 00:00:00,2020.0300546,11,-1356671.05289,6098368.04611,1280387.73281,47,886290.0662,1291158.4263,11.658062999567,102.542041138594,35.9780,55.8178
KOGD012,KOGD,2020-01-12 00:00:00,2020.0327869,12,-1356671.04924,6098368.03564,1280387.73126,47,886290.0649,1291158.4270,11.658063005922,102.542041126775,35.9669,55.8067
KOGD013,KOGD,2020-01-13 00:00:00,2020.0355191,13,-1356671.05135,6098368.03787,1280387.73277,47,886290.0664,1291158.4279,11.658063014546,102.542041141192,35.9698,55.8096
KOGD017,KOGD,2020-01-17 00:00:00,2020.0464481,17,-1356671.04729,6098368.03706,1280387.72942,47,886290.0627,1291158.4249,11.658062987891,102.542041106468,35.9675,55.8073
KOGD018,KOGD,2020-01-18 00:00:00,2020.0491803,18,-1356671.04783,6098368.03494,1280387.72890,47,886290.0637,1291158.4248,11.658062986830,102.542041115506,35.9655,55.8053
KOGD019,KOGD,2020-01-19 00:00:00,2020.0519126,19,-1356671.05073,6098368.04500,1280387.72869,47,886290.0644,1291158.4225,11.658062965974,102.542041121490,35.9756,55.8154
KOGD020,KOGD,2020-01-20 00:00:00,2020.0546448,20,-1356671.05264,6098368.04063,1280387.72992,47,886290.0672,1291158.4245,11.658062983823,102.542041147319,35.9721,55.8119
KOGD021,KOGD,2020-01-21 00:00:00,2020.0573770,21,-1356671.05001,6098368.04449,1280387.73029,47,886290.0637,1291158.4242,11.658062981265,102.542041116063,35.9753,55.8151
KOGD023,KOGD,2020-01-23 00:00:00,2020.0628415,23,-1356671.05008,6098368.05207,1280387.73654,47,886290.0621,1291158.4288,11.658063023064,102.542041101543,35.9838,55.8237
KOGD024,KOGD,2020-01-24 00:00:00,2020.0655738,24,-1356671.05170,6098368.04169,1280387.73016,47,886290.0660,1291158.4246,11.658062984455,102.542041136716,35.9730,55.8128
KOGD025,KOGD,2020-01-25 00:00:00,2020.0683060,25,-1356671.05145,6098368.05165,1280387.73313,47,886290.0636,1291158.4255,11.658062993110,102.542041114684,35.9831,55.8229
KOGD026,KOGD,2020-01-26 00:00:00,2020.0710383,26,-1356671.05576,6098368.05477,1280387.73269,47,886290.0671,1291158.4243,11.658062981921,102.542041147026,35.9869,55.8267
KOGD027,KOGD,2020-01-27 00:00:00,2020.0737705,27,-1356671.05484,6098368.04717,1280387.73526,47,886290.0678,1291158.4284,11.658063018569,102.542041153911,35.9799,55.8197
KOGD029,KOGD,2020-01-29 00:00:00,2020.0792350,29,-1356671.05007,6098368.04887,1280387.73063,47,886290.0629,1291158.4237,11.658062976440,102.542041107823,35.9796,55.8194
KOGD030,KOGD,2020-01-30 00:00:00,2020.0819672,30,-1356671.05574,6098368.04527,1280387.73173,47,886290.0692,1291158.4253,11.658062990372,102.542041165813,35.9776,55.8174
KOGD031,KOGD,2020-01-31 00:00:00,2020.0846995,31,-1356671.05332,6098368.03255,1280387.72581,47,886290.0696,1291158.4221,11.658062961581,102.542041169410,35.9637,55.8035
KOGD033,KOGD,2020-02-02 00:00:00,2020.0901639,33,-1356671.05204,6098368.03316,1280387.72639,47,886290.0682,1291158.4226,11.658062966177,102.542041156734,35.9641,55.8039
KOGD034,KOGD,2020-02-03 00:00:00,2020.0928962,34,-1356671.05306,6098368.03173,1280387.72634,47,886290.0695,1291158.4228,11.658062967881,102.542041168787,35.9630,55.8028
KOGD035,KOGD,2020-02-04 00:00:00,2020.0956284,35,-1356671.05022,6098368.03723,1280387.73434,47,886290.0655,1291158.4296,11.658063030044,102.542041132341,35.9692,55.8091
KOGD036,KOGD,2020-02-05 00:00:00,2020.0983607,36,-1356671.04900,6098368.03521,1280387.73748,47,886290.0647,1291158.4332,11.658063061915,102.542041125512,35.9677,55.8075
KOGD037,KOGD,2020-02-06 00:00:00,2020.1010929,37,-1356671.04999,6098368.03903,1280387.73001,47,886290.0649,1291158.4250,11.658062988510,102.542041126771,35.9700,55.8099
KOGD038,KOGD,2020-02-07 00:00:00,2020.1038251,38,-1356671.04940,6098368.03981,1280387.73378,47,886290.0641,1291158.4286,11.658063020801,102.542041119880,35.9714,55.8112
KOGD039,KOGD,2020-02-08 00:00:00,2020.1065574,39,-1356671.04770,6098368.01056,1280387.73435,47,886290.0687,1291158.4351,11.658063078615,102.542041162952,35.9432,55.7830
KOGD040,KOGD,2020-02-09 00:00:00,2020.1092896,40,-1356671.05270,6098368.03985,1280387.73304,47,886290.0673,1291158.4278,11.658063012820,102.542041149376,35.9720,55.8118
KOGD041,KOGD,2020-02-10 00:00:00,2020.1120219,41,-1356671.05069,6098368.04086,1280387.72853,47,886290.0652,1291158.4232,11.658062971879,102.542041129330,35.9716,55.8115
KOGD042,KOGD,2020-02-11 00:00:00,2020.1147541,42,-1356671.04993,6098368.04215,1280387.72876,47,886290.0642,1291158.4232,11.658062971978,102.542041119982,35.9728,55.8126
KOGD043,KOGD,2020-02-12 00:00:00,2020.1174863,43,-1356671.05112,6098368.03361,1280387.72520,47,886290.0672,1291158.4214,11.658062955185,102.542041147637,35.9641,55.8039
KOGD044,KOGD,2020-02-13 00:00:00,2020.1202186,44,-1356671.05070,6098368.03355,1280387.72803,47,886290.0668,1291158.4242,11.658062980507,102.542041144025,35.9646,55.8044
KOGD045,KOGD,2020-02-14 00:00:00,2020.1229508,45,-1356671.05502,6098368.04263,1280387.72650,47,886290.0691,1291158.4207,11.658062949086,102.542041164603,35.9739,55.8137
KOGD046,KOGD,2020-02-15 00:00:00,2020.1256831,46,-1356671.05050,6098368.03676,1280387.73124,47,886290.0659,1291158.4267,11.658063003239,102.542041135851,35.9682,55.8080
KOGD047,KOGD,2020-02-16 00:00:00,2020.1284153,47,-1356671.05391,6098368.04777,1280387.73033,47,886290.0669,1291158.4235,11.658062974231,102.542041144400,35.9793,55.8191
KOGD048,KOGD,2020-02-17 00:00:00,2020.1311475,48,-1356671.04827,6098368.03164,1280387.72958,47,886290.0648,1291158.4262,11.658062998634,102.542041126019,35.9625,55.8023
KOGD053,KOGD,2020-02-22 00:00:00,2020.1448087,53,-1356671.05054,6098368.02978,1280387.72781,47,886290.0675,1291158.4247,11.658062985344,102.542041150114,35.9609,55.8007
KOGD054,KOGD,2020-02-23 00:00:00,2020.1475410,54,-1356671.05061,6098368.02787,1280387.72741,47,886290.0679,1291158.4247,11.658062985204,102.542041154519,35.9590,55.7988
KOGD055,KOGD,2020-02-24 00:00:00,2020.1502732,55,-1356671.05418,6098368.03304,1280387.72743,47,886290.0703,1291158.4236,11.658062974682,102.542041176144,35.9647,55.8045
KOGD057,KOGD,2020-02-26 00:00:00,2020.1557377,57,-1356671.05391,6098368.02808,1280387.72655,47,886290.0711,1291158.4237,11.658062975911,102.542041183638,35.9597,55.7995
KOGD059,KOGD,2020-02-28 00:00:00,2020.1612022,59,-1356671.05560,6098368.03322,1280387.72712,47,886290.0717,1291158.4232,11.658062971094,102.542041188555,35.9651,55.8049
KOGD061,KOGD,2020-03-01 00:00:00,2020.1666667,61,-1356671.05626,6098368.04305,1280387.72945,47,886290.0702,1291158.4235,11.658062973973,102.542041174880,35.9751,55.8149
KOGD062,KOGD,2020-03-02 00:00:00,2020.1693989,62,-1356671.05432,6098368.04268,1280387.72542,47,886290.0684,1291158.4197,11.658062939711,102.542041158265,35.9735,55.8133
KOGD063,KOGD,2020-03-03 00:00:00,2020.1721311,63,-1356671.05850,6098368.04506,1280387.72693,47,886290.0720,1291158.4205,11.658062947149,102.542041190894,35.9770,55.8168
KOGD064,KOGD,2020-03-04 00:00:00,2020.1748634,64,-1356671.05517,6098368.04284,1280387.72960,47,886290.0692,1291158.4237,11.658062976059,102.542041165533,35.9747,55.8145
KOGD065,KOGD,2020-03-05 00:00:00,2020.1775956,65,-1356671.05794,6098368.05047,1280387.73125,47,886290.0702,1291158.4237,11.658062976015,102.542041175138,35.9829,55.8227
KOGD066,KOGD,2020-03-06 00:00:00,2020.1803279,66,-1356671.05525,6098368.04954,1280387.73123,47,886290.0678,1291158.4240,11.658062978511,102.542041152925,35.9815,55.8213
KOGD067,KOGD,2020-03-07 00:00:00,2020.1830601,67,-1356671.05621,6098368.04529,1280387.72935,47,886290.0697,1291158.4229,11.658062969058,102.542041169950,35.9772,55.8170
KOGD068,KOGD,2020-03-08 00:00:00,2020.1857923,68,-1356671.05572,6098368.04579,1280387.73248,47,886290.0690,1291158.4259,11.658062996076,102.542041164576,35.9782,55.8180
