id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
LSN1167,LSN1,2020-06-15 00:00:00,2020.4562842,167,-1088138.32945,6196941.04586,1042730.29329,47,605293.7174,1047220.4974,9.472357981837,99.959198751665,8.3079,31.4065
LSN1168,LSN1,2020-06-16 00:00:00,2020.4590164,168,-1088138.33296,6196941.04993,1042730.29487,47,605293.7202,1047220.4982,9.472357989079,99.959198776731,8.3127,31.4113
LSN1170,LSN1,2020-06-18 00:00:00,2020.4644809,170,-1088138.33226,6196941.04854,1042730.29276,47,605293.7197,1047220.4963,9.472357972448,99.959198772655,8.3109,31.4095
LSN1172,LSN1,2020-06-20 00:00:00,2020.4699454,172,-1088138.33368,6196941.05933,1042730.29745,47,605293.7193,1047220.4992,9.472357998139,99.959198768386,8.3224,31.4210
LSN1174,LSN1,2020-06-22 00:00:00,2020.4754098,174,-1088138.33389,6196941.05333,1042730.29648,47,605293.7205,1047220.4992,9.472357998181,99.959198779715,8.3164,31.4150
LSN1175,LSN1,2020-06-23 00:00:00,2020.4781421,175,-1088138.33007,6196941.04978,1042730.29534,47,605293.7173,1047220.4987,9.472357994194,99.959198751027,8.3121,31.4107
LSN1176,LSN1,2020-06-24 00:00:00,2020.4808743,176,-1088138.33062,6196941.03708,1042730.29221,47,605293.7201,1047220.4977,9.472357984797,99.959198776052,8.2994,31.3980
LSN1178,LSN1,2020-06-26 00:00:00,2020.4863388,178,-1088138.33386,6196941.04977,1042730.29190,47,605293.7211,1047220.4952,9.472357962595,99.959198785045,8.3122,31.4108
LSN1181,LSN1,2020-06-29 00:00:00,2020.4945355,181,-1088138.32614,6196941.04732,1042730.29313,47,605293.7139,1047220.4970,9.472357979111,99.959198719735,8.3087,31.4073
LSN1182,LSN1,2020-06-30 00:00:00,2020.4972678,182,-1088138.33221,6196941.04869,1042730.29443,47,605293.7196,1047220.4980,9.472357987186,99.959198771980,8.3113,31.4099
LSN1185,LSN1,2020-07-03 00:00:00,2020.5054645,185,-1088138.33365,6196941.04283,1042730.29415,47,605293.7221,1047220.4986,9.472357992889,99.959198794167,8.3058,31.4044
LSN1186,LSN1,2020-07-04 00:00:00,2020.5081967,186,-1088138.33365,6196941.05396,1042730.29290,47,605293.7202,1047220.4955,9.472357965438,99.959198776601,8.3164,31.4150
LSN1187,LSN1,2020-07-05 00:00:00,2020.5109290,187,-1088138.33192,6196941.04163,1042730.28548,47,605293.7206,1047220.4903,9.472357917784,99.959198780520,8.3029,31.4015
LSN1188,LSN1,2020-07-06 00:00:00,2020.5136612,188,-1088138.33113,6196941.04128,1042730.29107,47,605293.7199,1047220.4959,9.472357968373,99.959198773973,8.3033,31.4019
