id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
NKBI167,NKBI,2020-06-15 00:00:00,2020.4562842,167,-1004107.40417,6237146.54794,874718.73946,47,516034.1323,877174.7526,7.935542105489,99.145478455295,-8.8866,12.4267
NKBI168,NKBI,2020-06-16 00:00:00,2020.4590164,168,-1004107.40631,6237146.54452,874718.73646,47,516034.1349,877174.7501,7.935542082365,99.145478479346,-8.8901,12.4233
NKBI169,NKBI,2020-06-17 00:00:00,2020.4617486,169,-1004107.40784,6237146.55122,874718.73715,47,516034.1354,877174.7498,7.935542080031,99.145478483448,-8.8832,12.4302
NKBI170,NKBI,2020-06-18 00:00:00,2020.4644809,170,-1004107.40736,6237146.55285,874718.73790,47,516034.1346,877174.7503,7.935542084807,99.145478476769,-8.8815,12.4318
NKBI172,NKBI,2020-06-20 00:00:00,2020.4699454,172,-1004107.40555,6237146.54703,874718.73847,47,516034.1338,877174.7517,7.935542097449,99.145478468978,-8.8874,12.4259
NKBI173,NKBI,2020-06-21 00:00:00,2020.4726776,173,-1004107.40746,6237146.55058,874718.73818,47,516034.1351,877174.7509,7.935542090046,99.145478480909,-8.8837,12.4296
NKBI174,NKBI,2020-06-22 00:00:00,2020.4754098,174,-1004107.40228,6237146.55193,874718.73987,47,516034.1298,877174.7525,7.935542104607,99.145478432654,-8.8830,12.4304
NKBI176,NKBI,2020-06-24 00:00:00,2020.4808743,176,-1004107.40262,6237146.54767,874718.73969,47,516034.1308,877174.7529,7.935542108109,99.145478441790,-8.8871,12.4262
NKBI177,NKBI,2020-06-25 00:00:00,2020.4836066,177,-1004107.40317,6237146.55874,874718.73955,47,516034.1296,877174.7512,7.935542093122,99.145478430768,-8.8762,12.4371
NKBI178,NKBI,2020-06-26 00:00:00,2020.4863388,178,-1004107.40824,6237146.54319,874718.73549,47,516034.1370,877174.7492,7.935542074980,99.145478498587,-8.8912,12.4222
NKBI181,NKBI,2020-06-29 00:00:00,2020.4945355,181,-1004107.40144,6237146.54910,874718.73802,47,516034.1294,877174.7511,7.935542091698,99.145478429197,-8.8861,12.4272
NKBI183,NKBI,2020-07-01 00:00:00,2020.5000000,183,-1004107.40568,6237146.55223,874718.73910,47,516034.1331,877174.7516,7.935542096641,99.145478462613,-8.8823,12.4311
NKBI185,NKBI,2020-07-03 00:00:00,2020.5054645,185,-1004107.40501,6237146.54441,874718.73854,47,516034.1336,877174.7522,7.935542101388,99.145478467914,-8.8901,12.4233
NKBI186,NKBI,2020-07-04 00:00:00,2020.5081967,186,-1004107.40355,6237146.54332,874718.73527,47,516034.1324,877174.7491,7.935542073781,99.145478456435,-8.8918,12.4215
NKBI187,NKBI,2020-07-05 00:00:00,2020.5109290,187,-1004107.40325,6237146.54332,874718.73644,47,516034.1321,877174.7503,7.935542084315,99.145478453761,-8.8917,12.4216
NKBI188,NKBI,2020-07-06 00:00:00,2020.5136612,188,-1004107.40498,6237146.54486,874718.73846,47,516034.1335,877174.7520,7.935542100137,99.145478466985,-8.8897,12.4237
NKBI189,NKBI,2020-07-07 00:00:00,2020.5163934,189,-1004107.40571,6237146.54481,874718.73699,47,516034.1343,877174.7506,7.935542086892,99.145478473542,-8.8898,12.4236
NKBI190,NKBI,2020-07-08 00:00:00,2020.5191257,190,-1004107.40670,6237146.53975,874718.73589,47,516034.1360,877174.7501,7.935542083045,99.145478489728,-8.8947,12.4186
NKBI191,NKBI,2020-07-09 00:00:00,2020.5218579,191,-1004107.40347,6237146.54657,874718.73356,47,516034.1318,877174.7470,7.935542054438,99.145478450958,-8.8889,12.4245
NKBI195,NKBI,2020-07-13 00:00:00,2020.5327869,195,-1004107.40809,6237146.55585,874718.73791,47,516034.1349,877174.7499,7.935542081020,99.145478478988,-8.8785,12.4349
NKBI196,NKBI,2020-07-14 00:00:00,2020.5355191,196,-1004107.40509,6237146.54788,874718.73653,47,516034.1332,877174.7497,7.935542079071,99.145478463644,-8.8870,12.4264
NKBI197,NKBI,2020-07-15 00:00:00,2020.5382514,197,-1004107.40537,6237146.55316,874718.73648,47,516034.1326,877174.7489,7.935542072103,99.145478458482,-8.8818,12.4316
NKBI198,NKBI,2020-07-16 00:00:00,2020.5409836,198,-1004107.40048,6237146.54527,874718.73437,47,516034.1290,877174.7480,7.935542063899,99.145478426058,-8.8905,12.4228
NKBI199,NKBI,2020-07-17 00:00:00,2020.5437158,199,-1004107.40414,6237146.55270,874718.73623,47,516034.1315,877174.7488,7.935542070638,99.145478448116,-8.8824,12.4309
NKBI200,NKBI,2020-07-18 00:00:00,2020.5464481,200,-1004107.40743,6237146.54173,874718.73777,47,516034.1365,877174.7517,7.935542097290,99.145478493410,-8.8924,12.4209
NKBI201,NKBI,2020-07-19 00:00:00,2020.5491803,201,-1004107.40658,6237146.53094,874718.73273,47,516034.1373,877174.7482,7.935542065644,99.145478501389,-8.9038,12.4096
