id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PJRK002,PJRK,2020-01-02 00:00:00,2020.0054645,2,-1062387.59116,6152905.10497,1297009.23552,47,586752.2379,1305846.2373,11.811617659728,99.796349954652,-11.9615,16.6858
PJRK003,PJRK,2020-01-03 00:00:00,2020.0081967,3,-1062387.59209,6152905.10712,1297009.23324,47,586752.2385,1305846.2346,11.811617635366,99.796349959673,-11.9597,16.6876
PJRK004,PJRK,2020-01-04 00:00:00,2020.0109290,4,-1062387.58823,6152905.10418,1297009.23087,47,586752.2352,1305846.2330,11.811617620965,99.796349929328,-11.9637,16.6836
PJRK005,PJRK,2020-01-05 00:00:00,2020.0136612,5,-1062387.58918,6152905.10477,1297009.23941,47,586752.2360,1305846.2412,11.811617695214,99.796349937063,-11.9612,16.6861
PJRK006,PJRK,2020-01-06 00:00:00,2020.0163934,6,-1062387.59036,6152905.10893,1297009.23586,47,586752.2365,1305846.2368,11.811617655805,99.796349941207,-11.9578,16.6895
PJRK007,PJRK,2020-01-07 00:00:00,2020.0191257,7,-1062387.58876,6152905.12538,1297009.24477,47,586752.2321,1305846.2423,11.811617705126,99.796349901013,-11.9403,16.7070
PJRK008,PJRK,2020-01-08 00:00:00,2020.0218579,8,-1062387.59148,6152905.11550,1297009.23913,47,586752.2365,1305846.2387,11.811617672403,99.796349941052,-11.9506,16.6967
PJRK009,PJRK,2020-01-09 00:00:00,2020.0245902,9,-1062387.58956,6152905.11367,1297009.24330,47,586752.2349,1305846.2432,11.811617713285,99.796349926611,-11.9518,16.6955
PJRK010,PJRK,2020-01-10 00:00:00,2020.0273224,10,-1062387.58871,6152905.11380,1297009.23894,47,586752.2340,1305846.2389,11.811617674661,99.796349918702,-11.9527,16.6946
PJRK011,PJRK,2020-01-11 00:00:00,2020.0300546,11,-1062387.59324,6152905.11816,1297009.24304,47,586752.2377,1305846.2419,11.811617701563,99.796349952830,-11.9469,16.7004
PJRK012,PJRK,2020-01-12 00:00:00,2020.0327869,12,-1062387.58951,6152905.10120,1297009.23997,47,586752.2369,1305846.2424,11.811617706508,99.796349945579,-11.9645,16.6828
PJRK013,PJRK,2020-01-13 00:00:00,2020.0355191,13,-1062387.59190,6152905.11099,1297009.23792,47,586752.2376,1305846.2384,11.811617669809,99.796349951917,-11.9551,16.6922
PJRK014,PJRK,2020-01-14 00:00:00,2020.0382514,14,-1062387.59492,6152905.11139,1297009.24130,47,586752.2405,1305846.2415,11.811617698012,99.796349978607,-11.9535,16.6938
PJRK015,PJRK,2020-01-15 00:00:00,2020.0409836,15,-1062387.59532,6152905.10739,1297009.23557,47,586752.2416,1305846.2367,11.811617654479,99.796349988456,-11.9585,16.6888
PJRK016,PJRK,2020-01-16 00:00:00,2020.0437158,16,-1062387.59428,6152905.10696,1297009.23866,47,586752.2407,1305846.2399,11.811617682945,99.796349979714,-11.9584,16.6889
PJRK020,PJRK,2020-01-20 00:00:00,2020.0546448,20,-1062387.59038,6152905.11216,1297009.23844,47,586752.2359,1305846.2387,11.811617672765,99.796349936338,-11.9541,16.6932
PJRK021,PJRK,2020-01-21 00:00:00,2020.0573770,21,-1062387.59333,6152905.10961,1297009.22727,47,586752.2393,1305846.2282,11.811617577600,99.796349967019,-11.9584,16.6889
PJRK023,PJRK,2020-01-23 00:00:00,2020.0628415,23,-1062387.59251,6152905.10846,1297009.23813,47,586752.2387,1305846.2391,11.811617676044,99.796349961366,-11.9574,16.6899
PJRK024,PJRK,2020-01-24 00:00:00,2020.0655738,24,-1062387.59240,6152905.11932,1297009.23531,47,586752.2367,1305846.2341,11.811617631330,99.796349943436,-11.9475,16.6998
PJRK025,PJRK,2020-01-25 00:00:00,2020.0683060,25,-1062387.59134,6152905.11872,1297009.23542,47,586752.2358,1305846.2344,11.811617633763,99.796349934750,-11.9482,16.6991
PJRK026,PJRK,2020-01-26 00:00:00,2020.0710383,26,-1062387.59372,6152905.10890,1297009.23892,47,586752.2398,1305846.2397,11.811617681912,99.796349971683,-11.9566,16.6907
PJRK029,PJRK,2020-01-29 00:00:00,2020.0792350,29,-1062387.58930,6152905.11630,1297009.23492,47,586752.2342,1305846.2345,11.811617634422,99.796349920133,-11.9510,16.6963
PJRK035,PJRK,2020-02-04 00:00:00,2020.0956284,35,-1062387.59350,6152905.10782,1297009.23296,47,586752.2398,1305846.2341,11.811617631188,99.796349971290,-11.9589,16.6884
PJRK036,PJRK,2020-02-05 00:00:00,2020.0983607,36,-1062387.59303,6152905.10998,1297009.23846,47,586752.2389,1305846.2391,11.811617676066,99.796349963712,-11.9558,16.6915
PJRK037,PJRK,2020-02-06 00:00:00,2020.1010929,37,-1062387.59571,6152905.11121,1297009.23436,47,586752.2414,1305846.2347,11.811617636726,99.796349986061,-11.9550,16.6923
PJRK038,PJRK,2020-02-07 00:00:00,2020.1038251,38,-1062387.59174,6152905.10483,1297009.23454,47,586752.2385,1305846.2363,11.811617651168,99.796349960054,-11.9618,16.6855
PJRK039,PJRK,2020-02-08 00:00:00,2020.1065574,39,-1062387.59249,6152905.10928,1297009.23611,47,586752.2385,1305846.2369,11.811617656694,99.796349959957,-11.9570,16.6903
PJRK040,PJRK,2020-02-09 00:00:00,2020.1092896,40,-1062387.59300,6152905.09838,1297009.23560,47,586752.2409,1305846.2386,11.811617671950,99.796349981516,-11.9675,16.6798
PJRK041,PJRK,2020-02-10 00:00:00,2020.1120219,41,-1062387.59550,6152905.10802,1297009.23380,47,586752.2417,1305846.2348,11.811617637589,99.796349989092,-11.9582,16.6891
PJRK042,PJRK,2020-02-11 00:00:00,2020.1147541,42,-1062387.59310,6152905.11573,1297009.23573,47,586752.2380,1305846.2353,11.811617641395,99.796349955321,-11.9508,16.6965
PJRK043,PJRK,2020-02-12 00:00:00,2020.1174863,43,-1062387.59457,6152905.11514,1297009.23215,47,586752.2396,1305846.2318,11.811617610305,99.796349969576,-11.9518,16.6955
PJRK045,PJRK,2020-02-14 00:00:00,2020.1229508,45,-1062387.59460,6152905.12030,1297009.23591,47,586752.2387,1305846.2345,11.811617634140,99.796349961774,-11.9461,16.7012
PJRK046,PJRK,2020-02-15 00:00:00,2020.1256831,46,-1062387.59130,6152905.11272,1297009.23723,47,586752.2368,1305846.2374,11.811617660683,99.796349943813,-11.9537,16.6936
PJRK047,PJRK,2020-02-16 00:00:00,2020.1284153,47,-1062387.59363,6152905.11725,1297009.23795,47,586752.2383,1305846.2371,11.811617658075,99.796349957792,-11.9488,16.6985
PJRK048,PJRK,2020-02-17 00:00:00,2020.1311475,48,-1062387.59011,6152905.10908,1297009.23552,47,586752.2362,1305846.2365,11.811617652625,99.796349938666,-11.9577,16.6896
PJRK049,PJRK,2020-02-18 00:00:00,2020.1338798,49,-1062387.59421,6152905.11150,1297009.23844,47,586752.2398,1305846.2387,11.811617672702,99.796349971984,-11.9541,16.6932
PJRK050,PJRK,2020-02-19 00:00:00,2020.1366120,50,-1062387.59783,6152905.10823,1297009.23311,47,586752.2440,1305846.2341,11.811617630396,99.796350009798,-11.9577,16.6896
