id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PKET001,PKET,2020-01-01 00:00:00,2020.0027322,1,-922365.11066,6250473.36205,869690.38256,47,433244.0754,872144.4512,7.889627410904,98.394397583283,0.1499,24.7488
PKET002,PKET,2020-01-02 00:00:00,2020.0054645,2,-922365.11486,6250473.36244,869690.38188,47,433244.0795,872144.4504,7.889627403555,98.394397620423,0.1508,24.7497
PKET003,PKET,2020-01-03 00:00:00,2020.0081967,3,-922365.11106,6250473.35667,869690.37987,47,433244.0766,872144.4492,7.889627393302,98.394397593985,0.1444,24.7432
PKET004,PKET,2020-01-04 00:00:00,2020.0109290,4,-922365.10813,6250473.35755,869690.37688,47,433244.0735,872144.4462,7.889627366010,98.394397566546,0.1444,24.7432
PKET005,PKET,2020-01-05 00:00:00,2020.0136612,5,-922365.11252,6250473.36293,869690.38186,47,433244.0771,872144.4503,7.889627403188,98.394397598808,0.1510,24.7498
PKET006,PKET,2020-01-06 00:00:00,2020.0163934,6,-922365.11229,6250473.35634,869690.38316,47,433244.0778,872144.4525,7.889627422924,98.394397605430,0.1447,24.7435
PKET007,PKET,2020-01-07 00:00:00,2020.0191257,7,-922365.11258,6250473.35987,869690.38458,47,433244.0776,872144.4534,7.889627431279,98.394397603433,0.1484,24.7472
PKET008,PKET,2020-01-08 00:00:00,2020.0218579,8,-922365.11224,6250473.35911,869690.38201,47,433244.0774,872144.4510,7.889627409256,98.394397601367,0.1472,24.7460
PKET009,PKET,2020-01-09 00:00:00,2020.0245902,9,-922365.11111,6250473.35816,869690.38168,47,433244.0764,872144.4508,7.889627407672,98.394397592431,0.1461,24.7449
PKET010,PKET,2020-01-10 00:00:00,2020.0273224,10,-922365.11066,6250473.36532,869690.38460,47,433244.0749,872144.4528,7.889627425099,98.394397578933,0.1534,24.7522
PKET011,PKET,2020-01-11 00:00:00,2020.0300546,11,-922365.11498,6250473.35696,869690.38372,47,433244.0804,872144.4529,7.889627426689,98.394397628799,0.1457,24.7446
