id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
THAI001,THAI,2020-01-01 00:00:00,2020.0027322,1,-1150486.07620,6080853.89517,1537596.42694,47,685044.8287,1553154.1424,14.043005758233,100.713616594085,-7.2872,22.9707
THAI002,THAI,2020-01-02 00:00:00,2020.0054645,2,-1150486.08133,6080853.90315,1537596.43080,47,685044.8323,1553154.1440,14.043005772771,100.713616627058,-7.2777,22.9801
THAI003,THAI,2020-01-03 00:00:00,2020.0081967,3,-1150486.07637,6080853.90105,1537596.42754,47,685044.8278,1553154.1415,14.043005750759,100.713616585499,-7.2814,22.9765
THAI005,THAI,2020-01-05 00:00:00,2020.0136612,5,-1150486.08024,6080853.91121,1537596.42888,47,685044.8298,1553154.1403,14.043005739005,100.713616603265,-7.2707,22.9872
THAI006,THAI,2020-01-06 00:00:00,2020.0163934,6,-1150486.07769,6080853.90681,1537596.42954,47,685044.8280,1553154.1421,14.043005755385,100.713616587591,-7.2752,22.9827
THAI007,THAI,2020-01-07 00:00:00,2020.0191257,7,-1150486.07758,6080853.91181,1537596.43306,47,685044.8270,1553154.1443,14.043005775441,100.713616578002,-7.2696,22.9883
THAI008,THAI,2020-01-08 00:00:00,2020.0218579,8,-1150486.07929,6080853.90868,1537596.43348,47,685044.8292,1553154.1454,14.043005785198,100.713616598970,-7.2722,22.9857
THAI009,THAI,2020-01-09 00:00:00,2020.0245902,9,-1150486.07909,6080853.91221,1537596.43298,47,685044.8284,1553154.1440,14.043005773286,100.713616591061,-7.2690,22.9889
THAI010,THAI,2020-01-10 00:00:00,2020.0273224,10,-1150486.07600,6080853.89981,1537596.44185,47,685044.8276,1553154.1557,14.043005879033,100.713616584286,-7.2792,22.9787
THAI011,THAI,2020-01-11 00:00:00,2020.0300546,11,-1150486.07768,6080853.91022,1537596.42936,47,685044.8274,1553154.1411,14.043005746413,100.713616581675,-7.2720,22.9859
THAI012,THAI,2020-01-12 00:00:00,2020.0327869,12,-1150486.08234,6080853.91759,1537596.43535,47,685044.8306,1553154.1449,14.043005781132,100.713616611356,-7.2627,22.9952
THAI013,THAI,2020-01-13 00:00:00,2020.0355191,13,-1150486.07861,6080853.90822,1537596.42794,47,685044.8287,1553154.1401,14.043005737915,100.713616593602,-7.2741,22.9838
THAI014,THAI,2020-01-14 00:00:00,2020.0382514,14,-1150486.07777,6080853.89944,1537596.42778,47,685044.8295,1553154.1421,14.043005755804,100.713616601085,-7.2826,22.9752
THAI015,THAI,2020-01-15 00:00:00,2020.0409836,15,-1150486.08077,6080853.89896,1537596.42968,47,685044.8325,1553154.1440,14.043005772263,100.713616629185,-7.2821,22.9758
THAI016,THAI,2020-01-16 00:00:00,2020.0437158,16,-1150486.07843,6080853.90190,1537596.42934,47,685044.8297,1553154.1430,14.043005763895,100.713616602770,-7.2798,22.9781
THAI017,THAI,2020-01-17 00:00:00,2020.0464481,17,-1150486.07743,6080853.90343,1537596.42920,47,685044.8284,1553154.1425,14.043005759774,100.713616591056,-7.2786,22.9793
THAI018,THAI,2020-01-18 00:00:00,2020.0491803,18,-1150486.07881,6080853.90202,1537596.42886,47,685044.8300,1553154.1425,14.043005759214,100.713616606031,-7.2797,22.9781
THAI019,THAI,2020-01-19 00:00:00,2020.0519126,19,-1150486.07827,6080853.90817,1537596.43000,47,685044.8284,1553154.1422,14.043005756216,100.713616590575,-7.2737,22.9842
THAI020,THAI,2020-01-20 00:00:00,2020.0546448,20,-1150486.07922,6080853.90004,1537596.42783,47,685044.8308,1553154.1420,14.043005754353,100.713616613199,-7.2818,22.9761
THAI021,THAI,2020-01-21 00:00:00,2020.0573770,21,-1150486.07755,6080853.90781,1537596.42944,47,685044.8277,1553154.1417,14.043005752339,100.713616584625,-7.2743,22.9836
THAI022,THAI,2020-01-22 00:00:00,2020.0601093,22,-1150486.07744,6080853.90294,1537596.42590,47,685044.8285,1553154.1395,14.043005731908,100.713616591970,-7.2798,22.9781
THAI023,THAI,2020-01-23 00:00:00,2020.0628415,23,-1150486.07960,6080853.90715,1537596.43189,47,685044.8298,1553154.1442,14.043005774484,100.713616604403,-7.2740,22.9839
THAI024,THAI,2020-01-24 00:00:00,2020.0655738,24,-1150486.08153,6080853.91269,1537596.43239,47,685044.8307,1553154.1433,14.043005766102,100.713616612410,-7.2682,22.9897
THAI025,THAI,2020-01-25 00:00:00,2020.0683060,25,-1150486.07919,6080853.90505,1537596.43495,47,685044.8298,1553154.1477,14.043005805957,100.713616604293,-7.2753,22.9826
THAI026,THAI,2020-01-26 00:00:00,2020.0710383,26,-1150486.08200,6080853.91393,1537596.43335,47,685044.8310,1553154.1439,14.043005771671,100.713616614610,-7.2667,22.9912
THAI027,THAI,2020-01-27 00:00:00,2020.0737705,27,-1150486.08259,6080853.91619,1537596.43748,47,685044.8311,1553154.1473,14.043005802728,100.713616616070,-7.2635,22.9944
THAI028,THAI,2020-01-28 00:00:00,2020.0765027,28,-1150486.08077,6080853.91252,1537596.43226,47,685044.8300,1553154.1432,14.043005765652,100.713616605793,-7.2686,22.9893
THAI029,THAI,2020-01-29 00:00:00,2020.0792350,29,-1150486.07838,6080853.90685,1537596.42915,47,685044.8287,1553154.1416,14.043005751577,100.713616593876,-7.2751,22.9827
THAI030,THAI,2020-01-30 00:00:00,2020.0819672,30,-1150486.08162,6080853.91010,1537596.43589,47,685044.8313,1553154.1473,14.043005802319,100.713616617687,-7.2698,22.9881
THAI031,THAI,2020-01-31 00:00:00,2020.0846995,31,-1150486.08269,6080853.91299,1537596.42990,47,685044.8318,1553154.1407,14.043005743169,100.713616622514,-7.2683,22.9896
THAI032,THAI,2020-02-01 00:00:00,2020.0874317,32,-1150486.07695,6080853.89637,1537596.42251,47,685044.8293,1553154.1378,14.043005716520,100.713616598896,-7.2870,22.9709
THAI033,THAI,2020-02-02 00:00:00,2020.0901639,33,-1150486.07991,6080853.90561,1537596.42783,47,685044.8305,1553154.1406,14.043005742083,100.713616609922,-7.2764,22.9815
THAI034,THAI,2020-02-03 00:00:00,2020.0928962,34,-1150486.07966,6080853.90648,1537596.42892,47,685044.8301,1553154.1415,14.043005749869,100.713616606141,-7.2753,22.9826
THAI036,THAI,2020-02-05 00:00:00,2020.0983607,36,-1150486.07740,6080853.89839,1537596.42781,47,685044.8293,1553154.1424,14.043005758474,100.713616599517,-7.2837,22.9742
THAI037,THAI,2020-02-06 00:00:00,2020.1010929,37,-1150486.08424,6080853.90833,1537596.43077,47,685044.8342,1553154.1426,14.043005760174,100.713616644610,-7.2723,22.9856
THAI038,THAI,2020-02-07 00:00:00,2020.1038251,38,-1150486.08005,6080853.91074,1537596.43011,47,685044.8296,1553154.1416,14.043005750880,100.713616602305,-7.2709,22.9870
