id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
BOBR001,BOBR,2020-01-01 00:00:00,2020.0027322,1,-1391662.80761,5971556.56783,1750910.62192,47,940888.5480,1777625.3132,16.038931363589,103.118548837987,151.3221,179.7404
BOBR002,BOBR,2020-01-02 00:00:00,2020.0054645,2,-1391662.81269,5971556.57133,1750910.62420,47,940888.5521,1777625.3142,16.038931372026,103.118548876785,151.3271,179.7454
BOBR003,BOBR,2020-01-03 00:00:00,2020.0081967,3,-1391662.80954,5971556.56829,1750910.61966,47,940888.5498,1777625.3108,16.038931341756,103.118548854614,151.3223,179.7406
BOBR004,BOBR,2020-01-04 00:00:00,2020.0109290,4,-1391662.80970,5971556.57381,1750910.62103,47,940888.5487,1777625.3106,16.038931340117,103.118548844315,151.3279,179.7462
BOBR005,BOBR,2020-01-05 00:00:00,2020.0136612,5,-1391662.81203,5971556.58086,1750910.62305,47,940888.5494,1777625.3105,16.038931339232,103.118548850546,151.3356,179.7539
BOBR006,BOBR,2020-01-06 00:00:00,2020.0163934,6,-1391662.80875,5971556.57540,1750910.62312,47,940888.5474,1777625.3122,16.038931354981,103.118548832279,151.3298,179.7481
BOBR007,BOBR,2020-01-07 00:00:00,2020.0191257,7,-1391662.80711,5971556.57132,1750910.62448,47,940888.5466,1777625.3147,16.038931377602,103.118548825990,151.3260,179.7443
BOBR008,BOBR,2020-01-08 00:00:00,2020.0218579,8,-1391662.80964,5971556.57561,1750910.62666,47,940888.5481,1777625.3155,16.038931384682,103.118548839995,151.3311,179.7494
BOBR009,BOBR,2020-01-09 00:00:00,2020.0245902,9,-1391662.80877,5971556.57206,1750910.62409,47,940888.5481,1777625.3140,16.038931371497,103.118548839601,151.3269,179.7452
BOBR010,BOBR,2020-01-10 00:00:00,2020.0273224,10,-1391662.81085,5971556.57280,1750910.62298,47,940888.5500,1777625.3127,16.038931358876,103.118548856950,151.3277,179.7461
BOBR011,BOBR,2020-01-11 00:00:00,2020.0300546,11,-1391662.80861,5971556.56650,1750910.62267,47,940888.5492,1777625.3142,16.038931372746,103.118548849955,151.3213,179.7396
BOBR012,BOBR,2020-01-12 00:00:00,2020.0327869,12,-1391662.81369,5971556.58147,1750910.62670,47,940888.5508,1777625.3138,16.038931368468,103.118548864400,151.3375,179.7558
BOBR013,BOBR,2020-01-13 00:00:00,2020.0355191,13,-1391662.80870,5971556.56986,1750910.62203,47,940888.5486,1777625.3127,16.038931358954,103.118548843603,151.3243,179.7426
BOBR014,BOBR,2020-01-14 00:00:00,2020.0382514,14,-1391662.80948,5971556.56813,1750910.62267,47,940888.5497,1777625.3137,16.038931368347,103.118548854396,151.3230,179.7413
BOBR015,BOBR,2020-01-15 00:00:00,2020.0409836,15,-1391662.81225,5971556.57151,1750910.62338,47,940888.5516,1777625.3133,16.038931364664,103.118548872406,151.3269,179.7453
BOBR016,BOBR,2020-01-16 00:00:00,2020.0437158,16,-1391662.81182,5971556.57709,1750910.62391,47,940888.5500,1777625.3124,16.038931356021,103.118548856712,151.3322,179.7505
BOBR017,BOBR,2020-01-17 00:00:00,2020.0464481,17,-1391662.81172,5971556.57693,1750910.62286,47,940888.5499,1777625.3114,16.038931347259,103.118548856083,151.3318,179.7501
BOBR018,BOBR,2020-01-18 00:00:00,2020.0491803,18,-1391662.80987,5971556.56904,1750910.62039,47,940888.5499,1777625.3112,16.038931346047,103.118548855972,151.3233,179.7416
BOBR019,BOBR,2020-01-19 00:00:00,2020.0519126,19,-1391662.80976,5971556.56719,1750910.62141,47,940888.5502,1777625.3127,16.038931359495,103.118548858880,151.3218,179.7401
BOBR020,BOBR,2020-01-20 00:00:00,2020.0546448,20,-1391662.81105,5971556.57170,1750910.62401,47,940888.5504,1777625.3140,16.038931370398,103.118548861096,151.3270,179.7454
BOBR021,BOBR,2020-01-21 00:00:00,2020.0573770,21,-1391662.80964,5971556.57221,1750910.62264,47,940888.5490,1777625.3126,16.038931358068,103.118548847223,151.3268,179.7452
BOBR022,BOBR,2020-01-22 00:00:00,2020.0601093,22,-1391662.81078,5971556.57956,1750910.62244,47,940888.5484,1777625.3103,16.038931337822,103.118548841965,151.3339,179.7522
BOBR023,BOBR,2020-01-23 00:00:00,2020.0628415,23,-1391662.81369,5971556.58151,1750910.62939,47,940888.5507,1777625.3163,16.038931391728,103.118548864294,151.3383,179.7566
BOBR024,BOBR,2020-01-24 00:00:00,2020.0655738,24,-1391662.81158,5971556.57038,1750910.62376,47,940888.5512,1777625.3141,16.038931371136,103.118548868714,151.3259,179.7442
BOBR025,BOBR,2020-01-25 00:00:00,2020.0683060,25,-1391662.80974,5971556.58745,1750910.62665,47,940888.5456,1777625.3122,16.038931355767,103.118548815775,151.3422,179.7605
BOBR026,BOBR,2020-01-26 00:00:00,2020.0710383,26,-1391662.81128,5971556.56651,1750910.61831,47,940888.5519,1777625.3099,16.038931333351,103.118548874184,151.3207,179.7390
BOBR027,BOBR,2020-01-27 00:00:00,2020.0737705,27,-1391662.81307,5971556.58144,1750910.62728,47,940888.5502,1777625.3144,16.038931373985,103.118548858811,151.3375,179.7558
BOBR028,BOBR,2020-01-28 00:00:00,2020.0765027,28,-1391662.81222,5971556.57791,1750910.62332,47,940888.5502,1777625.3115,16.038931348592,103.118548858604,151.3329,179.7512
BOBR029,BOBR,2020-01-29 00:00:00,2020.0792350,29,-1391662.81053,5971556.57680,1750910.62205,47,940888.5488,1777625.3107,16.038931341261,103.118548845526,151.3312,179.7495
BOBR030,BOBR,2020-01-30 00:00:00,2020.0819672,30,-1391662.81057,5971556.56878,1750910.62319,47,940888.5506,1777625.3140,16.038931370642,103.118548862890,151.3240,179.7423
BOBR031,BOBR,2020-01-31 00:00:00,2020.0846995,31,-1391662.81451,5971556.57927,1750910.62182,47,940888.5522,1777625.3096,16.038931331004,103.118548876495,151.3343,179.7526
BOBR032,BOBR,2020-02-01 00:00:00,2020.0874317,32,-1391662.80507,5971556.56157,1750910.61344,47,940888.5470,1777625.3068,16.038931306584,103.118548828177,151.3133,179.7317
BOBR033,BOBR,2020-02-02 00:00:00,2020.0901639,33,-1391662.80910,5971556.56534,1750910.61849,47,940888.5500,1777625.3105,16.038931339040,103.118548856803,151.3191,179.7375
BOBR034,BOBR,2020-02-03 00:00:00,2020.0928962,34,-1391662.81062,5971556.57408,1750910.62251,47,940888.5495,1777625.3119,16.038931351800,103.118548852177,151.3288,179.7471
BOBR035,BOBR,2020-02-04 00:00:00,2020.0956284,35,-1391662.81189,5971556.57211,1750910.62105,47,940888.5512,1777625.3110,16.038931343234,103.118548867905,151.3268,179.7451
BOBR036,BOBR,2020-02-05 00:00:00,2020.0983607,36,-1391662.80781,5971556.56499,1750910.62305,47,940888.5488,1777625.3150,16.038931380219,103.118548845825,151.3198,179.7381
BOBR037,BOBR,2020-02-06 00:00:00,2020.1010929,37,-1391662.81270,5971556.56998,1750910.62119,47,940888.5525,1777625.3116,16.038931349175,103.118548879773,151.3250,179.7433
BOBR038,BOBR,2020-02-07 00:00:00,2020.1038251,38,-1391662.81372,5971556.58053,1750910.62612,47,940888.5510,1777625.3135,16.038931365709,103.118548866703,151.3365,179.7548
BOBR039,BOBR,2020-02-08 00:00:00,2020.1065574,39,-1391662.81397,5971556.58239,1750910.62595,47,940888.5509,1777625.3128,16.038931359560,103.118548864991,151.3382,179.7565
BOBR040,BOBR,2020-02-09 00:00:00,2020.1092896,40,-1391662.81424,5971556.57481,1750910.62559,47,940888.5528,1777625.3145,16.038931374762,103.118548883511,151.3311,179.7494
BOBR041,BOBR,2020-02-10 00:00:00,2020.1120219,41,-1391662.81215,5971556.57431,1750910.62195,47,940888.5510,1777625.3112,16.038931345494,103.118548865530,151.3292,179.7475
BOBR042,BOBR,2020-02-11 00:00:00,2020.1147541,42,-1391662.81300,5971556.58682,1750910.62282,47,940888.5490,1777625.3086,16.038931322153,103.118548846731,151.3413,179.7596
BOBR043,BOBR,2020-02-12 00:00:00,2020.1174863,43,-1391662.81308,5971556.57970,1750910.62118,47,940888.5507,1777625.3090,16.038931325187,103.118548862576,151.3342,179.7525
