id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
JAHM001,JAHM,2020-01-01 00:00:00,2020.0027322,1,-1003279.83991,5959660.14227,2032774.36077,47,558607.2308,2068529.8398,18.707275621086,99.555867104184,274.9183,312.2544
JAHM002,JAHM,2020-01-02 00:00:00,2020.0054645,2,-1003279.84167,5959660.13953,2032774.35912,47,558607.2330,2068529.8390,18.707275613924,99.555867124988,274.9155,312.2516
JAHM003,JAHM,2020-01-03 00:00:00,2020.0081967,3,-1003279.84063,5959660.14272,2032774.35871,47,558607.2314,2068529.8376,18.707275601815,99.555867110216,274.9182,312.2543
JAHM004,JAHM,2020-01-04 00:00:00,2020.0109290,4,-1003279.84016,5959660.14416,2032774.35830,47,558607.2307,2068529.8368,18.707275594443,99.555867103622,274.9193,312.2554
JAHM005,JAHM,2020-01-05 00:00:00,2020.0136612,5,-1003279.83990,5959660.14558,2032774.35811,47,558607.2303,2068529.8362,18.707275588824,99.555867098951,274.9205,312.2567
JAHM006,JAHM,2020-01-06 00:00:00,2020.0163934,6,-1003279.84048,5959660.14733,2032774.36072,47,558607.2305,2068529.8381,18.707275605909,99.555867101606,274.9231,312.2592
JAHM007,JAHM,2020-01-07 00:00:00,2020.0191257,7,-1003279.84328,5959660.15408,2032774.36502,47,558607.2322,2068529.8399,18.707275622080,99.555867117138,274.9312,312.2673
JAHM008,JAHM,2020-01-08 00:00:00,2020.0218579,8,-1003279.84207,5959660.14487,2032774.36057,47,558607.2325,2068529.8386,18.707275610866,99.555867120325,274.9210,312.2571
JAHM009,JAHM,2020-01-09 00:00:00,2020.0245902,9,-1003279.84059,5959660.14607,2032774.36312,47,558607.2308,2068529.8408,18.707275629998,99.555867104589,274.9227,312.2588
JAHM010,JAHM,2020-01-10 00:00:00,2020.0273224,10,-1003279.83899,5959660.14644,2032774.36240,47,558607.2292,2068529.8400,18.707275623505,99.555867089068,274.9225,312.2587
JAHM011,JAHM,2020-01-11 00:00:00,2020.0300546,11,-1003279.84540,5959660.15712,2032774.36479,47,558607.2337,2068529.8386,18.707275610386,99.555867132154,274.9343,312.2704
JAHM012,JAHM,2020-01-12 00:00:00,2020.0327869,12,-1003279.84163,5959660.14632,2032774.36246,47,558607.2318,2068529.8400,18.707275623117,99.555867113918,274.9229,312.2590
JAHM013,JAHM,2020-01-13 00:00:00,2020.0355191,13,-1003279.84527,5959660.15054,2032774.36159,47,558607.2347,2068529.8377,18.707275601880,99.555867141314,274.9271,312.2632
JAHM014,JAHM,2020-01-14 00:00:00,2020.0382514,14,-1003279.84421,5959660.15460,2032774.36227,47,558607.2330,2068529.8371,18.707275596603,99.555867124961,274.9309,312.2671
JAHM015,JAHM,2020-01-15 00:00:00,2020.0409836,15,-1003279.84296,5959660.14767,2032774.36457,47,558607.2329,2068529.8415,18.707275636672,99.555867124249,274.9250,312.2612
JAHM016,JAHM,2020-01-16 00:00:00,2020.0437158,16,-1003279.84253,5959660.14836,2032774.36392,47,558607.2324,2068529.8407,18.707275629378,99.555867119135,274.9254,312.2615
JAHM017,JAHM,2020-01-17 00:00:00,2020.0464481,17,-1003279.84163,5959660.13918,2032774.35777,47,558607.2330,2068529.8378,18.707275603457,99.555867125169,274.9147,312.2508
JAHM018,JAHM,2020-01-18 00:00:00,2020.0491803,18,-1003279.84085,5959660.13866,2032774.35932,47,558607.2323,2068529.8395,18.707275618498,99.555867118663,274.9146,312.2507
JAHM019,JAHM,2020-01-19 00:00:00,2020.0519126,19,-1003279.84290,5959660.15130,2032774.36074,47,558607.2323,2068529.8367,18.707275593604,99.555867118010,274.9272,312.2633
JAHM020,JAHM,2020-01-20 00:00:00,2020.0546448,20,-1003279.84240,5959660.14552,2032774.36129,47,558607.2327,2068529.8391,18.707275615014,99.555867122421,274.9219,312.2580
JAHM021,JAHM,2020-01-21 00:00:00,2020.0573770,21,-1003279.83927,5959660.13778,2032774.35553,47,558607.2309,2068529.8363,18.707275589346,99.555867105263,274.9123,312.2484
JAHM022,JAHM,2020-01-22 00:00:00,2020.0601093,22,-1003279.84272,5959660.15162,2032774.36018,47,558607.2320,2068529.8361,18.707275587946,99.555867115782,274.9273,312.2634
JAHM023,JAHM,2020-01-23 00:00:00,2020.0628415,23,-1003279.84482,5959660.16203,2032774.36835,47,558607.2324,2068529.8404,18.707275627078,99.555867119054,274.9399,312.2761
JAHM024,JAHM,2020-01-24 00:00:00,2020.0655738,24,-1003279.83897,5959660.14588,2032774.36448,47,558607.2293,2068529.8422,18.707275642937,99.555867089707,274.9227,312.2588
JAHM025,JAHM,2020-01-25 00:00:00,2020.0683060,25,-1003279.83945,5959660.14496,2032774.36454,47,558607.2299,2068529.8425,18.707275645830,99.555867095645,274.9219,312.2581
