id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
KOGD001,KOGD,2020-01-01 00:00:00,2020.0027322,1,-1356671.04722,6098368.02687,1280387.72999,47,886290.0648,1291158.4275,11.658063011183,102.542041126134,35.9578,55.7976
KOGD002,KOGD,2020-01-02 00:00:00,2020.0054645,2,-1356671.05042,6098368.03390,1280387.72898,47,886290.0664,1291158.4250,11.658062988409,102.542041140818,35.9650,55.8048
KOGD003,KOGD,2020-01-03 00:00:00,2020.0081967,3,-1356671.04779,6098368.03366,1280387.72864,47,886290.0639,1291158.4248,11.658062986866,102.542041117718,35.9642,55.8040
KOGD004,KOGD,2020-01-04 00:00:00,2020.0109290,4,-1356671.04807,6098368.04233,1280387.72962,47,886290.0623,1291158.4241,11.658062979955,102.542041102967,35.9727,55.8125
KOGD005,KOGD,2020-01-05 00:00:00,2020.0136612,5,-1356671.04932,6098368.04200,1280387.72954,47,886290.0636,1291158.4240,11.658062979329,102.542041114834,35.9726,55.8125
KOGD006,KOGD,2020-01-06 00:00:00,2020.0163934,6,-1356671.04781,6098368.03846,1280387.72989,47,886290.0629,1291158.4251,11.658062989359,102.542041108320,35.9690,55.8088
KOGD007,KOGD,2020-01-07 00:00:00,2020.0191257,7,-1356671.05127,6098368.04143,1280387.73409,47,886290.0656,1291158.4285,11.658063019903,102.542041133385,35.9734,55.8132
KOGD008,KOGD,2020-01-08 00:00:00,2020.0218579,8,-1356671.04947,6098368.04328,1280387.73405,47,886290.0634,1291158.4282,11.658063016962,102.542041113630,35.9748,55.8146
KOGD009,KOGD,2020-01-09 00:00:00,2020.0245902,9,-1356671.04947,6098368.04547,1280387.73681,47,886290.0629,1291158.4304,11.658063037449,102.542041109237,35.9775,55.8173
KOGD010,KOGD,2020-01-10 00:00:00,2020.0273224,10,-1356671.05379,6098368.04437,1280387.73614,47,886290.0674,1291158.4299,11.658063031849,102.542041150090,35.9772,55.8170
KOGD011,KOGD,2020-01-11 00:00:00,2020.0300546,11,-1356671.05275,6098368.04573,1280387.73263,47,886290.0661,1291158.4262,11.658062998703,102.542041138056,35.9776,55.8174
KOGD012,KOGD,2020-01-12 00:00:00,2020.0327869,12,-1356671.04911,6098368.03531,1280387.73110,47,886290.0648,1291158.4269,11.658063005151,102.542041126310,35.9665,55.8063
KOGD013,KOGD,2020-01-13 00:00:00,2020.0355191,13,-1356671.05129,6098368.03770,1280387.73266,47,886290.0664,1291158.4279,11.658063013865,102.542041141003,35.9696,55.8094
KOGD014,KOGD,2020-01-14 00:00:00,2020.0382514,14,-1356671.04966,6098368.04001,1280387.73278,47,886290.0643,1291158.4276,11.658063011490,102.542041121835,35.9715,55.8113
KOGD015,KOGD,2020-01-15 00:00:00,2020.0409836,15,-1356671.05219,6098368.03858,1280387.73161,47,886290.0671,1291158.4266,11.658063002651,102.542041147341,35.9704,55.8102
KOGD016,KOGD,2020-01-16 00:00:00,2020.0437158,16,-1356671.05024,6098368.04527,1280387.73451,47,886290.0638,1291158.4282,11.658063017143,102.542041116561,35.9770,55.8168
KOGD017,KOGD,2020-01-17 00:00:00,2020.0464481,17,-1356671.04731,6098368.03715,1280387.72947,47,886290.0627,1291158.4250,11.658062988174,102.542041106506,35.9676,55.8074
KOGD018,KOGD,2020-01-18 00:00:00,2020.0491803,18,-1356671.04781,6098368.03493,1280387.72891,47,886290.0637,1291158.4248,11.658062987000,102.542041115391,35.9654,55.8052
KOGD019,KOGD,2020-01-19 00:00:00,2020.0519126,19,-1356671.05072,6098368.04498,1280387.72870,47,886290.0644,1291158.4225,11.658062966084,102.542041121386,35.9756,55.8154
KOGD020,KOGD,2020-01-20 00:00:00,2020.0546448,20,-1356671.05259,6098368.04055,1280387.72989,47,886290.0671,1291158.4245,11.658062983748,102.542041146984,35.9720,55.8118
KOGD021,KOGD,2020-01-21 00:00:00,2020.0573770,21,-1356671.04993,6098368.04432,1280387.73022,47,886290.0637,1291158.4242,11.658062980968,102.542041115633,35.9751,55.8149
KOGD022,KOGD,2020-01-22 00:00:00,2020.0601093,22,-1356671.05096,6098368.04506,1280387.72994,47,886290.0646,1291158.4237,11.658062976755,102.542041123447,35.9760,55.8158
KOGD023,KOGD,2020-01-23 00:00:00,2020.0628415,23,-1356671.05002,6098368.05185,1280387.73641,47,886290.0621,1291158.4287,11.658063022328,102.542041101477,35.9836,55.8234
KOGD024,KOGD,2020-01-24 00:00:00,2020.0655738,24,-1356671.05153,6098368.04117,1280387.73005,47,886290.0660,1291158.4246,11.658062984438,102.542041136298,35.9724,55.8122
KOGD025,KOGD,2020-01-25 00:00:00,2020.0683060,25,-1356671.05141,6098368.05152,1280387.73305,47,886290.0636,1291158.4255,11.658062992665,102.542041114540,35.9829,55.8227
KOGD026,KOGD,2020-01-26 00:00:00,2020.0710383,26,-1356671.05576,6098368.05476,1280387.73265,47,886290.0671,1291158.4243,11.658062981631,102.542041147049,35.9868,55.8267
KOGD027,KOGD,2020-01-27 00:00:00,2020.0737705,27,-1356671.05486,6098368.04725,1280387.73527,47,886290.0678,1291158.4284,11.658063018550,102.542041153998,35.9800,55.8198
KOGD028,KOGD,2020-01-28 00:00:00,2020.0765027,28,-1356671.05023,6098368.05069,1280387.73120,47,886290.0626,1291158.4239,11.658062978234,102.542041105704,35.9815,55.8213
KOGD029,KOGD,2020-01-29 00:00:00,2020.0792350,29,-1356671.05017,6098368.04878,1280387.73070,47,886290.0630,1291158.4238,11.658062977224,102.542041108916,35.9795,55.8194
KOGD030,KOGD,2020-01-30 00:00:00,2020.0819672,30,-1356671.05586,6098368.04564,1280387.73187,47,886290.0692,1291158.4254,11.658062990933,102.542041166117,35.9780,55.8178
KOGD031,KOGD,2020-01-31 00:00:00,2020.0846995,31,-1356671.05343,6098368.03293,1280387.72596,47,886290.0696,1291158.4222,11.658062962196,102.542041169683,35.9641,55.8039
KOGD032,KOGD,2020-02-01 00:00:00,2020.0874317,32,-1356671.04731,6098368.02524,1280387.72027,47,886290.0654,1291158.4183,11.658062927968,102.542041130209,35.9543,55.7941
KOGD033,KOGD,2020-02-02 00:00:00,2020.0901639,33,-1356671.05148,6098368.03230,1280387.72661,47,886290.0679,1291158.4230,11.658062969857,102.542041153475,35.9632,55.8030
KOGD034,KOGD,2020-02-03 00:00:00,2020.0928962,34,-1356671.05250,6098368.03087,1280387.72774,47,886290.0691,1291158.4244,11.658062982006,102.542041165497,35.9623,55.8021
KOGD035,KOGD,2020-02-04 00:00:00,2020.0956284,35,-1356671.04869,6098368.02606,1280387.72560,47,886290.0665,1291158.4233,11.658062973116,102.542041140924,35.9565,55.7963
KOGD036,KOGD,2020-02-05 00:00:00,2020.0983607,36,-1356671.05081,6098368.04085,1280387.73454,47,886290.0653,1291158.4291,11.658063025083,102.542041130420,35.9729,55.8127
