id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
LSN1167,LSN1,2020-06-15 00:00:00,2020.4562842,167,-1088138.32945,6196941.04622,1042730.29334,47,605293.7174,1047220.4973,9.472357981747,99.959198751125,8.3082,31.4068
LSN1168,LSN1,2020-06-16 00:00:00,2020.4590164,168,-1088138.33292,6196941.05023,1042730.29493,47,605293.7201,1047220.4982,9.472357989152,99.959198775918,8.3130,31.4116
LSN1169,LSN1,2020-06-17 00:00:00,2020.4617486,169,-1088138.33484,6196941.05306,1042730.29352,47,605293.7215,1047220.4963,9.472357971986,99.959198788703,8.3158,31.4144
LSN1170,LSN1,2020-06-18 00:00:00,2020.4644809,170,-1088138.33221,6196941.04881,1042730.29283,47,605293.7196,1047220.4964,9.472357972729,99.959198771762,8.3111,31.4097
LSN1172,LSN1,2020-06-20 00:00:00,2020.4699454,172,-1088138.33364,6196941.05881,1042730.29718,47,605293.7193,1047220.4990,9.472357996517,99.959198768910,8.3218,31.4204
LSN1173,LSN1,2020-06-21 00:00:00,2020.4726776,173,-1088138.33634,6196941.05193,1042730.29495,47,605293.7232,1047220.4978,9.472357985951,99.959198803938,8.3152,31.4138
LSN1174,LSN1,2020-06-22 00:00:00,2020.4754098,174,-1088138.33387,6196941.05309,1042730.29655,47,605293.7205,1047220.4993,9.472357999223,99.959198779909,8.3162,31.4148
LSN1175,LSN1,2020-06-23 00:00:00,2020.4781421,175,-1088138.33012,6196941.04963,1042730.29530,47,605293.7174,1047220.4987,9.472357994106,99.959198751758,8.3120,31.4106
LSN1176,LSN1,2020-06-24 00:00:00,2020.4808743,176,-1088138.33067,6196941.03714,1042730.29215,47,605293.7201,1047220.4976,9.472357984171,99.959198776337,8.2994,31.3980
LSN1177,LSN1,2020-06-25 00:00:00,2020.4836066,177,-1088138.33240,6196941.06277,1042730.29797,47,605293.7174,1047220.4992,9.472357998069,99.959198751530,8.3256,31.4242
LSN1178,LSN1,2020-06-26 00:00:00,2020.4863388,178,-1088138.33389,6196941.04965,1042730.29186,47,605293.7211,1047220.4952,9.472357962406,99.959198785518,8.3121,31.4107
LSN1181,LSN1,2020-06-29 00:00:00,2020.4945355,181,-1088138.32616,6196941.04752,1042730.29316,47,605293.7139,1047220.4970,9.472357979088,99.959198719539,8.3089,31.4075
LSN1182,LSN1,2020-06-30 00:00:00,2020.4972678,182,-1088138.33218,6196941.04883,1042730.29450,47,605293.7196,1047220.4980,9.472357987581,99.959198771475,8.3114,31.4100
LSN1184,LSN1,2020-07-02 00:00:00,2020.5027322,184,-1088138.33515,6196941.04052,1042730.29482,47,605293.7240,1047220.4996,9.472358001874,99.959198811228,8.3039,31.4025
LSN1185,LSN1,2020-07-03 00:00:00,2020.5054645,185,-1088138.33364,6196941.04275,1042730.29420,47,605293.7221,1047220.4986,9.472357993418,99.959198794167,8.3057,31.4043
LSN1186,LSN1,2020-07-04 00:00:00,2020.5081967,186,-1088138.33359,6196941.05362,1042730.29284,47,605293.7202,1047220.4955,9.472357965436,99.959198776606,8.3160,31.4146
LSN1187,LSN1,2020-07-05 00:00:00,2020.5109290,187,-1088138.33391,6196941.04805,1042730.29640,47,605293.7214,1047220.5000,9.472358005248,99.959198788240,8.3113,31.4099
LSN1188,LSN1,2020-07-06 00:00:00,2020.5136612,188,-1088138.33117,6196941.04106,1042730.29106,47,605293.7200,1047220.4959,9.472357968553,99.959198774676,8.3031,31.4017
LSN1189,LSN1,2020-07-07 00:00:00,2020.5163934,189,-1088138.33098,6196941.04138,1042730.29159,47,605293.7197,1047220.4964,9.472357972887,99.959198772454,8.3035,31.4021
LSN1190,LSN1,2020-07-08 00:00:00,2020.5191257,190,-1088138.33584,6196941.05391,1042730.29231,47,605293.7223,1047220.4949,9.472357959660,99.959198796326,8.3166,31.4152
LSN1191,LSN1,2020-07-09 00:00:00,2020.5218579,191,-1088138.33173,6196941.05248,1042730.29172,47,605293.7185,1047220.4947,9.472357957551,99.959198761695,8.3144,31.4130
LSN1192,LSN1,2020-07-10 00:00:00,2020.5245902,192,-1088138.33141,6196941.04471,1042730.29186,47,605293.7196,1047220.4961,9.472357970331,99.959198771106,8.3069,31.4054
LSN1193,LSN1,2020-07-11 00:00:00,2020.5273224,193,-1088138.33506,6196941.04824,1042730.28803,47,605293.7225,1047220.4916,9.472357930009,99.959198798226,8.3103,31.4089
LSN1194,LSN1,2020-07-12 00:00:00,2020.5300546,194,-1088138.33323,6196941.04845,1042730.28927,47,605293.7207,1047220.4929,9.472357941214,99.959198781541,8.3104,31.4090
LSN1195,LSN1,2020-07-13 00:00:00,2020.5327869,195,-1088138.33352,6196941.04903,1042730.29303,47,605293.7209,1047220.4965,9.472357973862,99.959198783201,8.3116,31.4102
LSN1196,LSN1,2020-07-14 00:00:00,2020.5355191,196,-1088138.33383,6196941.05371,1042730.29536,47,605293.7204,1047220.4980,9.472357987709,99.959198778645,8.3166,31.4152
LSN1197,LSN1,2020-07-15 00:00:00,2020.5382514,197,-1088138.32976,6196941.04066,1042730.28923,47,605293.7186,1047220.4942,9.472357953150,99.959198762654,8.3022,31.4008
LSN1198,LSN1,2020-07-16 00:00:00,2020.5409836,198,-1088138.33227,6196941.05132,1042730.28975,47,605293.7193,1047220.4929,9.472357941514,99.959198768400,8.3131,31.4117
LSN1199,LSN1,2020-07-17 00:00:00,2020.5437158,199,-1088138.32968,6196941.03908,1042730.29119,47,605293.7188,1047220.4964,9.472357973025,99.959198764416,8.3010,31.3996
LSN1200,LSN1,2020-07-18 00:00:00,2020.5464481,200,-1088138.33364,6196941.04749,1042730.29231,47,605293.7213,1047220.4960,9.472357969662,99.959198786722,8.3100,31.4086
LSN1201,LSN1,2020-07-19 00:00:00,2020.5491803,201,-1088138.33240,6196941.05107,1042730.28665,47,605293.7194,1047220.4899,9.472357914269,99.959198769948,8.3123,31.4109
LSN1202,LSN1,2020-07-20 00:00:00,2020.5519126,202,-1088138.33810,6196941.05577,1042730.29063,47,605293.7242,1047220.4929,9.472357941382,99.959198813638,8.3185,31.4171
LSN1203,LSN1,2020-07-21 00:00:00,2020.5546448,203,-1088138.33665,6196941.06569,1042730.29325,47,605293.7211,1047220.4939,9.472357950564,99.959198785024,8.3284,31.4269
LSN1204,LSN1,2020-07-22 00:00:00,2020.5573770,204,-1088138.32690,6196941.02730,1042730.28611,47,605293.7181,1047220.4934,9.472357945658,99.959198758017,8.2882,31.3868
LSN1205,LSN1,2020-07-23 00:00:00,2020.5601093,205,-1088138.33502,6196941.04935,1042730.28682,47,605293.7223,1047220.4903,9.472357917590,99.959198796120,8.3111,31.4097
LSN1206,LSN1,2020-07-24 00:00:00,2020.5628415,206,-1088138.32294,6196941.05188,1042730.28637,47,605293.7100,1047220.4897,9.472357913011,99.959198683793,8.3115,31.4101
LSN1207,LSN1,2020-07-25 00:00:00,2020.5655738,207,-1088138.33282,6196941.04407,1042730.29016,47,605293.7211,1047220.4945,9.472357955705,99.959198784756,8.3062,31.4048
LSN1208,LSN1,2020-07-26 00:00:00,2020.5683060,208,-1088138.32708,6196941.03011,1042730.28672,47,605293.7178,1047220.4935,9.472357946917,99.959198755206,8.2911,31.3897
LSN1209,LSN1,2020-07-27 00:00:00,2020.5710383,209,-1088138.33020,6196941.04261,1042730.28872,47,605293.7187,1047220.4934,9.472357945665,99.959198763552,8.3041,31.4027
LSN1210,LSN1,2020-07-28 00:00:00,2020.5737705,210,-1088138.33035,6196941.04252,1042730.28669,47,605293.7189,1047220.4914,9.472357927689,99.959198765006,8.3037,31.4023
LSN1211,LSN1,2020-07-29 00:00:00,2020.5765027,211,-1088138.33473,6196941.04669,1042730.29260,47,605293.7225,1047220.4964,9.472357973160,99.959198797709,8.3095,31.4081
LSN1212,LSN1,2020-07-30 00:00:00,2020.5792350,212,-1088138.33231,6196941.04952,1042730.29022,47,605293.7196,1047220.4937,9.472357948401,99.959198771578,8.3114,31.4100
LSN1213,LSN1,2020-07-31 00:00:00,2020.5819672,213,-1088138.33548,6196941.06668,1042730.29440,47,605293.7198,1047220.4949,9.472357959666,99.959198773004,8.3293,31.4279
LSN1214,LSN1,2020-08-01 00:00:00,2020.5846995,214,-1088138.33274,6196941.05006,1042730.29398,47,605293.7199,1047220.4973,9.472357981033,99.959198774539,8.3126,31.4112
LSN1215,LSN1,2020-08-02 00:00:00,2020.5874317,215,-1088138.33341,6196941.05945,1042730.29446,47,605293.7190,1047220.4962,9.472357971344,99.959198765768,8.3219,31.4205
LSN1216,LSN1,2020-08-03 00:00:00,2020.5901639,216,-1088138.33728,6196941.05027,1042730.29237,47,605293.7244,1047220.4955,9.472357965194,99.959198814984,8.3133,31.4119
LSN1217,LSN1,2020-08-04 00:00:00,2020.5928962,217,-1088138.32756,6196941.03418,1042730.28700,47,605293.7176,1047220.4931,9.472357943381,99.959198753126,8.2952,31.3938
LSN1218,LSN1,2020-08-05 00:00:00,2020.5956284,218,-1088138.33169,6196941.05128,1042730.29172,47,605293.7187,1047220.4949,9.472357959309,99.959198763252,8.3133,31.4118
LSN1219,LSN1,2020-08-06 00:00:00,2020.5983607,219,-1088138.33086,6196941.04110,1042730.29043,47,605293.7196,1047220.4953,9.472357962923,99.959198771878,8.3030,31.4016
LSN1220,LSN1,2020-08-07 00:00:00,2020.6010929,220,-1088138.33046,6196941.04677,1042730.29033,47,605293.7183,1047220.4943,9.472357953820,99.959198759351,8.3084,31.4070
LSN1221,LSN1,2020-08-08 00:00:00,2020.6038251,221,-1088138.33122,6196941.04742,1042730.28944,47,605293.7189,1047220.4933,9.472357944794,99.959198765075,8.3091,31.4077
LSN1222,LSN1,2020-08-09 00:00:00,2020.6065574,222,-1088138.33467,6196941.04257,1042730.28830,47,605293.7231,1047220.4928,9.472357940784,99.959198803672,8.3048,31.4033
LSN1223,LSN1,2020-08-10 00:00:00,2020.6092896,223,-1088138.33085,6196941.05413,1042730.29090,47,605293.7174,1047220.4936,9.472357948069,99.959198751265,8.3158,31.4143
LSN1224,LSN1,2020-08-11 00:00:00,2020.6120219,224,-1088138.32740,6196941.05273,1042730.28925,47,605293.7142,1047220.4923,9.472357936285,99.959198722453,8.3135,31.4121
LSN1225,LSN1,2020-08-12 00:00:00,2020.6147541,225,-1088138.33332,6196941.04840,1042730.28875,47,605293.7208,1047220.4924,9.472357936607,99.959198782434,8.3103,31.4088
LSN1226,LSN1,2020-08-13 00:00:00,2020.6174863,226,-1088138.33121,6196941.03720,1042730.29252,47,605293.7206,1047220.4980,9.472357987225,99.959198781093,8.2996,31.3982
LSN1227,LSN1,2020-08-14 00:00:00,2020.6202186,227,-1088138.33117,6196941.04668,1042730.29182,47,605293.7190,1047220.4957,9.472357967106,99.959198765802,8.3087,31.4073
