id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
NKBI167,NKBI,2020-06-15 00:00:00,2020.4562842,167,-1004107.40413,6237146.54815,874718.73944,47,516034.1322,877174.7526,7.935542105004,99.145478454666,-8.8864,12.4269
NKBI168,NKBI,2020-06-16 00:00:00,2020.4590164,168,-1004107.40625,6237146.54469,874718.73643,47,516034.1348,877174.7500,7.935542081921,99.145478478562,-8.8899,12.4235
NKBI169,NKBI,2020-06-17 00:00:00,2020.4617486,169,-1004107.40780,6237146.55142,874718.73715,47,516034.1353,877174.7498,7.935542079724,99.145478482795,-8.8830,12.4304
NKBI170,NKBI,2020-06-18 00:00:00,2020.4644809,170,-1004107.40733,6237146.55302,874718.73789,47,516034.1346,877174.7503,7.935542084483,99.145478476232,-8.8814,12.4320
NKBI172,NKBI,2020-06-20 00:00:00,2020.4699454,172,-1004107.40533,6237146.54694,874718.73839,47,516034.1336,877174.7517,7.935542096882,99.145478467119,-8.8876,12.4258
NKBI173,NKBI,2020-06-21 00:00:00,2020.4726776,173,-1004107.40749,6237146.55058,874718.73811,47,516034.1351,877174.7508,7.935542089487,99.145478481237,-8.8837,12.4296
NKBI174,NKBI,2020-06-22 00:00:00,2020.4754098,174,-1004107.40250,6237146.55221,874718.73996,47,516034.1299,877174.7526,7.935542105004,99.145478434162,-8.8827,12.4307
NKBI176,NKBI,2020-06-24 00:00:00,2020.4808743,176,-1004107.40265,6237146.54733,874718.73972,47,516034.1309,877174.7530,7.935542108797,99.145478442563,-8.8874,12.4259
NKBI177,NKBI,2020-06-25 00:00:00,2020.4836066,177,-1004107.40374,6237146.55932,874718.73947,47,516034.1300,877174.7511,7.935542091627,99.145478435036,-8.8756,12.4378
NKBI178,NKBI,2020-06-26 00:00:00,2020.4863388,178,-1004107.40825,6237146.54303,874718.73550,47,516034.1371,877174.7493,7.935542075211,99.145478498902,-8.8913,12.4220
NKBI181,NKBI,2020-06-29 00:00:00,2020.4945355,181,-1004107.40149,6237146.54944,874718.73812,47,516034.1294,877174.7511,7.935542092106,99.145478429097,-8.8858,12.4276
NKBI182,NKBI,2020-06-30 00:00:00,2020.4972678,182,-1004107.40757,6237146.55056,874718.73512,47,516034.1352,877174.7479,7.935542062642,99.145478481910,-8.8841,12.4292
NKBI183,NKBI,2020-07-01 00:00:00,2020.5000000,183,-1004107.40562,6237146.55227,874718.73907,47,516034.1330,877174.7516,7.935542096311,99.145478462052,-8.8822,12.4311
NKBI184,NKBI,2020-07-02 00:00:00,2020.5027322,184,-1004107.40898,6237146.54659,874718.73907,47,516034.1372,877174.7523,7.935542102647,99.145478500267,-8.8873,12.4261
NKBI185,NKBI,2020-07-03 00:00:00,2020.5054645,185,-1004107.40499,6237146.54439,874718.73846,47,516034.1336,877174.7521,7.935542100757,99.145478467743,-8.8901,12.4232
NKBI186,NKBI,2020-07-04 00:00:00,2020.5081967,186,-1004107.40357,6237146.54308,874718.73515,47,516034.1324,877174.7490,7.935542072979,99.145478456965,-8.8921,12.4213
NKBI187,NKBI,2020-07-05 00:00:00,2020.5109290,187,-1004107.40329,6237146.54308,874718.73645,47,516034.1322,877174.7503,7.935542084707,99.145478454465,-8.8919,12.4214
NKBI188,NKBI,2020-07-06 00:00:00,2020.5136612,188,-1004107.40507,6237146.54474,874718.73848,47,516034.1337,877174.7521,7.935542100407,99.145478467984,-8.8898,12.4236
NKBI189,NKBI,2020-07-07 00:00:00,2020.5163934,189,-1004107.40580,6237146.54494,874718.73700,47,516034.1343,877174.7506,7.935542086815,99.145478474228,-8.8897,12.4237
NKBI190,NKBI,2020-07-08 00:00:00,2020.5191257,190,-1004107.40680,6237146.53990,874718.73595,47,516034.1361,877174.7502,7.935542083416,99.145478490467,-8.8946,12.4188
NKBI191,NKBI,2020-07-09 00:00:00,2020.5218579,191,-1004107.40374,6237146.54738,874718.73359,47,516034.1319,877174.7469,7.935542053636,99.145478452246,-8.8881,12.4253
NKBI192,NKBI,2020-07-10 00:00:00,2020.5245902,192,-1004107.40468,6237146.53856,874718.73533,47,516034.1342,877174.7498,7.935542079913,99.145478473367,-8.8963,12.4171
NKBI193,NKBI,2020-07-11 00:00:00,2020.5273224,193,-1004107.40760,6237146.54380,874718.73465,47,516034.1363,877174.7483,7.935542066840,99.145478491965,-8.8908,12.4225
NKBI195,NKBI,2020-07-13 00:00:00,2020.5327869,195,-1004107.40803,6237146.55600,874718.73790,47,516034.1348,877174.7499,7.935542080808,99.145478478195,-8.8784,12.4350
NKBI196,NKBI,2020-07-14 00:00:00,2020.5355191,196,-1004107.40494,6237146.54768,874718.73637,47,516034.1331,877174.7496,7.935542077956,99.145478462542,-8.8872,12.4262
