id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PJRK001,PJRK,2020-01-01 00:00:00,2020.0027322,1,-1062387.59154,6152905.10209,1297009.23488,47,586752.2388,1305846.2372,11.811617659231,99.796349962558,-11.9644,16.6829
PJRK002,PJRK,2020-01-02 00:00:00,2020.0054645,2,-1062387.59121,6152905.10476,1297009.23542,47,586752.2380,1305846.2372,11.811617659220,99.796349955368,-11.9617,16.6856
PJRK003,PJRK,2020-01-03 00:00:00,2020.0081967,3,-1062387.59202,6152905.10715,1297009.23325,47,586752.2384,1305846.2346,11.811617635400,99.796349958987,-11.9597,16.6876
PJRK004,PJRK,2020-01-04 00:00:00,2020.0109290,4,-1062387.58800,6152905.10415,1297009.23071,47,586752.2350,1305846.2328,11.811617619695,99.796349927352,-11.9638,16.6835
PJRK005,PJRK,2020-01-05 00:00:00,2020.0136612,5,-1062387.58996,6152905.10310,1297009.23229,47,586752.2371,1305846.2345,11.811617634971,99.796349946647,-11.9642,16.6831
PJRK006,PJRK,2020-01-06 00:00:00,2020.0163934,6,-1062387.59064,6152905.11044,1297009.23587,47,586752.2365,1305846.2365,11.811617653052,99.796349941383,-11.9562,16.6911
PJRK007,PJRK,2020-01-07 00:00:00,2020.0191257,7,-1062387.59153,6152905.12171,1297009.24136,47,586752.2355,1305846.2396,11.811617680812,99.796349931789,-11.9441,16.7032
PJRK008,PJRK,2020-01-08 00:00:00,2020.0218579,8,-1062387.59154,6152905.11574,1297009.23905,47,586752.2365,1305846.2385,11.811617671205,99.796349941253,-11.9503,16.6970
PJRK009,PJRK,2020-01-09 00:00:00,2020.0245902,9,-1062387.58996,6152905.11146,1297009.23610,47,586752.2357,1305846.2366,11.811617653441,99.796349933631,-11.9553,16.6920
PJRK010,PJRK,2020-01-10 00:00:00,2020.0273224,10,-1062387.58878,6152905.11347,1297009.23888,47,586752.2342,1305846.2389,11.811617674774,99.796349919838,-11.9530,16.6943
PJRK011,PJRK,2020-01-11 00:00:00,2020.0300546,11,-1062387.59479,6152905.12597,1297009.24051,47,586752.2379,1305846.2378,11.811617664477,99.796349954669,-11.9396,16.7077
PJRK012,PJRK,2020-01-12 00:00:00,2020.0327869,12,-1062387.58955,6152905.10649,1297009.23627,47,586752.2361,1305846.2378,11.811617664137,99.796349937720,-11.9602,16.6871
