id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
THAI001,THAI,2020-01-01 00:00:00,2020.0027322,1,-1150486.07620,6080853.89555,1537596.42712,47,685044.8287,1553154.1425,14.043005758991,100.713616593430,-7.2868,22.9711
THAI002,THAI,2020-01-02 00:00:00,2020.0054645,2,-1150486.08136,6080853.90332,1537596.43089,47,685044.8323,1553154.1441,14.043005773209,100.713616627063,-7.2775,22.9803
THAI003,THAI,2020-01-03 00:00:00,2020.0081967,3,-1150486.07636,6080853.90114,1537596.42761,47,685044.8278,1553154.1416,14.043005751159,100.713616585291,-7.2813,22.9766
THAI004,THAI,2020-01-04 00:00:00,2020.0109290,4,-1150486.07888,6080853.90973,1537596.42865,47,685044.8287,1553154.1404,14.043005740736,100.713616593402,-7.2724,22.9855
THAI005,THAI,2020-01-05 00:00:00,2020.0136612,5,-1150486.08020,6080853.91125,1537596.42894,47,685044.8297,1553154.1403,14.043005739523,100.713616602790,-7.2707,22.9872
THAI006,THAI,2020-01-06 00:00:00,2020.0163934,6,-1150486.07764,6080853.90687,1537596.42961,47,685044.8280,1553154.1421,14.043005755853,100.713616587081,-7.2751,22.9827
THAI007,THAI,2020-01-07 00:00:00,2020.0191257,7,-1150486.07752,6080853.91186,1537596.43309,47,685044.8269,1553154.1443,14.043005775664,100.713616577435,-7.2696,22.9883
THAI008,THAI,2020-01-08 00:00:00,2020.0218579,8,-1150486.07924,6080853.90878,1537596.43350,47,685044.8292,1553154.1454,14.043005785218,100.713616598309,-7.2721,22.9858
THAI009,THAI,2020-01-09 00:00:00,2020.0245902,9,-1150486.07907,6080853.91232,1537596.43297,47,685044.8284,1553154.1440,14.043005772961,100.713616590667,-7.2689,22.9890
THAI010,THAI,2020-01-10 00:00:00,2020.0273224,10,-1150486.07696,6080853.90863,1537596.43252,47,685044.8270,1553154.1445,14.043005777852,100.713616577882,-7.2729,22.9850
