id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
BOBR001,BOBR,2020-01-01 00:00:00,2020.0027322,1,-1391662.80761,5971556.56783,1750910.62192,47,940888.5480,1777625.3132,16.038931363556,103.118548837953,151.3221,179.7404
BOBR002,BOBR,2020-01-02 00:00:00,2020.0054645,2,-1391662.81269,5971556.57133,1750910.62420,47,940888.5521,1777625.3142,16.038931371964,103.118548876811,151.3271,179.7454
BOBR003,BOBR,2020-01-03 00:00:00,2020.0081967,3,-1391662.80955,5971556.56829,1750910.61966,47,940888.5498,1777625.3108,16.038931341715,103.118548854661,151.3223,179.7406
BOBR004,BOBR,2020-01-04 00:00:00,2020.0109290,4,-1391662.80968,5971556.57381,1750910.62101,47,940888.5487,1777625.3106,16.038931340020,103.118548844196,151.3279,179.7462
BOBR005,BOBR,2020-01-05 00:00:00,2020.0136612,5,-1391662.81203,5971556.58083,1750910.62303,47,940888.5494,1777625.3105,16.038931339166,103.118548850646,151.3355,179.7539
BOBR006,BOBR,2020-01-06 00:00:00,2020.0163934,6,-1391662.80875,5971556.57535,1750910.62310,47,940888.5474,1777625.3122,16.038931354954,103.118548832420,151.3297,179.7480
BOBR007,BOBR,2020-01-07 00:00:00,2020.0191257,7,-1391662.80729,5971556.57169,1750910.62453,47,940888.5467,1777625.3146,16.038931377089,103.118548826885,151.3264,179.7447
BOBR008,BOBR,2020-01-08 00:00:00,2020.0218579,8,-1391662.80965,5971556.57556,1750910.62665,47,940888.5481,1777625.3155,16.038931384733,103.118548840132,151.3311,179.7494
BOBR009,BOBR,2020-01-09 00:00:00,2020.0245902,9,-1391662.80878,5971556.57200,1750910.62409,47,940888.5481,1777625.3140,16.038931371614,103.118548839844,151.3268,179.7452
BOBR010,BOBR,2020-01-10 00:00:00,2020.0273224,10,-1391662.81064,5971556.57238,1750910.62290,47,940888.5499,1777625.3127,16.038931359346,103.118548855948,151.3273,179.7456
BOBR011,BOBR,2020-01-11 00:00:00,2020.0300546,11,-1391662.80858,5971556.56703,1750910.62295,47,940888.5491,1777625.3143,16.038931373924,103.118548848537,151.3218,179.7402
BOBR012,BOBR,2020-01-12 00:00:00,2020.0327869,12,-1391662.81370,5971556.58146,1750910.62671,47,940888.5508,1777625.3138,16.038931368622,103.118548864497,151.3375,179.7558
BOBR013,BOBR,2020-01-13 00:00:00,2020.0355191,13,-1391662.80871,5971556.56988,1750910.62204,47,940888.5486,1777625.3127,16.038931359059,103.118548843650,151.3243,179.7426
BOBR014,BOBR,2020-01-14 00:00:00,2020.0382514,14,-1391662.80952,5971556.56827,1750910.62277,47,940888.5497,1777625.3138,16.038931368817,103.118548854442,151.3232,179.7415
BOBR015,BOBR,2020-01-15 00:00:00,2020.0409836,15,-1391662.81226,5971556.57151,1750910.62338,47,940888.5517,1777625.3133,16.038931364641,103.118548872475,151.3270,179.7453
BOBR016,BOBR,2020-01-16 00:00:00,2020.0437158,16,-1391662.81182,5971556.57707,1750910.62390,47,940888.5500,1777625.3123,16.038931355945,103.118548856749,151.3322,179.7505
BOBR017,BOBR,2020-01-17 00:00:00,2020.0464481,17,-1391662.81172,5971556.57690,1750910.62283,47,940888.5499,1777625.3114,16.038931347145,103.118548856146,151.3317,179.7501
BOBR018,BOBR,2020-01-18 00:00:00,2020.0491803,18,-1391662.80975,5971556.56854,1750910.62011,47,940888.5499,1777625.3111,16.038931344902,103.118548855968,151.3227,179.7410
BOBR019,BOBR,2020-01-19 00:00:00,2020.0519126,19,-1391662.80978,5971556.56718,1750910.62140,47,940888.5502,1777625.3127,16.038931359434,103.118548859089,151.3218,179.7401
BOBR020,BOBR,2020-01-20 00:00:00,2020.0546448,20,-1391662.81129,5971556.57263,1750910.62439,47,940888.5504,1777625.3141,16.038931371289,103.118548861289,151.3281,179.7464
BOBR021,BOBR,2020-01-21 00:00:00,2020.0573770,21,-1391662.80950,5971556.57172,1750910.62251,47,940888.5489,1777625.3126,16.038931358160,103.118548846930,151.3263,179.7446
BOBR022,BOBR,2020-01-22 00:00:00,2020.0601093,22,-1391662.81080,5971556.58002,1750910.62258,47,940888.5484,1777625.3103,16.038931337887,103.118548841128,151.3344,179.7527
BOBR023,BOBR,2020-01-23 00:00:00,2020.0628415,23,-1391662.81371,5971556.58156,1750910.62947,47,940888.5507,1777625.3164,16.038931392344,103.118548864421,151.3384,179.7567
BOBR024,BOBR,2020-01-24 00:00:00,2020.0655738,24,-1391662.81166,5971556.57018,1750910.62376,47,940888.5514,1777625.3141,16.038931371575,103.118548869884,151.3257,179.7440
BOBR025,BOBR,2020-01-25 00:00:00,2020.0683060,25,-1391662.80975,5971556.58743,1750910.62666,47,940888.5456,1777625.3123,16.038931355922,103.118548815888,151.3422,179.7605
BOBR026,BOBR,2020-01-26 00:00:00,2020.0710383,26,-1391662.81137,5971556.56621,1750910.61836,47,940888.5521,1777625.3100,16.038931334441,103.118548875641,151.3204,179.7387
BOBR027,BOBR,2020-01-27 00:00:00,2020.0737705,27,-1391662.81316,5971556.58201,1750910.62750,47,940888.5501,1777625.3144,16.038931374464,103.118548858436,151.3381,179.7564
BOBR028,BOBR,2020-01-28 00:00:00,2020.0765027,28,-1391662.81242,5971556.57823,1750910.62346,47,940888.5503,1777625.3116,16.038931348998,103.118548859685,151.3333,179.7516
BOBR029,BOBR,2020-01-29 00:00:00,2020.0792350,29,-1391662.81053,5971556.57681,1750910.62205,47,940888.5488,1777625.3107,16.038931341232,103.118548845474,151.3312,179.7495
BOBR030,BOBR,2020-01-30 00:00:00,2020.0819672,30,-1391662.81037,5971556.56840,1750910.62310,47,940888.5505,1777625.3140,16.038931370924,103.118548861916,151.3236,179.7419
BOBR031,BOBR,2020-01-31 00:00:00,2020.0846995,31,-1391662.81451,5971556.57944,1750910.62200,47,940888.5521,1777625.3097,16.038931332128,103.118548876145,151.3345,179.7528
BOBR032,BOBR,2020-02-01 00:00:00,2020.0874317,32,-1391662.80505,5971556.56143,1750910.61333,47,940888.5470,1777625.3068,16.038931306020,103.118548828266,151.3132,179.7315
BOBR033,BOBR,2020-02-02 00:00:00,2020.0901639,33,-1391662.80909,5971556.56529,1750910.61848,47,940888.5500,1777625.3105,16.038931339008,103.118548856871,151.3191,179.7374
BOBR034,BOBR,2020-02-03 00:00:00,2020.0928962,34,-1391662.81064,5971556.57404,1750910.62250,47,940888.5495,1777625.3119,16.038931351822,103.118548852358,151.3287,179.7470
BOBR035,BOBR,2020-02-04 00:00:00,2020.0956284,35,-1391662.81181,5971556.57124,1750910.62099,47,940888.5513,1777625.3111,16.038931344865,103.118548868951,151.3259,179.7443
BOBR036,BOBR,2020-02-05 00:00:00,2020.0983607,36,-1391662.80781,5971556.56493,1750910.62305,47,940888.5488,1777625.3150,16.038931380319,103.118548845969,151.3197,179.7380
BOBR037,BOBR,2020-02-06 00:00:00,2020.1010929,37,-1391662.81289,5971556.57037,1750910.62163,47,940888.5526,1777625.3119,16.038931351870,103.118548880617,151.3255,179.7439
BOBR038,BOBR,2020-02-07 00:00:00,2020.1038251,38,-1391662.81375,5971556.58065,1750910.62620,47,940888.5510,1777625.3135,16.038931366138,103.118548866701,151.3366,179.7549
BOBR039,BOBR,2020-02-08 00:00:00,2020.1065574,39,-1391662.81397,5971556.58241,1750910.62597,47,940888.5509,1777625.3128,16.038931359734,103.118548864985,151.3382,179.7566
BOBR040,BOBR,2020-02-09 00:00:00,2020.1092896,40,-1391662.81425,5971556.57485,1750910.62563,47,940888.5528,1777625.3145,16.038931374970,103.118548883564,151.3311,179.7495
BOBR041,BOBR,2020-02-10 00:00:00,2020.1120219,41,-1391662.81215,5971556.57435,1750910.62197,47,940888.5509,1777625.3112,16.038931345625,103.118548865500,151.3292,179.7475
BOBR042,BOBR,2020-02-11 00:00:00,2020.1147541,42,-1391662.81297,5971556.58677,1750910.62281,47,940888.5490,1777625.3086,16.038931322205,103.118548846602,151.3412,179.7596
BOBR043,BOBR,2020-02-12 00:00:00,2020.1174863,43,-1391662.81308,5971556.57969,1750910.62117,47,940888.5507,1777625.3089,16.038931325139,103.118548862572,151.3342,179.7525
BOBR044,BOBR,2020-02-13 00:00:00,2020.1202186,44,-1391662.81106,5971556.57296,1750910.62229,47,940888.5502,1777625.3120,16.038931352367,103.118548858511,151.3278,179.7461
BOBR045,BOBR,2020-02-14 00:00:00,2020.1229508,45,-1391662.81549,5971556.58399,1750910.62155,47,940888.5521,1777625.3080,16.038931316634,103.118548875418,151.3388,179.7572
BOBR046,BOBR,2020-02-15 00:00:00,2020.1256831,46,-1391662.81093,5971556.57926,1750910.62222,47,940888.5487,1777625.3102,16.038931336515,103.118548843990,151.3336,179.7519
BOBR047,BOBR,2020-02-16 00:00:00,2020.1284153,47,-1391662.81340,5971556.57007,1750910.62378,47,940888.5531,1777625.3141,16.038931371036,103.118548885964,151.3260,179.7443
BOBR048,BOBR,2020-02-17 00:00:00,2020.1311475,48,-1391662.81062,5971556.57270,1750910.62364,47,940888.5498,1777625.3133,16.038931365001,103.118548855077,151.3278,179.7461
BOBR049,BOBR,2020-02-18 00:00:00,2020.1338798,49,-1391662.81415,5971556.57774,1750910.62143,47,940888.5522,1777625.3097,16.038931331588,103.118548876469,151.3327,179.7510
BOBR050,BOBR,2020-02-19 00:00:00,2020.1366120,50,-1391662.81066,5971556.57000,1750910.61975,47,940888.5505,1777625.3103,16.038931337711,103.118548861186,151.3242,179.7425
BOBR051,BOBR,2020-02-20 00:00:00,2020.1393443,51,-1391662.81417,5971556.57427,1750910.62110,47,940888.5529,1777625.3103,16.038931337093,103.118548884004,151.3293,179.7476
