id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
JAHM001,JAHM,2020-01-01 00:00:00,2020.0027322,1,-1003279.83990,5959660.14225,2032774.36075,47,558607.2308,2068529.8397,18.707275620930,99.555867104161,274.9182,312.2544
JAHM002,JAHM,2020-01-02 00:00:00,2020.0054645,2,-1003279.84167,5959660.13951,2032774.35910,47,558607.2330,2068529.8390,18.707275613818,99.555867124998,274.9154,312.2516
JAHM003,JAHM,2020-01-03 00:00:00,2020.0081967,3,-1003279.84063,5959660.14270,2032774.35870,47,558607.2314,2068529.8376,18.707275601760,99.555867110304,274.9181,312.2543
JAHM004,JAHM,2020-01-04 00:00:00,2020.0109290,4,-1003279.84040,5959660.14551,2032774.35923,47,558607.2308,2068529.8373,18.707275598410,99.555867103734,274.9209,312.2570
JAHM005,JAHM,2020-01-05 00:00:00,2020.0136612,5,-1003279.83991,5959660.14554,2032774.35809,47,558607.2303,2068529.8362,18.707275588772,99.555867099065,274.9205,312.2566
JAHM006,JAHM,2020-01-06 00:00:00,2020.0163934,6,-1003279.84048,5959660.14729,2032774.36070,47,558607.2305,2068529.8381,18.707275605815,99.555867101642,274.9230,312.2592
JAHM007,JAHM,2020-01-07 00:00:00,2020.0191257,7,-1003279.84327,5959660.15404,2032774.36499,47,558607.2322,2068529.8399,18.707275621933,99.555867117121,274.9311,312.2673
JAHM008,JAHM,2020-01-08 00:00:00,2020.0218579,8,-1003279.84207,5959660.14484,2032774.36055,47,558607.2325,2068529.8386,18.707275610815,99.555867120336,274.9209,312.2571
JAHM009,JAHM,2020-01-09 00:00:00,2020.0245902,9,-1003279.84059,5959660.14605,2032774.36312,47,558607.2308,2068529.8408,18.707275630011,99.555867104623,274.9227,312.2588
JAHM010,JAHM,2020-01-10 00:00:00,2020.0273224,10,-1003279.83897,5959660.14640,2032774.36236,47,558607.2292,2068529.8400,18.707275623347,99.555867088913,274.9225,312.2586
JAHM011,JAHM,2020-01-11 00:00:00,2020.0300546,11,-1003279.84538,5959660.15712,2032774.36478,47,558607.2337,2068529.8386,18.707275610289,99.555867132001,274.9343,312.2704
JAHM012,JAHM,2020-01-12 00:00:00,2020.0327869,12,-1003279.84161,5959660.14634,2032774.36246,47,558607.2318,2068529.8400,18.707275623043,99.555867113664,274.9229,312.2590
JAHM013,JAHM,2020-01-13 00:00:00,2020.0355191,13,-1003279.84527,5959660.15054,2032774.36157,47,558607.2347,2068529.8376,18.707275601692,99.555867141332,274.9271,312.2632
JAHM014,JAHM,2020-01-14 00:00:00,2020.0382514,14,-1003279.84418,5959660.15459,2032774.36225,47,558607.2330,2068529.8371,18.707275596511,99.555867124733,274.9309,312.2671
JAHM015,JAHM,2020-01-15 00:00:00,2020.0409836,15,-1003279.84294,5959660.14767,2032774.36451,47,558607.2329,2068529.8414,18.707275636183,99.555867124091,274.9250,312.2611
JAHM016,JAHM,2020-01-16 00:00:00,2020.0437158,16,-1003279.84248,5959660.14822,2032774.36383,47,558607.2323,2068529.8407,18.707275629051,99.555867118865,274.9252,312.2614
JAHM017,JAHM,2020-01-17 00:00:00,2020.0464481,17,-1003279.84147,5959660.13869,2032774.35754,47,558607.2329,2068529.8378,18.707275602888,99.555867124416,274.9141,312.2503
JAHM018,JAHM,2020-01-18 00:00:00,2020.0491803,18,-1003279.84086,5959660.13863,2032774.35930,47,558607.2323,2068529.8395,18.707275618384,99.555867118823,274.9146,312.2507
JAHM019,JAHM,2020-01-19 00:00:00,2020.0519126,19,-1003279.84292,5959660.15131,2032774.36077,47,558607.2323,2068529.8367,18.707275593792,99.555867118158,274.9272,312.2633
JAHM020,JAHM,2020-01-20 00:00:00,2020.0546448,20,-1003279.84211,5959660.14471,2032774.36089,47,558607.2326,2068529.8390,18.707275614052,99.555867120962,274.9209,312.2571
JAHM021,JAHM,2020-01-21 00:00:00,2020.0573770,21,-1003279.83926,5959660.13775,2032774.35550,47,558607.2309,2068529.8362,18.707275589247,99.555867105299,274.9123,312.2484
JAHM022,JAHM,2020-01-22 00:00:00,2020.0601093,22,-1003279.84273,5959660.15163,2032774.36018,47,558607.2320,2068529.8361,18.707275587959,99.555867115824,274.9273,312.2634
JAHM023,JAHM,2020-01-23 00:00:00,2020.0628415,23,-1003279.84485,5959660.16212,2032774.36843,47,558607.2324,2068529.8405,18.707275627546,99.555867119125,274.9401,312.2762
JAHM024,JAHM,2020-01-24 00:00:00,2020.0655738,24,-1003279.83899,5959660.14597,2032774.36457,47,558607.2293,2068529.8422,18.707275643463,99.555867089754,274.9228,312.2589
JAHM025,JAHM,2020-01-25 00:00:00,2020.0683060,25,-1003279.83942,5959660.14492,2032774.36454,47,558607.2299,2068529.8425,18.707275645963,99.555867095453,274.9219,312.2580
JAHM026,JAHM,2020-01-26 00:00:00,2020.0710383,26,-1003279.84260,5959660.15245,2032774.36452,47,558607.2318,2068529.8400,18.707275622770,99.555867113338,274.9294,312.2655
JAHM027,JAHM,2020-01-27 00:00:00,2020.0737705,27,-1003279.84314,5959660.14459,2032774.36443,47,558607.2336,2068529.8423,18.707275644218,99.555867130733,274.9221,312.2583
JAHM028,JAHM,2020-01-28 00:00:00,2020.0765027,28,-1003279.84124,5959660.13692,2032774.35582,47,558607.2330,2068529.8367,18.707275593376,99.555867125026,274.9119,312.2480
