id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
KOGD001,KOGD,2020-01-01 00:00:00,2020.0027322,1,-1356671.04720,6098368.02685,1280387.72999,47,886290.0648,1291158.4275,11.658063011201,102.542041126054,35.9578,55.7976
KOGD002,KOGD,2020-01-02 00:00:00,2020.0054645,2,-1356671.05041,6098368.03389,1280387.72898,47,886290.0664,1291158.4250,11.658062988466,102.542041140707,35.9650,55.8048
KOGD003,KOGD,2020-01-03 00:00:00,2020.0081967,3,-1356671.04777,6098368.03362,1280387.72862,47,886290.0639,1291158.4248,11.658062986796,102.542041117671,35.9641,55.8039
KOGD004,KOGD,2020-01-04 00:00:00,2020.0109290,4,-1356671.04806,6098368.04228,1280387.72960,47,886290.0623,1291158.4240,11.658062979902,102.542041102954,35.9727,55.8125
KOGD005,KOGD,2020-01-05 00:00:00,2020.0136612,5,-1356671.04930,6098368.04190,1280387.72951,47,886290.0636,1291158.4240,11.658062979292,102.542041114890,35.9725,55.8124
KOGD006,KOGD,2020-01-06 00:00:00,2020.0163934,6,-1356671.04783,6098368.03843,1280387.72989,47,886290.0629,1291158.4251,11.658062989452,102.542041108573,35.9690,55.8088
KOGD007,KOGD,2020-01-07 00:00:00,2020.0191257,7,-1356671.05126,6098368.04136,1280387.73410,47,886290.0656,1291158.4285,11.658063020076,102.542041133473,35.9734,55.8132
KOGD008,KOGD,2020-01-08 00:00:00,2020.0218579,8,-1356671.04947,6098368.04325,1280387.73406,47,886290.0634,1291158.4282,11.658063017123,102.542041113665,35.9748,55.8146
KOGD009,KOGD,2020-01-09 00:00:00,2020.0245902,9,-1356671.04947,6098368.04546,1280387.73682,47,886290.0629,1291158.4304,11.658063037585,102.542041109284,35.9775,55.8173
KOGD010,KOGD,2020-01-10 00:00:00,2020.0273224,10,-1356671.05380,6098368.04435,1280387.73616,47,886290.0674,1291158.4299,11.658063031953,102.542041150287,35.9772,55.8170
KOGD011,KOGD,2020-01-11 00:00:00,2020.0300546,11,-1356671.05276,6098368.04575,1280387.73263,47,886290.0661,1291158.4262,11.658062998650,102.542041138137,35.9776,55.8174
