id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
LSN1167,LSN1,2020-06-15 00:00:00,2020.4562842,167,-1088138.32938,6196941.04607,1042730.29332,47,605293.7173,1047220.4974,9.472357981815,99.959198750759,8.3081,31.4067
LSN1168,LSN1,2020-06-16 00:00:00,2020.4590164,168,-1088138.33293,6196941.05023,1042730.29493,47,605293.7201,1047220.4982,9.472357989158,99.959198776000,8.3130,31.4116
LSN1169,LSN1,2020-06-17 00:00:00,2020.4617486,169,-1088138.33492,6196941.05275,1042730.29338,47,605293.7216,1047220.4962,9.472357971148,99.959198789856,8.3155,31.4141
LSN1170,LSN1,2020-06-18 00:00:00,2020.4644809,170,-1088138.33224,6196941.04884,1042730.29282,47,605293.7197,1047220.4963,9.472357972586,99.959198772007,8.3112,31.4098
LSN1172,LSN1,2020-06-20 00:00:00,2020.4699454,172,-1088138.33371,6196941.05951,1042730.29750,47,605293.7193,1047220.4992,9.472357998318,99.959198768388,8.3226,31.4211
LSN1173,LSN1,2020-06-21 00:00:00,2020.4726776,173,-1088138.33624,6196941.05139,1042730.29470,47,605293.7231,1047220.4977,9.472357984596,99.959198803857,8.3146,31.4132
LSN1174,LSN1,2020-06-22 00:00:00,2020.4754098,174,-1088138.33393,6196941.05327,1042730.29648,47,605293.7206,1047220.4992,9.472357998243,99.959198780226,8.3164,31.4150
LSN1175,LSN1,2020-06-23 00:00:00,2020.4781421,175,-1088138.33014,6196941.04964,1042730.29531,47,605293.7174,1047220.4987,9.472357994192,99.959198751888,8.3120,31.4106
LSN1176,LSN1,2020-06-24 00:00:00,2020.4808743,176,-1088138.33070,6196941.03687,1042730.29218,47,605293.7202,1047220.4977,9.472357984831,99.959198777072,8.2992,31.3978
LSN1177,LSN1,2020-06-25 00:00:00,2020.4836066,177,-1088138.33244,6196941.06280,1042730.29801,47,605293.7174,1047220.4992,9.472357998347,99.959198751806,8.3256,31.4242
LSN1178,LSN1,2020-06-26 00:00:00,2020.4863388,178,-1088138.33385,6196941.04983,1042730.29199,47,605293.7211,1047220.4953,9.472357963296,99.959198784897,8.3123,31.4109
LSN1181,LSN1,2020-06-29 00:00:00,2020.4945355,181,-1088138.32609,6196941.04723,1042730.29312,47,605293.7139,1047220.4971,9.472357979166,99.959198719430,8.3086,31.4072
LSN1182,LSN1,2020-06-30 00:00:00,2020.4972678,182,-1088138.33218,6196941.04879,1042730.29448,47,605293.7196,1047220.4980,9.472357987517,99.959198771550,8.3114,31.4100
LSN1184,LSN1,2020-07-02 00:00:00,2020.5027322,184,-1088138.33513,6196941.04057,1042730.29481,47,605293.7239,1047220.4996,9.472358001676,99.959198810952,8.3040,31.4025
LSN1185,LSN1,2020-07-03 00:00:00,2020.5054645,185,-1088138.33362,6196941.04304,1042730.29427,47,605293.7220,1047220.4987,9.472357993656,99.959198793558,8.3060,31.4046
LSN1186,LSN1,2020-07-04 00:00:00,2020.5081967,186,-1088138.33365,6196941.05373,1042730.29288,47,605293.7202,1047220.4956,9.472357965621,99.959198777002,8.3162,31.4148
LSN1187,LSN1,2020-07-05 00:00:00,2020.5109290,187,-1088138.33395,6196941.04809,1042730.29642,47,605293.7215,1047220.5000,9.472358005291,99.959198788551,8.3113,31.4099
LSN1188,LSN1,2020-07-06 00:00:00,2020.5136612,188,-1088138.33121,6196941.04104,1042730.29106,47,605293.7200,1047220.4959,9.472357968574,99.959198775059,8.3031,31.4017
LSN1189,LSN1,2020-07-07 00:00:00,2020.5163934,189,-1088138.33101,6196941.04140,1042730.29160,47,605293.7197,1047220.4964,9.472357972919,99.959198772690,8.3035,31.4021
LSN1190,LSN1,2020-07-08 00:00:00,2020.5191257,190,-1088138.33587,6196941.05395,1042730.29232,47,605293.7223,1047220.4949,9.472357959689,99.959198796498,8.3167,31.4153
LSN1191,LSN1,2020-07-09 00:00:00,2020.5218579,191,-1088138.33173,6196941.05246,1042730.29173,47,605293.7185,1047220.4947,9.472357957681,99.959198761697,8.3144,31.4130
LSN1192,LSN1,2020-07-10 00:00:00,2020.5245902,192,-1088138.33141,6196941.04468,1042730.29188,47,605293.7196,1047220.4961,9.472357970462,99.959198771093,8.3068,31.4054
LSN1193,LSN1,2020-07-11 00:00:00,2020.5273224,193,-1088138.33505,6196941.04823,1042730.28804,47,605293.7225,1047220.4917,9.472357930112,99.959198798232,8.3103,31.4089
LSN1194,LSN1,2020-07-12 00:00:00,2020.5300546,194,-1088138.33323,6196941.04840,1042730.28927,47,605293.7207,1047220.4929,9.472357941340,99.959198781558,8.3103,31.4089
