id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PJRK001,PJRK,2020-01-01 00:00:00,2020.0027322,1,-1062387.59117,6152905.10153,1297009.23454,47,586752.2385,1305846.2370,11.811617657327,99.796349960119,-11.9650,16.6823
PJRK002,PJRK,2020-01-02 00:00:00,2020.0054645,2,-1062387.59124,6152905.10514,1297009.23546,47,586752.2380,1305846.2372,11.811617658853,99.796349955053,-11.9613,16.6860
PJRK003,PJRK,2020-01-03 00:00:00,2020.0081967,3,-1062387.59205,6152905.10737,1297009.23335,47,586752.2384,1305846.2346,11.811617635889,99.796349958905,-11.9595,16.6878
PJRK004,PJRK,2020-01-04 00:00:00,2020.0109290,4,-1062387.58839,6152905.10332,1297009.23065,47,586752.2355,1305846.2329,11.811617620508,99.796349932190,-11.9646,16.6827
PJRK005,PJRK,2020-01-05 00:00:00,2020.0136612,5,-1062387.58996,6152905.10309,1297009.23228,47,586752.2371,1305846.2345,11.811617634894,99.796349946722,-11.9642,16.6831
PJRK006,PJRK,2020-01-06 00:00:00,2020.0163934,6,-1062387.59049,6152905.10999,1297009.23584,47,586752.2364,1305846.2366,11.811617653638,99.796349940769,-11.9567,16.6906
PJRK007,PJRK,2020-01-07 00:00:00,2020.0191257,7,-1062387.59153,6152905.12159,1297009.24131,47,586752.2355,1305846.2396,11.811617680590,99.796349931978,-11.9442,16.7031
PJRK008,PJRK,2020-01-08 00:00:00,2020.0218579,8,-1062387.59154,6152905.11540,1297009.23891,47,586752.2365,1305846.2385,11.811617670666,99.796349941818,-11.9507,16.6966
PJRK009,PJRK,2020-01-09 00:00:00,2020.0245902,9,-1062387.59015,6152905.11158,1297009.23594,47,586752.2358,1305846.2364,11.811617651792,99.796349935163,-11.9552,16.6921
PJRK010,PJRK,2020-01-10 00:00:00,2020.0273224,10,-1062387.58878,6152905.11329,1297009.23883,47,586752.2342,1305846.2389,11.811617674645,99.796349920123,-11.9532,16.6941
PJRK011,PJRK,2020-01-11 00:00:00,2020.0300546,11,-1062387.59480,6152905.12632,1297009.24071,47,586752.2379,1305846.2379,11.811617665597,99.796349954247,-11.9393,16.7080
PJRK012,PJRK,2020-01-12 00:00:00,2020.0327869,12,-1062387.58955,6152905.10601,1297009.23623,47,586752.2362,1305846.2378,11.811617664627,99.796349938418,-11.9606,16.6867
PJRK013,PJRK,2020-01-13 00:00:00,2020.0355191,13,-1062387.59191,6152905.11009,1297009.23651,47,586752.2378,1305846.2372,11.811617658974,99.796349953425,-11.9562,16.6911
PJRK014,PJRK,2020-01-14 00:00:00,2020.0382514,14,-1062387.59486,6152905.11182,1297009.24171,47,586752.2404,1305846.2418,11.811617700861,99.796349977356,-11.9530,16.6943
PJRK015,PJRK,2020-01-15 00:00:00,2020.0409836,15,-1062387.59370,6152905.10528,1297009.23374,47,586752.2404,1305846.2354,11.811617642612,99.796349977086,-11.9612,16.6861
PJRK016,PJRK,2020-01-16 00:00:00,2020.0437158,16,-1062387.59383,6152905.11060,1297009.23872,47,586752.2396,1305846.2392,11.811617676964,99.796349969988,-11.9550,16.6923
PJRK020,PJRK,2020-01-20 00:00:00,2020.0546448,20,-1062387.59017,6152905.11292,1297009.23885,47,586752.2356,1305846.2390,11.811617675035,99.796349933264,-11.9533,16.6940
PJRK021,PJRK,2020-01-21 00:00:00,2020.0573770,21,-1062387.59329,6152905.10981,1297009.22718,47,586752.2393,1305846.2281,11.811617576496,99.796349966367,-11.9582,16.6891
PJRK022,PJRK,2020-01-22 00:00:00,2020.0601093,22,-1062387.59292,6152905.11553,1297009.23682,47,586752.2379,1305846.2364,11.811617651419,99.796349954008,-11.9508,16.6965
PJRK023,PJRK,2020-01-23 00:00:00,2020.0628415,23,-1062387.59235,6152905.10787,1297009.23818,47,586752.2386,1305846.2393,11.811617677658,99.796349960875,-11.9580,16.6893
PJRK024,PJRK,2020-01-24 00:00:00,2020.0655738,24,-1062387.59252,6152905.11892,1297009.23496,47,586752.2369,1305846.2339,11.811617628979,99.796349945137,-11.9479,16.6994
PJRK025,PJRK,2020-01-25 00:00:00,2020.0683060,25,-1062387.59136,6152905.11824,1297009.23521,47,586752.2359,1305846.2343,11.811617632755,99.796349935671,-11.9487,16.6986
PJRK026,PJRK,2020-01-26 00:00:00,2020.0710383,26,-1062387.59377,6152905.10904,1297009.23907,47,586752.2398,1305846.2399,11.811617682944,99.796349971880,-11.9564,16.6909
PJRK029,PJRK,2020-01-29 00:00:00,2020.0792350,29,-1062387.58926,6152905.11585,1297009.23467,47,586752.2342,1305846.2343,11.811617633023,99.796349920476,-11.9515,16.6958
PJRK030,PJRK,2020-01-30 00:00:00,2020.0819672,30,-1062387.59379,6152905.11371,1297009.23958,47,586752.2390,1305846.2394,11.811617678918,99.796349964732,-11.9518,16.6955
PJRK035,PJRK,2020-02-04 00:00:00,2020.0956284,35,-1062387.59346,6152905.10789,1297009.23292,47,586752.2397,1305846.2341,11.811617630681,99.796349970837,-11.9589,16.6884
PJRK036,PJRK,2020-02-05 00:00:00,2020.0983607,36,-1062387.59301,6152905.10915,1297009.23840,47,586752.2390,1305846.2392,11.811617677059,99.796349964788,-11.9566,16.6907
PJRK037,PJRK,2020-02-06 00:00:00,2020.1010929,37,-1062387.59581,6152905.11173,1297009.23454,47,586752.2414,1305846.2348,11.811617637291,99.796349986127,-11.9544,16.6929
PJRK038,PJRK,2020-02-07 00:00:00,2020.1038251,38,-1062387.59177,6152905.10460,1297009.23448,47,586752.2386,1305846.2363,11.811617651074,99.796349960695,-11.9620,16.6853
PJRK039,PJRK,2020-02-08 00:00:00,2020.1065574,39,-1062387.59301,6152905.11020,1297009.23622,47,586752.2389,1305846.2368,11.811617655805,99.796349963226,-11.9560,16.6913
PJRK040,PJRK,2020-02-09 00:00:00,2020.1092896,40,-1062387.59305,6152905.09903,1297009.23598,47,586752.2408,1305846.2389,11.811617674037,99.796349980973,-11.9668,16.6805
PJRK041,PJRK,2020-02-10 00:00:00,2020.1120219,41,-1062387.59552,6152905.10789,1297009.23376,47,586752.2418,1305846.2348,11.811617637519,99.796349989523,-11.9583,16.6890
PJRK042,PJRK,2020-02-11 00:00:00,2020.1147541,42,-1062387.59313,6152905.11586,1297009.23584,47,586752.2380,1305846.2353,11.811617642084,99.796349955388,-11.9506,16.6967
PJRK043,PJRK,2020-02-12 00:00:00,2020.1174863,43,-1062387.59498,6152905.11676,1297009.23251,47,586752.2397,1305846.2318,11.811617610455,99.796349970747,-11.9501,16.6972
PJRK044,PJRK,2020-02-13 00:00:00,2020.1202186,44,-1062387.59093,6152905.10792,1297009.23369,47,586752.2372,1305846.2349,11.811617638256,99.796349947940,-11.9591,16.6882
PJRK045,PJRK,2020-02-14 00:00:00,2020.1229508,45,-1062387.59455,6152905.12077,1297009.23615,47,586752.2386,1305846.2346,11.811617635435,99.796349960611,-11.9456,16.7017
PJRK046,PJRK,2020-02-15 00:00:00,2020.1256831,46,-1062387.59124,6152905.11289,1297009.23733,47,586752.2367,1305846.2375,11.811617661358,99.796349942981,-11.9535,16.6938
PJRK047,PJRK,2020-02-16 00:00:00,2020.1284153,47,-1062387.59359,6152905.11738,1297009.23802,47,586752.2382,1305846.2371,11.811617658452,99.796349957218,-11.9486,16.6987
PJRK048,PJRK,2020-02-17 00:00:00,2020.1311475,48,-1062387.59009,6152905.10907,1297009.23553,47,586752.2362,1305846.2365,11.811617652751,99.796349938565,-11.9577,16.6896
PJRK049,PJRK,2020-02-18 00:00:00,2020.1338798,49,-1062387.59414,6152905.11140,1297009.23838,47,586752.2398,1305846.2387,11.811617672380,99.796349971560,-11.9542,16.6931
PJRK050,PJRK,2020-02-19 00:00:00,2020.1366120,50,-1062387.59786,6152905.10827,1297009.23313,47,586752.2440,1305846.2341,11.811617630524,99.796350010033,-11.9577,16.6896
PJRK051,PJRK,2020-02-20 00:00:00,2020.1393443,51,-1062387.59342,6152905.10211,1297009.23203,47,586752.2407,1305846.2344,11.811617633409,99.796349979489,-11.9646,16.6827
PJRK052,PJRK,2020-02-21 00:00:00,2020.1420765,52,-1062387.59487,6152905.10171,1297009.24007,47,586752.2421,1305846.2423,11.811617704762,99.796349993274,-11.9631,16.6842
PJRK054,PJRK,2020-02-23 00:00:00,2020.1475410,54,-1062387.59449,6152905.10472,1297009.23223,47,586752.2413,1305846.2340,11.811617630103,99.796349985079,-11.9619,16.6854
PJRK055,PJRK,2020-02-24 00:00:00,2020.1502732,55,-1062387.59373,6152905.10383,1297009.23112,47,586752.2407,1305846.2331,11.811617622085,99.796349979649,-11.9631,16.6842
PJRK056,PJRK,2020-02-25 00:00:00,2020.1530055,56,-1062387.59364,6152905.10713,1297009.23119,47,586752.2400,1305846.2325,11.811617616778,99.796349973689,-11.9599,16.6874
PJRK057,PJRK,2020-02-26 00:00:00,2020.1557377,57,-1062387.59610,6152905.11202,1297009.23504,47,586752.2416,1305846.2352,11.811617641077,99.796349988283,-11.9540,16.6933
PJRK058,PJRK,2020-02-27 00:00:00,2020.1584699,58,-1062387.59506,6152905.11181,1297009.23557,47,586752.2406,1305846.2358,11.811617646471,99.796349979176,-11.9543,16.6930
PJRK059,PJRK,2020-02-28 00:00:00,2020.1612022,59,-1062387.59606,6152905.10012,1297009.23433,47,586752.2436,1305846.2369,11.811617656515,99.796350006462,-11.9656,16.6817
PJRK060,PJRK,2020-02-29 00:00:00,2020.1639344,60,-1062387.59804,6152905.11565,1297009.23377,47,586752.2429,1305846.2332,11.811617622658,99.796350000162,-11.9504,16.6969
PJRK061,PJRK,2020-03-01 00:00:00,2020.1666667,61,-1062387.59403,6152905.11265,1297009.23500,47,586752.2395,1305846.2351,11.811617640258,99.796349968599,-11.9537,16.6936
PJRK062,PJRK,2020-03-02 00:00:00,2020.1693989,62,-1062387.59359,6152905.11192,1297009.23360,47,586752.2392,1305846.2339,11.811617629314,99.796349965763,-11.9548,16.6925
PJRK064,PJRK,2020-03-04 00:00:00,2020.1748634,64,-1062387.59826,6152905.11768,1297009.23378,47,586752.2428,1305846.2328,11.811617618920,99.796349998948,-11.9484,16.6989
PJRK066,PJRK,2020-03-06 00:00:00,2020.1803279,66,-1062387.59477,6152905.10840,1297009.22873,47,586752.2409,1305846.2298,11.811617592268,99.796349981923,-11.9590,16.6883
PJRK067,PJRK,2020-03-07 00:00:00,2020.1830601,67,-1062387.60851,6152905.18027,1297009.24448,47,586752.2423,1305846.2303,11.811617596286,99.796349993982,-11.8842,16.7631
PJRK068,PJRK,2020-03-08 00:00:00,2020.1857923,68,-1062387.60933,6152905.19391,1297009.25024,47,586752.2407,1305846.2331,11.811617622102,99.796349980084,-11.8697,16.7776
PJRK069,PJRK,2020-03-09 00:00:00,2020.1885246,69,-1062387.60950,6152905.18838,1297009.25265,47,586752.2418,1305846.2366,11.811617653514,99.796349990263,-11.8745,16.7728
PJRK078,PJRK,2020-03-18 00:00:00,2020.2131148,78,-1062387.59622,6152905.10440,1297009.22896,47,586752.2430,1305846.2308,11.811617601158,99.796350001214,-11.9626,16.6847
PJRK079,PJRK,2020-03-19 00:00:00,2020.2158470,79,-1062387.59207,6152905.09911,1297009.23212,47,586752.2398,1305846.2351,11.811617640109,99.796349971973,-11.9677,16.6796
PJRK080,PJRK,2020-03-20 00:00:00,2020.2185792,80,-1062387.59570,6152905.10329,1297009.23352,47,586752.2427,1305846.2355,11.811617643671,99.796349998296,-11.9628,16.6845
PJRK081,PJRK,2020-03-21 00:00:00,2020.2213115,81,-1062387.59785,6152905.12139,1297009.23419,47,586752.2418,1305846.2324,11.811617615963,99.796349989474,-11.9448,16.7025
PJRK082,PJRK,2020-03-22 00:00:00,2020.2240437,82,-1062387.59362,6152905.11595,1297009.23378,47,586752.2385,1305846.2333,11.811617623529,99.796349959676,-11.9509,16.6964
PJRK083,PJRK,2020-03-23 00:00:00,2020.2267760,83,-1062387.59442,6152905.11201,1297009.23407,47,586752.2400,1305846.2343,11.811617633103,99.796349973151,-11.9545,16.6928
PJRK084,PJRK,2020-03-24 00:00:00,2020.2295082,84,-1062387.59507,6152905.11241,1297009.23445,47,586752.2405,1305846.2346,11.811617635515,99.796349978346,-11.9539,16.6934
PJRK085,PJRK,2020-03-25 00:00:00,2020.2322404,85,-1062387.59844,6152905.12440,1297009.23858,47,586752.2418,1305846.2361,11.811617649159,99.796349990078,-11.9409,16.7064
PJRK086,PJRK,2020-03-26 00:00:00,2020.2349727,86,-1062387.59723,6152905.11235,1297009.23454,47,586752.2427,1305846.2346,11.811617635749,99.796349997956,-11.9536,16.6937
PJRK087,PJRK,2020-03-27 00:00:00,2020.2377049,87,-1062387.59171,6152905.11202,1297009.23423,47,586752.2373,1305846.2346,11.811617635337,99.796349948576,-11.9549,16.6924
PJRK088,PJRK,2020-03-28 00:00:00,2020.2404372,88,-1062387.59448,6152905.11594,1297009.23536,47,586752.2394,1305846.2348,11.811617637302,99.796349967544,-11.9504,16.6969
PJRK089,PJRK,2020-03-29 00:00:00,2020.2431694,89,-1062387.59545,6152905.11350,1297009.23571,47,586752.2407,1305846.2356,11.811617644573,99.796349980103,-11.9525,16.6948
PJRK090,PJRK,2020-03-30 00:00:00,2020.2459016,90,-1062387.59521,6152905.11974,1297009.23634,47,586752.2394,1305846.2350,11.811617638806,99.796349968195,-11.9464,16.7009
PJRK091,PJRK,2020-03-31 00:00:00,2020.2486339,91,-1062387.59670,6152905.11838,1297009.23756,47,586752.2411,1305846.2364,11.811617651635,99.796349983759,-11.9472,16.7001
PJRK092,PJRK,2020-04-01 00:00:00,2020.2513661,92,-1062387.59614,6152905.11125,1297009.23366,47,586752.2418,1305846.2340,11.811617630300,99.796349989887,-11.9550,16.6923
PJRK093,PJRK,2020-04-02 00:00:00,2020.2540984,93,-1062387.59655,6152905.11419,1297009.23612,47,586752.2417,1305846.2358,11.811617646542,99.796349988971,-11.9516,16.6957
PJRK094,PJRK,2020-04-03 00:00:00,2020.2568306,94,-1062387.59673,6152905.11401,1297009.23545,47,586752.2419,1305846.2352,11.811617640926,99.796349990884,-11.9519,16.6954
PJRK095,PJRK,2020-04-04 00:00:00,2020.2595628,95,-1062387.59705,6152905.11515,1297009.23695,47,586752.2420,1305846.2364,11.811617652013,99.796349991948,-11.9504,16.6969
PJRK096,PJRK,2020-04-05 00:00:00,2020.2622951,96,-1062387.59654,6152905.11297,1297009.23522,47,586752.2419,1305846.2352,11.811617640854,99.796349990767,-11.9530,16.6943
PJRK097,PJRK,2020-04-06 00:00:00,2020.2650273,97,-1062387.59267,6152905.10814,1297009.23026,47,586752.2389,1305846.2314,11.811617607002,99.796349963288,-11.9593,16.6880
PJRK098,PJRK,2020-04-07 00:00:00,2020.2677596,98,-1062387.59687,6152905.12241,1297009.23717,47,586752.2406,1305846.2352,11.811617640737,99.796349979044,-11.9434,16.7039
PJRK099,PJRK,2020-04-08 00:00:00,2020.2704918,99,-1062387.59759,6152905.12849,1297009.24132,47,586752.2403,1305846.2380,11.811617666195,99.796349976071,-11.9366,16.7107
PJRK100,PJRK,2020-04-09 00:00:00,2020.2732240,100,-1062387.59809,6152905.11506,1297009.23289,47,586752.2431,1305846.2325,11.811617615958,99.796350001503,-11.9512,16.6961
PJRK101,PJRK,2020-04-10 00:00:00,2020.2759563,101,-1062387.59570,6152905.11336,1297009.23504,47,586752.2410,1305846.2350,11.811617638801,99.796349982564,-11.9528,16.6945
PJRK102,PJRK,2020-04-11 00:00:00,2020.2786885,102,-1062387.59480,6152905.11153,1297009.23558,47,586752.2404,1305846.2359,11.811617647227,99.796349977306,-11.9546,16.6927
PJRK103,PJRK,2020-04-12 00:00:00,2020.2814208,103,-1062387.59567,6152905.11107,1297009.23581,47,586752.2414,1305846.2362,11.811617649749,99.796349985899,-11.9548,16.6925
PJRK104,PJRK,2020-04-13 00:00:00,2020.2841530,104,-1062387.59687,6152905.11927,1297009.23271,47,586752.2412,1305846.2315,11.811617607044,99.796349983938,-11.9473,16.7000
PJRK105,PJRK,2020-04-14 00:00:00,2020.2868852,105,-1062387.59697,6152905.10841,1297009.23148,47,586752.2431,1305846.2325,11.811617615953,99.796350001831,-11.9581,16.6892
PJRK106,PJRK,2020-04-15 00:00:00,2020.2896175,106,-1062387.59646,6152905.11779,1297009.23406,47,586752.2410,1305846.2331,11.811617621809,99.796349982504,-11.9486,16.6987
PJRK107,PJRK,2020-04-16 00:00:00,2020.2923497,107,-1062387.59740,6152905.11399,1297009.23189,47,586752.2426,1305846.2317,11.811617609198,99.796349996976,-11.9525,16.6948
PJRK108,PJRK,2020-04-17 00:00:00,2020.2950820,108,-1062387.59788,6152905.11635,1297009.23614,47,586752.2426,1305846.2354,11.811617642350,99.796349997585,-11.9493,16.6980
PJRK109,PJRK,2020-04-18 00:00:00,2020.2978142,109,-1062387.59628,6152905.10864,1297009.23429,47,586752.2424,1305846.2352,11.811617640542,99.796349995141,-11.9574,16.6899
PJRK110,PJRK,2020-04-19 00:00:00,2020.3005464,110,-1062387.59521,6152905.10874,1297009.23449,47,586752.2413,1305846.2354,11.811617642454,99.796349985383,-11.9574,16.6899
PJRK111,PJRK,2020-04-20 00:00:00,2020.3032787,111,-1062387.59534,6152905.11647,1297009.23552,47,586752.2401,1305846.2348,11.811617637493,99.796349974477,-11.9497,16.6976
PJRK112,PJRK,2020-04-21 00:00:00,2020.3060109,112,-1062387.59666,6152905.10570,1297009.23180,47,586752.2432,1305846.2333,11.811617623795,99.796350003187,-11.9607,16.6866
PJRK113,PJRK,2020-04-22 00:00:00,2020.3087432,113,-1062387.59678,6152905.10753,1297009.23116,47,586752.2431,1305846.2323,11.811617614712,99.796350001465,-11.9590,16.6883
PJRK114,PJRK,2020-04-23 00:00:00,2020.3114754,114,-1062387.60171,6152905.12562,1297009.23641,47,586752.2448,1305846.2336,11.811617626662,99.796350017796,-11.9397,16.7076
PJRK115,PJRK,2020-04-24 00:00:00,2020.3142077,115,-1062387.59771,6152905.10321,1297009.23188,47,586752.2447,1305846.2339,11.811617628695,99.796350016575,-11.9629,16.6844
PJRK116,PJRK,2020-04-25 00:00:00,2020.3169399,116,-1062387.59525,6152905.10144,1297009.23188,47,586752.2426,1305846.2343,11.811617632700,99.796349997144,-11.9650,16.6823
PJRK117,PJRK,2020-04-26 00:00:00,2020.3196721,117,-1062387.59889,6152905.10661,1297009.23145,47,586752.2453,1305846.2327,11.811617618359,99.796350021923,-11.9595,16.6878
PJRK118,PJRK,2020-04-27 00:00:00,2020.3224044,118,-1062387.59644,6152905.10482,1297009.23208,47,586752.2432,1305846.2338,11.811617627974,99.796350002640,-11.9615,16.6858
PJRK119,PJRK,2020-04-28 00:00:00,2020.3251366,119,-1062387.59959,6152905.10737,1297009.23256,47,586752.2458,1305846.2336,11.811617626543,99.796350027062,-11.9584,16.6889
PJRK120,PJRK,2020-04-29 00:00:00,2020.3278689,120,-1062387.59629,6152905.09906,1297009.23123,47,586752.2440,1305846.2341,11.811617630942,99.796350010234,-11.9672,16.6801
PJRK121,PJRK,2020-04-30 00:00:00,2020.3306011,121,-1062387.59657,6152905.10809,1297009.23816,47,586752.2427,1305846.2391,11.811617675769,99.796349998620,-11.9571,16.6902
PJRK122,PJRK,2020-05-01 00:00:00,2020.3333333,122,-1062387.59648,6152905.10158,1297009.23206,47,586752.2438,1305846.2344,11.811617633652,99.796350007986,-11.9646,16.6827
