id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PKET001,PKET,2020-01-01 00:00:00,2020.0027322,1,-922365.11067,6250473.36208,869690.38257,47,433244.0754,872144.4512,7.889627410890,98.394397583348,0.1500,24.7488
PKET002,PKET,2020-01-02 00:00:00,2020.0054645,2,-922365.11495,6250473.36258,869690.38188,47,433244.0795,872144.4503,7.889627403382,98.394397621042,0.1510,24.7498
PKET003,PKET,2020-01-03 00:00:00,2020.0081967,3,-922365.11106,6250473.35681,869690.37988,47,433244.0765,872144.4492,7.889627393237,98.394397593824,0.1445,24.7433
PKET004,PKET,2020-01-04 00:00:00,2020.0109290,4,-922365.10812,6250473.35770,869690.37690,47,433244.0735,872144.4462,7.889627365940,98.394397566261,0.1445,24.7434
PKET005,PKET,2020-01-05 00:00:00,2020.0136612,5,-922365.11243,6250473.36279,869690.38186,47,433244.0770,872144.4503,7.889627403351,98.394397598185,0.1508,24.7497
PKET006,PKET,2020-01-06 00:00:00,2020.0163934,6,-922365.11019,6250473.35170,869690.38495,47,433244.0764,872144.4550,7.889627445031,98.394397592775,0.1401,24.7389
PKET007,PKET,2020-01-07 00:00:00,2020.0191257,7,-922365.11255,6250473.36016,869690.38465,47,433244.0775,872144.4535,7.889627431534,98.394397602770,0.1486,24.7475
PKET008,PKET,2020-01-08 00:00:00,2020.0218579,8,-922365.11219,6250473.35960,869690.38205,47,433244.0773,872144.4510,7.889627409054,98.394397600292,0.1477,24.7465
PKET009,PKET,2020-01-09 00:00:00,2020.0245902,9,-922365.11107,6250473.35832,869690.38167,47,433244.0763,872144.4508,7.889627407442,98.394397591889,0.1462,24.7450
PKET010,PKET,2020-01-10 00:00:00,2020.0273224,10,-922365.11060,6250473.36581,869690.38477,47,433244.0748,872144.4529,7.889627426102,98.394397577722,0.1539,24.7527
PKET011,PKET,2020-01-11 00:00:00,2020.0300546,11,-922365.11515,6250473.35713,869690.38383,47,433244.0806,872144.4530,7.889627427517,98.394397630124,0.1459,24.7448
PKET012,PKET,2020-01-12 00:00:00,2020.0327869,12,-922365.11186,6250473.35854,869690.38220,47,433244.0771,872144.4513,7.889627411712,98.394397598705,0.1466,24.7454
PKET013,PKET,2020-01-13 00:00:00,2020.0355191,13,-922365.11252,6250473.36568,869690.38182,47,433244.0767,872144.4499,7.889627399416,98.394397595159,0.1537,24.7525
PKET014,PKET,2020-01-14 00:00:00,2020.0382514,14,-922365.11181,6250473.35661,869690.38183,47,433244.0773,872144.4512,7.889627410797,98.394397600755,0.1447,24.7435
PKET015,PKET,2020-01-15 00:00:00,2020.0409836,15,-922365.11095,6250473.34811,869690.38155,47,433244.0777,872144.4521,7.889627418853,98.394397604312,0.1362,24.7350
PKET016,PKET,2020-01-16 00:00:00,2020.0437158,16,-922365.11203,6250473.36327,869690.38537,47,433244.0766,872144.4538,7.889627434265,98.394397593939,0.1517,24.7505
PKET017,PKET,2020-01-17 00:00:00,2020.0464481,17,-922365.11155,6250473.36163,869690.38318,47,433244.0763,872144.4518,7.889627416800,98.394397591782,0.1497,24.7486
PKET018,PKET,2020-01-18 00:00:00,2020.0491803,18,-922365.10903,6250473.35053,869690.38161,47,433244.0755,872144.4518,7.889627416755,98.394397583915,0.1383,24.7371
PKET019,PKET,2020-01-19 00:00:00,2020.0519126,19,-922365.11137,6250473.36511,869690.38296,47,433244.0756,872144.4511,7.889627410577,98.394397585558,0.1531,24.7519
PKET020,PKET,2020-01-20 00:00:00,2020.0546448,20,-922365.11335,6250473.35718,869690.38069,47,433244.0788,872144.4499,7.889627399603,98.394397613890,0.1453,24.7441
PKET021,PKET,2020-01-21 00:00:00,2020.0573770,21,-922365.10945,6250473.35698,869690.38066,47,433244.0749,872144.4500,7.889627400309,98.394397579115,0.1445,24.7434
PKET022,PKET,2020-01-22 00:00:00,2020.0601093,22,-922365.11481,6250473.36858,869690.38336,47,433244.0785,872144.4510,7.889627409272,98.394397611905,0.1570,24.7559
PKET023,PKET,2020-01-23 00:00:00,2020.0628415,23,-922365.11055,6250473.34904,869690.38217,47,433244.0772,872144.4526,7.889627423409,98.394397599518,0.1371,24.7360
PKET024,PKET,2020-01-24 00:00:00,2020.0655738,24,-922365.11071,6250473.36561,869690.38239,47,433244.0749,872144.4505,7.889627404989,98.394397579016,0.1534,24.7522
PKET025,PKET,2020-01-25 00:00:00,2020.0683060,25,-922365.10839,6250473.36163,869690.38268,47,433244.0732,872144.4514,7.889627412857,98.394397563498,0.1492,24.7480
PKET026,PKET,2020-01-26 00:00:00,2020.0710383,26,-922365.11563,6250473.36658,869690.38133,47,433244.0796,872144.4492,7.889627393396,98.394397621912,0.1549,24.7538
PKET027,PKET,2020-01-27 00:00:00,2020.0737705,27,-922365.11407,6250473.36254,869690.38394,47,433244.0787,872144.4524,7.889627421994,98.394397613248,0.1511,24.7499
PKET028,PKET,2020-01-28 00:00:00,2020.0765027,28,-922365.10976,6250473.35855,869690.38273,47,433244.0750,872144.4518,7.889627416839,98.394397579854,0.1464,24.7452
PKET029,PKET,2020-01-29 00:00:00,2020.0792350,29,-922365.11062,6250473.35986,869690.38096,47,433244.0757,872144.4499,7.889627399200,98.394397585832,0.1476,24.7464
PKET030,PKET,2020-01-30 00:00:00,2020.0819672,30,-922365.11508,6250473.36381,869690.38437,47,433244.0795,872144.4526,7.889627424126,98.394397620599,0.1525,24.7514
PKET031,PKET,2020-01-31 00:00:00,2020.0846995,31,-922365.11314,6250473.35360,869690.38031,47,433244.0791,872144.4500,7.889627400619,98.394397616759,0.1417,24.7405
PKET032,PKET,2020-02-01 00:00:00,2020.0874317,32,-922365.11015,6250473.35138,869690.37850,47,433244.0764,872144.4486,7.889627387694,98.394397592871,0.1388,24.7377
PKET033,PKET,2020-02-02 00:00:00,2020.0901639,33,-922365.11126,6250473.35839,869690.38046,47,433244.0765,872144.4496,7.889627396483,98.394397593538,0.1462,24.7450
PKET034,PKET,2020-02-03 00:00:00,2020.0928962,34,-922365.11145,6250473.36079,869690.38120,47,433244.0763,872144.4500,7.889627400076,98.394397592015,0.1486,24.7475
PKET035,PKET,2020-02-04 00:00:00,2020.0956284,35,-922365.11404,6250473.36322,869690.38397,47,433244.0786,872144.4523,7.889627421471,98.394397612050,0.1518,24.7506
PKET036,PKET,2020-02-05 00:00:00,2020.0983607,36,-922365.11115,6250473.35980,869690.38219,47,433244.0762,872144.4511,7.889627410188,98.394397590620,0.1477,24.7466
PKET037,PKET,2020-02-06 00:00:00,2020.1010929,37,-922365.11273,6250473.36086,869690.38366,47,433244.0776,872144.4524,7.889627421829,98.394397603459,0.1492,24.7480
PKET038,PKET,2020-02-07 00:00:00,2020.1038251,38,-922365.10782,6250473.35131,869690.38252,47,433244.0742,872144.4527,7.889627424239,98.394397572054,0.1390,24.7378
