id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
THAI001,THAI,2020-01-01 00:00:00,2020.0027322,1,-1150486.07620,6080853.89562,1537596.42714,47,685044.8287,1553154.1425,14.043005759049,100.713616593357,-7.2867,22.9712
THAI002,THAI,2020-01-02 00:00:00,2020.0054645,2,-1150486.08135,6080853.90332,1537596.43087,47,685044.8323,1553154.1440,14.043005773006,100.713616626910,-7.2776,22.9803
THAI003,THAI,2020-01-03 00:00:00,2020.0081967,3,-1150486.07637,6080853.90120,1537596.42762,47,685044.8278,1553154.1416,14.043005751125,100.713616585302,-7.2813,22.9766
THAI004,THAI,2020-01-04 00:00:00,2020.0109290,4,-1150486.07889,6080853.90977,1537596.42865,47,685044.8287,1553154.1404,14.043005740659,100.713616593445,-7.2724,22.9855
THAI005,THAI,2020-01-05 00:00:00,2020.0136612,5,-1150486.08023,6080853.91125,1537596.42893,47,685044.8297,1553154.1403,14.043005739371,100.713616603103,-7.2707,22.9872
THAI006,THAI,2020-01-06 00:00:00,2020.0163934,6,-1150486.07765,6080853.90680,1537596.42957,47,685044.8280,1553154.1421,14.043005755673,100.713616587272,-7.2752,22.9827
THAI007,THAI,2020-01-07 00:00:00,2020.0191257,7,-1150486.07752,6080853.91174,1537596.43304,47,685044.8269,1553154.1443,14.043005775521,100.713616577582,-7.2697,22.9882
THAI008,THAI,2020-01-08 00:00:00,2020.0218579,8,-1150486.07925,6080853.90868,1537596.43348,47,685044.8292,1553154.1454,14.043005785239,100.713616598604,-7.2722,22.9857
THAI009,THAI,2020-01-09 00:00:00,2020.0245902,9,-1150486.07921,6080853.91266,1537596.43303,47,685044.8284,1553154.1440,14.043005772745,100.713616591425,-7.2685,22.9894
THAI010,THAI,2020-01-10 00:00:00,2020.0273224,10,-1150486.07691,6080853.90993,1537596.43294,47,685044.8267,1553154.1446,14.043005778720,100.713616575116,-7.2715,22.9863
THAI011,THAI,2020-01-11 00:00:00,2020.0300546,11,-1150486.07766,6080853.91018,1537596.42927,47,685044.8274,1553154.1410,14.043005745728,100.713616581586,-7.2721,22.9858
THAI012,THAI,2020-01-12 00:00:00,2020.0327869,12,-1150486.08220,6080853.91724,1537596.43518,47,685044.8305,1553154.1449,14.043005780444,100.713616610666,-7.2631,22.9948
THAI013,THAI,2020-01-13 00:00:00,2020.0355191,13,-1150486.07867,6080853.90863,1537596.42808,47,685044.8287,1553154.1402,14.043005738180,100.713616593414,-7.2736,22.9842
THAI014,THAI,2020-01-14 00:00:00,2020.0382514,14,-1150486.07784,6080853.89961,1537596.42783,47,685044.8295,1553154.1421,14.043005755838,100.713616601360,-7.2825,22.9754
THAI015,THAI,2020-01-15 00:00:00,2020.0409836,15,-1150486.08061,6080853.90016,1537596.43002,47,685044.8321,1553154.1440,14.043005772673,100.713616625636,-7.2809,22.9770
THAI016,THAI,2020-01-16 00:00:00,2020.0437158,16,-1150486.07843,6080853.90191,1537596.42937,47,685044.8297,1553154.1430,14.043005764124,100.713616602763,-7.2798,22.9781
THAI017,THAI,2020-01-17 00:00:00,2020.0464481,17,-1150486.07740,6080853.90337,1537596.42921,47,685044.8284,1553154.1426,14.043005760036,100.713616590907,-7.2786,22.9793
THAI018,THAI,2020-01-18 00:00:00,2020.0491803,18,-1150486.07878,6080853.90196,1537596.42888,47,685044.8300,1553154.1425,14.043005759573,100.713616605864,-7.2798,22.9781
THAI019,THAI,2020-01-19 00:00:00,2020.0519126,19,-1150486.07822,6080853.90809,1537596.43001,47,685044.8283,1553154.1422,14.043005756488,100.713616590275,-7.2738,22.9841
THAI020,THAI,2020-01-20 00:00:00,2020.0546448,20,-1150486.07918,6080853.90026,1537596.42792,47,685044.8307,1553154.1420,14.043005754675,100.713616612485,-7.2816,22.9763
THAI021,THAI,2020-01-21 00:00:00,2020.0573770,21,-1150486.07754,6080853.90783,1537596.42939,47,685044.8277,1553154.1417,14.043005751945,100.713616584552,-7.2743,22.9836
THAI022,THAI,2020-01-22 00:00:00,2020.0601093,22,-1150486.07745,6080853.90303,1537596.42592,47,685044.8285,1553154.1395,14.043005731827,100.713616591931,-7.2797,22.9781
THAI023,THAI,2020-01-23 00:00:00,2020.0628415,23,-1150486.07969,6080853.90742,1537596.43205,47,685044.8299,1553154.1443,14.043005775262,100.713616604760,-7.2737,22.9842
THAI024,THAI,2020-01-24 00:00:00,2020.0655738,24,-1150486.08156,6080853.91291,1537596.43240,47,685044.8307,1553154.1432,14.043005765695,100.713616612355,-7.2680,22.9899
THAI025,THAI,2020-01-25 00:00:00,2020.0683060,25,-1150486.07856,6080853.91532,1537596.42925,47,685044.8273,1553154.1397,14.043005734092,100.713616580913,-7.2670,22.9909
THAI026,THAI,2020-01-26 00:00:00,2020.0710383,26,-1150486.08132,6080853.91084,1537596.43028,47,685044.8309,1553154.1417,14.043005751676,100.713616613730,-7.2705,22.9873
THAI027,THAI,2020-01-27 00:00:00,2020.0737705,27,-1150486.08477,6080853.92324,1537596.43743,47,685044.8319,1553154.1455,14.043005786203,100.713616623778,-7.2564,23.0015
THAI028,THAI,2020-01-28 00:00:00,2020.0765027,28,-1150486.07960,6080853.90981,1537596.43070,47,685044.8294,1553154.1424,14.043005758275,100.713616599819,-7.2717,22.9862
THAI029,THAI,2020-01-29 00:00:00,2020.0792350,29,-1150486.07798,6080853.90622,1537596.42913,47,685044.8284,1553154.1418,14.043005752876,100.713616591303,-7.2758,22.9821
THAI030,THAI,2020-01-30 00:00:00,2020.0819672,30,-1150486.08089,6080853.91115,1537596.43317,47,685044.8304,1553154.1444,14.043005776529,100.713616609279,-7.2696,22.9883
THAI031,THAI,2020-01-31 00:00:00,2020.0846995,31,-1150486.08269,6080853.91313,1537596.42998,47,685044.8318,1553154.1408,14.043005743592,100.713616622199,-7.2682,22.9897
THAI032,THAI,2020-02-01 00:00:00,2020.0874317,32,-1150486.07700,6080853.89684,1537596.42276,47,685044.8293,1553154.1379,14.043005717702,100.713616598528,-7.2865,22.9714
THAI033,THAI,2020-02-02 00:00:00,2020.0901639,33,-1150486.08005,6080853.90607,1537596.42808,47,685044.8305,1553154.1407,14.043005743168,100.713616610355,-7.2758,22.9820
THAI034,THAI,2020-02-03 00:00:00,2020.0928962,34,-1150486.07963,6080853.90655,1537596.42897,47,685044.8300,1553154.1415,14.043005750155,100.713616605772,-7.2752,22.9826
THAI035,THAI,2020-02-04 00:00:00,2020.0956284,35,-1150486.08145,6080853.90275,1537596.42936,47,685044.8325,1553154.1427,14.043005761015,100.713616628854,-7.2784,22.9794
THAI036,THAI,2020-02-05 00:00:00,2020.0983607,36,-1150486.07726,6080853.89769,1537596.42746,47,685044.8293,1553154.1422,14.043005756948,100.713616599380,-7.2845,22.9734
THAI037,THAI,2020-02-06 00:00:00,2020.1010929,37,-1150486.08425,6080853.90845,1537596.43078,47,685044.8342,1553154.1426,14.043005760007,100.713616644448,-7.2722,22.9857
THAI038,THAI,2020-02-07 00:00:00,2020.1038251,38,-1150486.08010,6080853.91119,1537596.43026,47,685044.8296,1553154.1416,14.043005751281,100.713616601980,-7.2704,22.9874
THAI039,THAI,2020-02-08 00:00:00,2020.1065574,39,-1150486.07964,6080853.90564,1537596.42774,47,685044.8302,1553154.1405,14.043005741273,100.713616607419,-7.2764,22.9815
THAI040,THAI,2020-02-09 00:00:00,2020.1092896,40,-1150486.08145,6080853.90696,1537596.43332,47,685044.8317,1553154.1455,14.043005786661,100.713616621564,-7.2735,22.9844
THAI041,THAI,2020-02-10 00:00:00,2020.1120219,41,-1150486.08060,6080853.90902,1537596.42866,47,685044.8305,1553154.1406,14.043005741656,100.713616610271,-7.2728,22.9851
THAI042,THAI,2020-02-11 00:00:00,2020.1147541,42,-1150486.07967,6080853.91435,1537596.42926,47,685044.8286,1553154.1399,14.043005735806,100.713616592673,-7.2677,22.9901
THAI043,THAI,2020-02-12 00:00:00,2020.1174863,43,-1150486.08115,6080853.90356,1537596.42531,47,685044.8321,1553154.1386,14.043005723870,100.713616624690,-7.2787,22.9792
THAI044,THAI,2020-02-13 00:00:00,2020.1202186,44,-1150486.07834,6080853.90402,1537596.42649,47,685044.8292,1553154.1397,14.043005734342,100.713616598354,-7.2785,22.9794
THAI045,THAI,2020-02-14 00:00:00,2020.1229508,45,-1150486.08237,6080853.91294,1537596.42806,47,685044.8315,1553154.1390,14.043005727232,100.713616619688,-7.2689,22.9890
THAI046,THAI,2020-02-15 00:00:00,2020.1256831,46,-1150486.07826,6080853.90941,1537596.43225,47,685044.8281,1553154.1440,14.043005773326,100.713616588345,-7.2720,22.9859
THAI047,THAI,2020-02-16 00:00:00,2020.1284153,47,-1150486.07848,6080853.90712,1537596.43202,47,685044.8288,1553154.1444,14.043005776149,100.713616594336,-7.2742,22.9837
THAI072,THAI,2020-03-12 00:00:00,2020.1967213,72,-1150486.08385,6080853.90302,1537596.42737,47,685044.8348,1553154.1406,14.043005741976,100.713616650183,-7.2782,22.9796
THAI073,THAI,2020-03-13 00:00:00,2020.1994536,73,-1150486.08295,6080853.91155,1537596.42977,47,685044.8323,1553154.1409,14.043005745016,100.713616627278,-7.2697,22.9882
THAI074,THAI,2020-03-14 00:00:00,2020.2021858,74,-1150486.08663,6080853.91275,1537596.43034,47,685044.8357,1553154.1411,14.043005745880,100.713616658750,-7.2677,22.9901
THAI075,THAI,2020-03-15 00:00:00,2020.2049180,75,-1150486.07901,6080853.88923,1537596.42249,47,685044.8326,1553154.1394,14.043005730886,100.713616629850,-7.2934,22.9644
THAI076,THAI,2020-03-16 00:00:00,2020.2076503,76,-1150486.08458,6080853.90972,1537596.42932,47,685044.8343,1553154.1409,14.043005744371,100.713616645334,-7.2712,22.9866
THAI077,THAI,2020-03-17 00:00:00,2020.2103825,77,-1150486.08424,6080853.91205,1537596.42833,47,685044.8335,1553154.1394,14.043005730752,100.713616638221,-7.2693,22.9885
THAI078,THAI,2020-03-18 00:00:00,2020.2131148,78,-1150486.08370,6080853.91147,1537596.42933,47,685044.8331,1553154.1405,14.043005741063,100.713616634261,-7.2697,22.9881
THAI079,THAI,2020-03-19 00:00:00,2020.2158470,79,-1150486.08210,6080853.90245,1537596.42803,47,685044.8332,1553154.1415,14.043005749667,100.713616635261,-7.2789,22.9789
THAI080,THAI,2020-03-20 00:00:00,2020.2185792,80,-1150486.08188,6080853.89843,1537596.42723,47,685044.8337,1553154.1417,14.043005751443,100.713616640188,-7.2830,22.9749
THAI081,THAI,2020-03-21 00:00:00,2020.2213115,81,-1150486.08593,6080853.91855,1537596.42909,47,685044.8340,1553154.1385,14.043005722735,100.713616642416,-7.2626,22.9952
THAI082,THAI,2020-03-22 00:00:00,2020.2240437,82,-1150486.08461,6080853.90923,1537596.42945,47,685044.8344,1553154.1411,14.043005746545,100.713616646452,-7.2717,22.9862
THAI083,THAI,2020-03-23 00:00:00,2020.2267760,83,-1150486.09118,6080853.91207,1537596.43103,47,685044.8403,1553154.1417,14.043005751550,100.713616701263,-7.2674,22.9905
THAI084,THAI,2020-03-24 00:00:00,2020.2295082,84,-1150486.08519,6080853.91557,1537596.43146,47,685044.8338,1553154.1415,14.043005750231,100.713616640809,-7.2650,22.9928
THAI085,THAI,2020-03-25 00:00:00,2020.2322404,85,-1150486.08505,6080853.91425,1537596.42958,47,685044.8339,1553154.1400,14.043005736689,100.713616641752,-7.2668,22.9911
THAI086,THAI,2020-03-26 00:00:00,2020.2349727,86,-1150486.08573,6080853.90666,1537596.42885,47,685044.8360,1553154.1411,14.043005746356,100.713616661041,-7.2741,22.9838
THAI087,THAI,2020-03-27 00:00:00,2020.2377049,87,-1150486.08407,6080853.90404,1537596.42845,47,685044.8348,1553154.1414,14.043005749212,100.713616650413,-7.2770,22.9809
THAI088,THAI,2020-03-28 00:00:00,2020.2404372,88,-1150486.08168,6080853.90832,1537596.43089,47,685044.8317,1553154.1429,14.043005762340,100.713616621303,-7.2727,22.9852
THAI089,THAI,2020-03-29 00:00:00,2020.2431694,89,-1150486.08613,6080853.91714,1537596.43091,47,685044.8344,1553154.1406,14.043005741629,100.713616646662,-7.2635,22.9944
THAI090,THAI,2020-03-30 00:00:00,2020.2459016,90,-1150486.08672,6080853.90913,1537596.42896,47,685044.8365,1553154.1406,14.043005741601,100.713616665770,-7.2715,22.9864
THAI091,THAI,2020-03-31 00:00:00,2020.2486339,91,-1150486.08462,6080853.91214,1537596.43044,47,685044.8339,1553154.1414,14.043005748909,100.713616641487,-7.2687,22.9892
THAI092,THAI,2020-04-01 00:00:00,2020.2513661,92,-1150486.08436,6080853.91694,1537596.43079,47,685044.8327,1553154.1406,14.043005741800,100.713616630843,-7.2640,22.9938
THAI093,THAI,2020-04-02 00:00:00,2020.2540984,93,-1150486.08667,6080853.90785,1537596.42919,47,685044.8367,1553154.1411,14.043005746388,100.713616667521,-7.2727,22.9852
THAI094,THAI,2020-04-03 00:00:00,2020.2568306,94,-1150486.08708,6080853.91936,1537596.43412,47,685044.8349,1553154.1431,14.043005764649,100.713616651464,-7.2604,22.9974
THAI097,THAI,2020-04-06 00:00:00,2020.2650273,97,-1150486.08700,6080853.91667,1537596.42915,47,685044.8354,1553154.1390,14.043005726901,100.713616655349,-7.2642,22.9937
THAI098,THAI,2020-04-07 00:00:00,2020.2677596,98,-1150486.08442,6080853.90820,1537596.42982,47,685044.8344,1553154.1417,14.043005752055,100.713616646494,-7.2726,22.9853
THAI101,THAI,2020-04-10 00:00:00,2020.2759563,101,-1150486.08758,6080853.91110,1537596.43329,47,685044.8369,1553154.1443,14.043005774929,100.713616670176,-7.2684,22.9895
THAI102,THAI,2020-04-11 00:00:00,2020.2786885,102,-1150486.08965,6080853.91786,1537596.43284,47,685044.8377,1553154.1422,14.043005755578,100.713616677437,-7.2617,22.9962
THAI103,THAI,2020-04-12 00:00:00,2020.2814208,103,-1150486.08466,6080853.90962,1537596.43123,47,685044.8344,1553154.1428,14.043005761309,100.713616646221,-7.2709,22.9870
THAI104,THAI,2020-04-13 00:00:00,2020.2841530,104,-1150486.08499,6080853.90227,1537596.42421,47,685044.8361,1553154.1377,14.043005715460,100.713616661831,-7.2795,22.9784
THAI105,THAI,2020-04-14 00:00:00,2020.2868852,105,-1150486.08847,6080853.91790,1537596.42943,47,685044.8366,1553154.1389,14.043005726058,100.713616666562,-7.2627,22.9952
THAI106,THAI,2020-04-15 00:00:00,2020.2896175,106,-1150486.08900,6080853.92293,1537596.42995,47,685044.8362,1553154.1382,14.043005719601,100.713616662807,-7.2577,23.0002
THAI107,THAI,2020-04-16 00:00:00,2020.2923497,107,-1150486.08760,6080853.90896,1537596.42915,47,685044.8374,1553154.1408,14.043005743265,100.713616674101,-7.2715,22.9864
THAI108,THAI,2020-04-17 00:00:00,2020.2950820,108,-1150486.08296,6080853.90239,1537596.42630,47,685044.8341,1553154.1398,14.043005734344,100.713616643189,-7.2793,22.9786
THAI109,THAI,2020-04-18 00:00:00,2020.2978142,109,-1150486.08437,6080853.90687,1537596.42895,47,685044.8346,1553154.1412,14.043005747304,100.713616648339,-7.2741,22.9838
THAI110,THAI,2020-04-19 00:00:00,2020.3005464,110,-1150486.08505,6080853.92390,1537596.43219,47,685044.8321,1553154.1402,14.043005738732,100.713616625210,-7.2569,23.0009
THAI111,THAI,2020-04-20 00:00:00,2020.3032787,111,-1150486.08974,6080853.91280,1537596.42792,47,685044.8388,1553154.1386,14.043005723318,100.713616686927,-7.2677,22.9902
THAI112,THAI,2020-04-21 00:00:00,2020.3060109,112,-1150486.08847,6080853.91263,1537596.42855,47,685044.8376,1553154.1393,14.043005729710,100.713616675684,-7.2680,22.9899
THAI113,THAI,2020-04-22 00:00:00,2020.3087432,113,-1150486.08842,6080853.91111,1537596.43050,47,685044.8378,1553154.1415,14.043005750083,100.713616677852,-7.2689,22.9889
THAI114,THAI,2020-04-23 00:00:00,2020.3114754,114,-1150486.08870,6080853.91015,1537596.42827,47,685044.8383,1553154.1396,14.043005732578,100.713616682015,-7.2703,22.9875
THAI128,THAI,2020-05-07 00:00:00,2020.3497268,128,-1150486.08810,6080853.92329,1537596.43536,47,685044.8352,1553154.1434,14.043005766657,100.713616653991,-7.2562,23.0017
THAI129,THAI,2020-05-08 00:00:00,2020.3524590,129,-1150486.08644,6080853.90877,1537596.43021,47,685044.8363,1553154.1419,14.043005753403,100.713616663880,-7.2716,22.9863
THAI130,THAI,2020-05-09 00:00:00,2020.3551913,130,-1150486.08735,6080853.91154,1537596.42919,47,685044.8367,1553154.1402,14.043005738182,100.713616667381,-7.2690,22.9888
THAI131,THAI,2020-05-10 00:00:00,2020.3579235,131,-1150486.08718,6080853.91353,1537596.43022,47,685044.8361,1553154.1407,14.043005742915,100.713616662362,-7.2669,22.9910
THAI132,THAI,2020-05-11 00:00:00,2020.3606557,132,-1150486.09122,6080853.91977,1537596.43034,47,685044.8390,1553154.1392,14.043005728904,100.713616688367,-7.2602,22.9977
THAI133,THAI,2020-05-12 00:00:00,2020.3633880,133,-1150486.09057,6080853.91383,1537596.42818,47,685044.8394,1553154.1386,14.043005723065,100.713616692694,-7.2665,22.9913
THAI134,THAI,2020-05-13 00:00:00,2020.3661202,134,-1150486.09110,6080853.92483,1537596.43150,47,685044.8379,1553154.1391,14.043005728198,100.713616678632,-7.2551,23.0027
THAI135,THAI,2020-05-14 00:00:00,2020.3688525,135,-1150486.09502,6080853.91926,1537596.43114,47,685044.8428,1553154.1400,14.043005735479,100.713616723827,-7.2598,22.9981
THAI136,THAI,2020-05-15 00:00:00,2020.3715847,136,-1150486.08741,6080853.91607,1537596.42821,47,685044.8359,1553154.1382,14.043005719775,100.713616660082,-7.2650,22.9929
THAI137,THAI,2020-05-16 00:00:00,2020.3743169,137,-1150486.09074,6080853.91395,1537596.43017,47,685044.8396,1553154.1405,14.043005740187,100.713616694080,-7.2659,22.9920
THAI138,THAI,2020-05-17 00:00:00,2020.3770492,138,-1150486.09166,6080853.91684,1537596.43155,47,685044.8399,1553154.1411,14.043005745683,100.713616697442,-7.2626,22.9952
THAI139,THAI,2020-05-18 00:00:00,2020.3797814,139,-1150486.08810,6080853.91136,1537596.43000,47,685044.8374,1553154.1410,14.043005745376,100.713616674520,-7.2689,22.9890
THAI163,THAI,2020-06-11 00:00:00,2020.4453552,163,-1150486.09364,6080853.90964,1537596.42806,47,685044.8432,1553154.1393,14.043005729810,100.713616727827,-7.2700,22.9879
THAI164,THAI,2020-06-12 00:00:00,2020.4480874,164,-1150486.09504,6080853.91011,1537596.42379,47,685044.8445,1553154.1350,14.043005690773,100.713616739772,-7.2703,22.9875
THAI165,THAI,2020-06-13 00:00:00,2020.4508197,165,-1150486.09472,6080853.90923,1537596.42419,47,685044.8444,1553154.1356,14.043005696283,100.713616738348,-7.2711,22.9868
THAI166,THAI,2020-06-14 00:00:00,2020.4535519,166,-1150486.09351,6080853.90268,1537596.42257,47,685044.8444,1553154.1357,14.043005696666,100.713616738621,-7.2780,22.9799
THAI167,THAI,2020-06-15 00:00:00,2020.4562842,167,-1150486.09376,6080853.91005,1537596.42375,47,685044.8433,1553154.1351,14.043005691094,100.713616728212,-7.2706,22.9873
