id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
BOBR001,BOBR,2020-01-01 00:00:00,2020.0027322,1,-1391662.80776,5971556.56859,1750910.62204,47,940888.5479,1777625.3131,16.038931362742,103.118548837738,151.3229,179.7412
BOBR002,BOBR,2020-01-02 00:00:00,2020.0054645,2,-1391662.81273,5971556.57163,1750910.62431,47,940888.5521,1777625.3142,16.038931372231,103.118548876567,151.3274,179.7457
BOBR003,BOBR,2020-01-03 00:00:00,2020.0081967,3,-1391662.80917,5971556.56701,1750910.61872,47,940888.5497,1777625.3102,16.038931336941,103.118548853902,151.3208,179.7391
BOBR004,BOBR,2020-01-04 00:00:00,2020.0109290,4,-1391662.80997,5971556.57386,1750910.62094,47,940888.5489,1777625.3105,16.038931339097,103.118548846676,151.3280,179.7463
BOBR005,BOBR,2020-01-05 00:00:00,2020.0136612,5,-1391662.81214,5971556.58035,1750910.62283,47,940888.5496,1777625.3104,16.038931338474,103.118548852678,151.3351,179.7534
BOBR006,BOBR,2020-01-06 00:00:00,2020.0163934,6,-1391662.80897,5971556.57480,1750910.62272,47,940888.5477,1777625.3120,16.038931352832,103.118548835610,151.3291,179.7475
BOBR007,BOBR,2020-01-07 00:00:00,2020.0191257,7,-1391662.80768,5971556.57179,1750910.62425,47,940888.5471,1777625.3143,16.038931374123,103.118548830246,151.3265,179.7448
BOBR008,BOBR,2020-01-08 00:00:00,2020.0218579,8,-1391662.80955,5971556.57472,1750910.62618,47,940888.5482,1777625.3153,16.038931382736,103.118548840988,151.3301,179.7485
BOBR009,BOBR,2020-01-09 00:00:00,2020.0245902,9,-1391662.80822,5971556.57219,1750910.62363,47,940888.5476,1777625.3136,16.038931367548,103.118548834334,151.3268,179.7451
BOBR010,BOBR,2020-01-10 00:00:00,2020.0273224,10,-1391662.80973,5971556.57053,1750910.62197,47,940888.5494,1777625.3124,16.038931356262,103.118548851574,151.3251,179.7434
BOBR011,BOBR,2020-01-11 00:00:00,2020.0300546,11,-1391662.80870,5971556.56814,1750910.62260,47,940888.5489,1777625.3137,16.038931368150,103.118548847219,151.3228,179.7411
