id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
JAHM001,JAHM,2020-01-01 00:00:00,2020.0027322,1,-1003279.84013,5959660.14360,2032774.36120,47,558607.2308,2068529.8397,18.707275620874,99.555867104156,274.9197,312.2558
JAHM002,JAHM,2020-01-02 00:00:00,2020.0054645,2,-1003279.84174,5959660.14008,2032774.35927,47,558607.2330,2068529.8389,18.707275613591,99.555867124778,274.9160,312.2522
JAHM003,JAHM,2020-01-03 00:00:00,2020.0081967,3,-1003279.84077,5959660.14307,2032774.35886,47,558607.2315,2068529.8377,18.707275602045,99.555867111022,274.9185,312.2547
JAHM004,JAHM,2020-01-04 00:00:00,2020.0109290,4,-1003279.84032,5959660.14426,2032774.35832,47,558607.2309,2068529.8368,18.707275594222,99.555867104883,274.9194,312.2555
JAHM005,JAHM,2020-01-05 00:00:00,2020.0136612,5,-1003279.84015,5959660.14568,2032774.35819,47,558607.2305,2068529.8362,18.707275589108,99.555867101097,274.9207,312.2568
JAHM006,JAHM,2020-01-06 00:00:00,2020.0163934,6,-1003279.84074,5959660.14692,2032774.36054,47,558607.2309,2068529.8380,18.707275605410,99.555867104705,274.9227,312.2588
JAHM007,JAHM,2020-01-07 00:00:00,2020.0191257,7,-1003279.84368,5959660.15395,2032774.36509,47,558607.2326,2068529.8400,18.707275622881,99.555867121077,274.9312,312.2673
JAHM008,JAHM,2020-01-08 00:00:00,2020.0218579,8,-1003279.84220,5959660.14509,2032774.36038,47,558607.2326,2068529.8384,18.707275608557,99.555867121171,274.9211,312.2573
JAHM009,JAHM,2020-01-09 00:00:00,2020.0245902,9,-1003279.83982,5959660.14513,2032774.36223,47,558607.2302,2068529.8402,18.707275625464,99.555867098901,274.9214,312.2575
JAHM010,JAHM,2020-01-10 00:00:00,2020.0273224,10,-1003279.83884,5959660.14679,2032774.36260,47,558607.2290,2068529.8401,18.707275624343,99.555867087070,274.9229,312.2591
JAHM011,JAHM,2020-01-11 00:00:00,2020.0300546,11,-1003279.84515,5959660.15713,2032774.36464,47,558607.2335,2068529.8385,18.707275609223,99.555867129781,274.9342,312.2704
JAHM012,JAHM,2020-01-12 00:00:00,2020.0327869,12,-1003279.84159,5959660.14721,2032774.36248,47,558607.2316,2068529.8397,18.707275620774,99.555867112128,274.9237,312.2598
JAHM013,JAHM,2020-01-13 00:00:00,2020.0355191,13,-1003279.84475,5959660.15173,2032774.36203,47,558607.2340,2068529.8377,18.707275602502,99.555867134591,274.9283,312.2644
JAHM014,JAHM,2020-01-14 00:00:00,2020.0382514,14,-1003279.84401,5959660.15308,2032774.36166,47,558607.2331,2068529.8370,18.707275595864,99.555867125499,274.9293,312.2654
JAHM015,JAHM,2020-01-15 00:00:00,2020.0409836,15,-1003279.84265,5959660.14839,2032774.36490,47,558607.2325,2068529.8416,18.707275637581,99.555867120188,274.9257,312.2619
JAHM016,JAHM,2020-01-16 00:00:00,2020.0437158,16,-1003279.84239,5959660.14805,2032774.36377,47,558607.2323,2068529.8406,18.707275629005,99.555867118317,274.9250,312.2612
JAHM017,JAHM,2020-01-17 00:00:00,2020.0464481,17,-1003279.84171,5959660.13878,2032774.35763,47,558607.2332,2068529.8378,18.707275603300,99.555867126542,274.9143,312.2504
JAHM018,JAHM,2020-01-18 00:00:00,2020.0491803,18,-1003279.84104,5959660.13807,2032774.35908,47,558607.2326,2068529.8394,18.707275618114,99.555867121363,274.9140,312.2501
JAHM019,JAHM,2020-01-19 00:00:00,2020.0519126,19,-1003279.84310,5959660.14998,2032774.36006,47,558607.2327,2068529.8365,18.707275591426,99.555867121914,274.9257,312.2619
JAHM020,JAHM,2020-01-20 00:00:00,2020.0546448,20,-1003279.84240,5959660.14519,2032774.36119,47,558607.2328,2068529.8391,18.707275615154,99.555867122869,274.9215,312.2577
JAHM021,JAHM,2020-01-21 00:00:00,2020.0573770,21,-1003279.83927,5959660.13735,2032774.35508,47,558607.2310,2068529.8360,18.707275586701,99.555867105970,274.9118,312.2479
JAHM022,JAHM,2020-01-22 00:00:00,2020.0601093,22,-1003279.84227,5959660.15077,2032774.35962,47,558607.2317,2068529.8359,18.707275585787,99.555867112917,274.9262,312.2624
JAHM023,JAHM,2020-01-23 00:00:00,2020.0628415,23,-1003279.84406,5959660.16008,2032774.36682,47,558607.2319,2068529.8396,18.707275619962,99.555867114982,274.9375,312.2736
JAHM024,JAHM,2020-01-24 00:00:00,2020.0655738,24,-1003279.83880,5959660.14350,2032774.36291,47,558607.2295,2068529.8415,18.707275636405,99.555867091906,274.9199,312.2561
JAHM025,JAHM,2020-01-25 00:00:00,2020.0683060,25,-1003279.83983,5959660.14496,2032774.36410,47,558607.2303,2068529.8421,18.707275641961,99.555867099218,274.9218,312.2580
JAHM026,JAHM,2020-01-26 00:00:00,2020.0710383,26,-1003279.84305,5959660.15323,2032774.36428,47,558607.2321,2068529.8395,18.707275618260,99.555867116364,274.9301,312.2663
JAHM027,JAHM,2020-01-27 00:00:00,2020.0737705,27,-1003279.84330,5959660.14697,2032774.36539,47,558607.2334,2068529.8425,18.707275645532,99.555867128482,274.9247,312.2608
JAHM028,JAHM,2020-01-28 00:00:00,2020.0765027,28,-1003279.84164,5959660.13778,2032774.35620,47,558607.2333,2068529.8368,18.707275593993,99.555867127426,274.9129,312.2490
JAHM029,JAHM,2020-01-29 00:00:00,2020.0792350,29,-1003279.83992,5959660.14465,2032774.35848,47,558607.2304,2068529.8368,18.707275594694,99.555867100519,274.9198,312.2559
JAHM030,JAHM,2020-01-30 00:00:00,2020.0819672,30,-1003279.84119,5959660.14143,2032774.36309,47,558607.2322,2068529.8422,18.707275642694,99.555867117483,274.9184,312.2546
JAHM031,JAHM,2020-01-31 00:00:00,2020.0846995,31,-1003279.84460,5959660.14277,2032774.35761,47,558607.2354,2068529.8364,18.707275590312,99.555867147275,274.9185,312.2546
JAHM032,JAHM,2020-02-01 00:00:00,2020.0874317,32,-1003279.83998,5959660.14305,2032774.35721,47,558607.2308,2068529.8361,18.707275588347,99.555867103695,274.9179,312.2540
JAHM033,JAHM,2020-02-02 00:00:00,2020.0901639,33,-1003279.84228,5959660.14549,2032774.35816,47,558607.2326,2068529.8362,18.707275588426,99.555867121264,274.9208,312.2570
JAHM034,JAHM,2020-02-03 00:00:00,2020.0928962,34,-1003279.84302,5959660.14903,2032774.36127,47,558607.2327,2068529.8379,18.707275604546,99.555867122613,274.9252,312.2614
JAHM035,JAHM,2020-02-04 00:00:00,2020.0956284,35,-1003279.84530,5959660.15010,2032774.36115,47,558607.2348,2068529.8374,18.707275599333,99.555867142289,274.9266,312.2627
JAHM036,JAHM,2020-02-05 00:00:00,2020.0983607,36,-1003279.84136,5959660.14559,2032774.36293,47,558607.2317,2068529.8407,18.707275629415,99.555867112566,274.9223,312.2584
JAHM037,JAHM,2020-02-06 00:00:00,2020.1010929,37,-1003279.84165,5959660.14860,2032774.36103,47,558607.2315,2068529.8379,18.707275604348,99.555867110506,274.9245,312.2607
JAHM038,JAHM,2020-02-07 00:00:00,2020.1038251,38,-1003279.84271,5959660.14107,2032774.36035,47,558607.2338,2068529.8396,18.707275619576,99.555867132287,274.9175,312.2536
JAHM039,JAHM,2020-02-08 00:00:00,2020.1065574,39,-1003279.84464,5959660.15299,2032774.36540,47,558607.2337,2068529.8405,18.707275627782,99.555867131596,274.9305,312.2667
JAHM040,JAHM,2020-02-09 00:00:00,2020.1092896,40,-1003279.84374,5959660.15149,2032774.36701,47,558607.2330,2068529.8426,18.707275646239,99.555867125520,274.9295,312.2656
JAHM041,JAHM,2020-02-10 00:00:00,2020.1120219,41,-1003279.84158,5959660.14800,2032774.35735,47,558607.2315,2068529.8346,18.707275574653,99.555867110850,274.9228,312.2589
