id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
KOGD001,KOGD,2020-01-01 00:00:00,2020.0027322,1,-1356671.04710,6098368.03043,1280387.73051,47,886290.0639,1291158.4273,11.658063009502,102.542041117994,35.9613,55.8011
KOGD002,KOGD,2020-01-02 00:00:00,2020.0054645,2,-1356671.04981,6098368.03410,1280387.72904,47,886290.0658,1291158.4251,11.658062988818,102.542041134974,35.9651,55.8049
KOGD003,KOGD,2020-01-03 00:00:00,2020.0081967,3,-1356671.04771,6098368.03346,1280387.72859,47,886290.0639,1291158.4248,11.658062986791,102.542041117434,35.9639,55.8038
KOGD004,KOGD,2020-01-04 00:00:00,2020.0109290,4,-1356671.04818,6098368.04261,1280387.72964,47,886290.0624,1291158.4240,11.658062979644,102.542041103426,35.9730,55.8128
KOGD005,KOGD,2020-01-05 00:00:00,2020.0136612,5,-1356671.04951,6098368.04197,1280387.72944,47,886290.0638,1291158.4239,11.658062978458,102.542041116621,35.9726,55.8124
KOGD006,KOGD,2020-01-06 00:00:00,2020.0163934,6,-1356671.04795,6098368.03778,1280387.72965,47,886290.0632,1291158.4250,11.658062988416,102.542041110974,35.9683,55.8082
KOGD007,KOGD,2020-01-07 00:00:00,2020.0191257,7,-1356671.05175,6098368.04207,1280387.73405,47,886290.0659,1291158.4283,11.658063018213,102.542041136401,35.9741,55.8139
KOGD008,KOGD,2020-01-08 00:00:00,2020.0218579,8,-1356671.05001,6098368.04393,1280387.73394,47,886290.0638,1291158.4279,11.658063014584,102.542041117144,35.9755,55.8153
KOGD009,KOGD,2020-01-09 00:00:00,2020.0245902,9,-1356671.04958,6098368.04593,1280387.73674,47,886290.0629,1291158.4303,11.658063036010,102.542041109349,35.9779,55.8177
KOGD010,KOGD,2020-01-10 00:00:00,2020.0273224,10,-1356671.05362,6098368.04532,1280387.73581,47,886290.0670,1291158.4294,11.658063027277,102.542041146731,35.9780,55.8178
KOGD011,KOGD,2020-01-11 00:00:00,2020.0300546,11,-1356671.05282,6098368.04678,1280387.73274,47,886290.0660,1291158.4261,11.658062997773,102.542041136648,35.9786,55.8184
KOGD012,KOGD,2020-01-12 00:00:00,2020.0327869,12,-1356671.04915,6098368.03785,1280387.73171,47,886290.0643,1291158.4270,11.658063006066,102.542041121534,35.9691,55.8089
KOGD013,KOGD,2020-01-13 00:00:00,2020.0355191,13,-1356671.05085,6098368.03790,1280387.73260,47,886290.0660,1291158.4278,11.658063013142,102.542041136714,35.9697,55.8095
KOGD014,KOGD,2020-01-14 00:00:00,2020.0382514,14,-1356671.04905,6098368.04008,1280387.73268,47,886290.0637,1291158.4275,11.658063010710,102.542041116238,35.9714,55.8112
KOGD015,KOGD,2020-01-15 00:00:00,2020.0409836,15,-1356671.05143,6098368.03692,1280387.73128,47,886290.0668,1291158.4267,11.658063002993,102.542041143820,35.9686,55.8084
KOGD016,KOGD,2020-01-16 00:00:00,2020.0437158,16,-1356671.04950,6098368.04391,1280387.73423,47,886290.0633,1291158.4282,11.658063017399,102.542041112581,35.9755,55.8153
KOGD017,KOGD,2020-01-17 00:00:00,2020.0464481,17,-1356671.04688,6098368.03524,1280387.72910,47,886290.0627,1291158.4250,11.658062988501,102.542041106427,35.9656,55.8054
KOGD018,KOGD,2020-01-18 00:00:00,2020.0491803,18,-1356671.04832,6098368.03616,1280387.72898,47,886290.0639,1291158.4247,11.658062985215,102.542041117494,35.9667,55.8065
KOGD019,KOGD,2020-01-19 00:00:00,2020.0519126,19,-1356671.05095,6098368.04443,1280387.72844,47,886290.0647,1291158.4224,11.658062964675,102.542041124565,35.9751,55.8149
KOGD020,KOGD,2020-01-20 00:00:00,2020.0546448,20,-1356671.05324,6098368.04103,1280387.72982,47,886290.0677,1291158.4243,11.658062982040,102.542041151850,35.9726,55.8124
KOGD021,KOGD,2020-01-21 00:00:00,2020.0573770,21,-1356671.05039,6098368.04517,1280387.73042,47,886290.0640,1291158.4242,11.658062981036,102.542041118109,35.9761,55.8159
KOGD022,KOGD,2020-01-22 00:00:00,2020.0601093,22,-1356671.05138,6098368.04623,1280387.73009,47,886290.0647,1291158.4236,11.658062975896,102.542041124830,35.9772,55.8170
KOGD023,KOGD,2020-01-23 00:00:00,2020.0628415,23,-1356671.05057,6098368.05236,1280387.73618,47,886290.0625,1291158.4284,11.658063019158,102.542041105347,35.9842,55.8240
KOGD024,KOGD,2020-01-24 00:00:00,2020.0655738,24,-1356671.05174,6098368.04261,1280387.73039,47,886290.0658,1291158.4246,11.658062984867,102.542041135253,35.9739,55.8137
KOGD025,KOGD,2020-01-25 00:00:00,2020.0683060,25,-1356671.05150,6098368.05351,1280387.73354,47,886290.0632,1291158.4256,11.658062993397,102.542041111428,35.9849,55.8247
KOGD026,KOGD,2020-01-26 00:00:00,2020.0710383,26,-1356671.05565,6098368.05595,1280387.73299,47,886290.0668,1291158.4244,11.658062982512,102.542041143693,35.9880,55.8278
KOGD027,KOGD,2020-01-27 00:00:00,2020.0737705,27,-1356671.05475,6098368.04802,1280387.73542,47,886290.0676,1291158.4284,11.658063018509,102.542041151455,35.9807,55.8206
KOGD028,KOGD,2020-01-28 00:00:00,2020.0765027,28,-1356671.04994,6098368.05137,1280387.73150,47,886290.0622,1291158.4240,11.658062979801,102.542041101678,35.9821,55.8219
KOGD029,KOGD,2020-01-29 00:00:00,2020.0792350,29,-1356671.04992,6098368.04892,1280387.73068,47,886290.0627,1291158.4237,11.658062976900,102.542041106376,35.9796,55.8194
KOGD030,KOGD,2020-01-30 00:00:00,2020.0819672,30,-1356671.05534,6098368.04445,1280387.73149,47,886290.0690,1291158.4252,11.658062989911,102.542041163830,35.9767,55.8165
KOGD031,KOGD,2020-01-31 00:00:00,2020.0846995,31,-1356671.05316,6098368.03251,1280387.72586,47,886290.0695,1291158.4222,11.658062962172,102.542041168149,35.9636,55.8035
KOGD032,KOGD,2020-02-01 00:00:00,2020.0874317,32,-1356671.04772,6098368.02625,1280387.72053,47,886290.0656,1291158.4184,11.658062928279,102.542041131906,35.9554,55.7952
KOGD033,KOGD,2020-02-02 00:00:00,2020.0901639,33,-1356671.05155,6098368.03209,1280387.72650,47,886290.0680,1291158.4229,11.658062969249,102.542041154537,35.9630,55.8028
KOGD034,KOGD,2020-02-03 00:00:00,2020.0928962,34,-1356671.05299,6098368.03097,1280387.72767,47,886290.0696,1291158.4243,11.658062980990,102.542041169633,35.9625,55.8023
KOGD035,KOGD,2020-02-04 00:00:00,2020.0956284,35,-1356671.04914,6098368.02764,1280387.72619,47,886290.0666,1291158.4236,11.658062975411,102.542041141802,35.9582,55.7980
KOGD036,KOGD,2020-02-05 00:00:00,2020.0983607,36,-1356671.05136,6098368.04196,1280387.73468,47,886290.0656,1291158.4290,11.658063024132,102.542041133189,35.9741,55.8139
KOGD037,KOGD,2020-02-06 00:00:00,2020.1010929,37,-1356671.05192,6098368.03646,1280387.72697,47,886290.0674,1291158.4225,11.658062965463,102.542041149137,35.9674,55.8072
KOGD038,KOGD,2020-02-07 00:00:00,2020.1038251,38,-1356671.05007,6098368.03905,1280387.73322,47,886290.0649,1291158.4282,11.658063016901,102.542041127379,35.9707,55.8105
KOGD039,KOGD,2020-02-08 00:00:00,2020.1065574,39,-1356671.05069,6098368.02819,1280387.72871,47,886290.0679,1291158.4259,11.658062996139,102.542041154620,35.9596,55.7994
KOGD040,KOGD,2020-02-09 00:00:00,2020.1092896,40,-1356671.05228,6098368.04058,1280387.73270,47,886290.0668,1291158.4273,11.658063008705,102.542041144150,35.9726,55.8124
KOGD041,KOGD,2020-02-10 00:00:00,2020.1120219,41,-1356671.04997,6098368.04044,1280387.72844,47,886290.0646,1291158.4232,11.658062972183,102.542041123769,35.9711,55.8109
KOGD042,KOGD,2020-02-11 00:00:00,2020.1147541,42,-1356671.04912,6098368.04123,1280387.72862,47,886290.0636,1291158.4233,11.658062972666,102.542041114579,35.9717,55.8115
KOGD043,KOGD,2020-02-12 00:00:00,2020.1174863,43,-1356671.05008,6098368.03283,1280387.72541,47,886290.0664,1291158.4218,11.658062958851,102.542041139869,35.9632,55.8030
KOGD044,KOGD,2020-02-13 00:00:00,2020.1202186,44,-1356671.05064,6098368.03314,1280387.72792,47,886290.0668,1291158.4241,11.658062980328,102.542041144253,35.9641,55.8039
KOGD045,KOGD,2020-02-14 00:00:00,2020.1229508,45,-1356671.05464,6098368.04147,1280387.72638,47,886290.0690,1291158.4208,11.658062950169,102.542041163525,35.9726,55.8124
KOGD046,KOGD,2020-02-15 00:00:00,2020.1256831,46,-1356671.05029,6098368.03592,1280387.73102,47,886290.0659,1291158.4266,11.658063002922,102.542041135584,35.9673,55.8071
KOGD047,KOGD,2020-02-16 00:00:00,2020.1284153,47,-1356671.05349,6098368.04721,1280387.73009,47,886290.0666,1291158.4234,11.658062973289,102.542041141754,35.9786,55.8184
KOGD048,KOGD,2020-02-17 00:00:00,2020.1311475,48,-1356671.04907,6098368.03417,1280387.72931,47,886290.0651,1291158.4254,11.658062991396,102.542041128186,35.9651,55.8049
KOGD049,KOGD,2020-02-18 00:00:00,2020.1338798,49,-1356671.05316,6098368.03646,1280387.72839,47,886290.0686,1291158.4239,11.658062977560,102.542041160214,35.9679,55.8077
KOGD050,KOGD,2020-02-19 00:00:00,2020.1366120,50,-1356671.04768,6098368.03048,1280387.72201,47,886290.0646,1291158.4190,11.658062933870,102.542041123120,35.9598,55.7996
KOGD053,KOGD,2020-02-22 00:00:00,2020.1448087,53,-1356671.05075,6098368.03216,1280387.72855,47,886290.0671,1291158.4250,11.658062987554,102.542041147207,35.9633,55.8031
KOGD054,KOGD,2020-02-23 00:00:00,2020.1475410,54,-1356671.05061,6098368.02880,1280387.72772,47,886290.0677,1291158.4248,11.658062986318,102.542041152640,35.9599,55.7997
KOGD055,KOGD,2020-02-24 00:00:00,2020.1502732,55,-1356671.05408,6098368.03408,1280387.72772,47,886290.0700,1291158.4237,11.658062975490,102.542041173182,35.9657,55.8055
KOGD056,KOGD,2020-02-25 00:00:00,2020.1530055,56,-1356671.05450,6098368.04623,1280387.72846,47,886290.0678,1291158.4219,11.658062960218,102.542041152776,35.9776,55.8174
KOGD057,KOGD,2020-02-26 00:00:00,2020.1557377,57,-1356671.05348,6098368.02754,1280387.72673,47,886290.0708,1291158.4240,11.658062978636,102.542041180813,35.9591,55.7990
