id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
NKBI167,NKBI,2020-06-15 00:00:00,2020.4562842,167,-1004107.40454,6237146.54842,874718.73923,47,516034.1325,877174.7523,7.935542102761,99.145478457898,-8.8861,12.4272
NKBI168,NKBI,2020-06-16 00:00:00,2020.4590164,168,-1004107.40661,6237146.54466,874718.73614,47,516034.1352,877174.7497,7.935542079264,99.145478481848,-8.8899,12.4234
NKBI169,NKBI,2020-06-17 00:00:00,2020.4617486,169,-1004107.40819,6237146.55175,874718.73690,47,516034.1356,877174.7495,7.935542077050,99.145478485778,-8.8826,12.4307
NKBI170,NKBI,2020-06-18 00:00:00,2020.4644809,170,-1004107.40729,6237146.55247,874718.73710,47,516034.1346,877174.7496,7.935542078111,99.145478476682,-8.8820,12.4313
NKBI172,NKBI,2020-06-20 00:00:00,2020.4699454,172,-1004107.40523,6237146.54889,874718.73849,47,516034.1331,877174.7515,7.935542095331,99.145478463419,-8.8857,12.4277
NKBI173,NKBI,2020-06-21 00:00:00,2020.4726776,173,-1004107.40764,6237146.55236,874718.73824,47,516034.1350,877174.7507,7.935542088381,99.145478479990,-8.8819,12.4314
NKBI174,NKBI,2020-06-22 00:00:00,2020.4754098,174,-1004107.40254,6237146.55424,874718.74032,47,516034.1296,877174.7526,7.935542105721,99.145478431636,-8.8806,12.4327
NKBI176,NKBI,2020-06-24 00:00:00,2020.4808743,176,-1004107.40239,6237146.54932,874718.74027,47,516034.1303,877174.7533,7.935542111388,99.145478437355,-8.8855,12.4279
NKBI177,NKBI,2020-06-25 00:00:00,2020.4836066,177,-1004107.40188,6237146.55667,874718.74011,47,516034.1286,877174.7521,7.935542100999,99.145478422184,-8.8784,12.4350
NKBI178,NKBI,2020-06-26 00:00:00,2020.4863388,178,-1004107.40813,6237146.54432,874718.73619,47,516034.1367,877174.7498,7.935542079869,99.145478496008,-8.8900,12.4234
NKBI181,NKBI,2020-06-29 00:00:00,2020.4945355,181,-1004107.40094,6237146.54664,874718.73787,47,516034.1293,877174.7513,7.935542093446,99.145478428205,-8.8886,12.4247
NKBI182,NKBI,2020-06-30 00:00:00,2020.4972678,182,-1004107.40761,6237146.54869,874718.73433,47,516034.1355,877174.7474,7.935542057905,99.145478484985,-8.8861,12.4273
NKBI183,NKBI,2020-07-01 00:00:00,2020.5000000,183,-1004107.40599,6237146.55170,874718.73830,47,516034.1335,877174.7509,7.935542090092,99.145478466193,-8.8828,12.4305
NKBI184,NKBI,2020-07-02 00:00:00,2020.5027322,184,-1004107.40929,6237146.54501,874718.73797,47,516034.1378,877174.7514,7.935542094690,99.145478505375,-8.8889,12.4245
NKBI185,NKBI,2020-07-03 00:00:00,2020.5054645,185,-1004107.40469,6237146.54353,874718.73748,47,516034.1335,877174.7512,7.935542093040,99.145478466293,-8.8911,12.4222
NKBI186,NKBI,2020-07-04 00:00:00,2020.5081967,186,-1004107.40394,6237146.54539,874718.73526,47,516034.1324,877174.7488,7.935542071014,99.145478456912,-8.8897,12.4236
NKBI187,NKBI,2020-07-05 00:00:00,2020.5109290,187,-1004107.40316,6237146.54416,874718.73683,47,516034.1319,877174.7505,7.935542086742,99.145478451712,-8.8909,12.4225
NKBI188,NKBI,2020-07-06 00:00:00,2020.5136612,188,-1004107.40510,6237146.54709,874718.73934,47,516034.1333,877174.7526,7.935542105265,99.145478464814,-8.8873,12.4260
NKBI189,NKBI,2020-07-07 00:00:00,2020.5163934,189,-1004107.40539,6237146.54653,874718.73781,47,516034.1337,877174.7511,7.935542092155,99.145478468258,-8.8881,12.4253
