id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PJRK001,PJRK,2020-01-01 00:00:00,2020.0027322,1,-1062387.59110,6152905.10303,1297009.23498,47,586752.2382,1305846.2372,11.811617658574,99.796349957121,-11.9635,16.6838
PJRK002,PJRK,2020-01-02 00:00:00,2020.0054645,2,-1062387.59134,6152905.10896,1297009.23681,47,586752.2374,1305846.2377,11.811617663809,99.796349950033,-11.9574,16.6899
PJRK003,PJRK,2020-01-03 00:00:00,2020.0081967,3,-1062387.59237,6152905.10856,1297009.23380,47,586752.2385,1305846.2348,11.811617637591,99.796349959954,-11.9582,16.6891
PJRK004,PJRK,2020-01-04 00:00:00,2020.0109290,4,-1062387.58808,6152905.10400,1297009.23062,47,586752.2351,1305846.2328,11.811617619148,99.796349928255,-11.9640,16.6833
PJRK005,PJRK,2020-01-05 00:00:00,2020.0136612,5,-1062387.59009,6152905.10245,1297009.23203,47,586752.2373,1305846.2344,11.811617633788,99.796349948842,-11.9648,16.6825
PJRK006,PJRK,2020-01-06 00:00:00,2020.0163934,6,-1062387.59100,6152905.10975,1297009.23556,47,586752.2370,1305846.2364,11.811617651489,99.796349945733,-11.9569,16.6904
PJRK007,PJRK,2020-01-07 00:00:00,2020.0191257,7,-1062387.59185,6152905.12128,1297009.24124,47,586752.2358,1305846.2396,11.811617680416,99.796349935381,-11.9445,16.7028
PJRK008,PJRK,2020-01-08 00:00:00,2020.0218579,8,-1062387.59174,6152905.11434,1297009.23857,47,586752.2369,1305846.2384,11.811617669482,99.796349945256,-11.9518,16.6955
PJRK009,PJRK,2020-01-09 00:00:00,2020.0245902,9,-1062387.58965,6152905.11191,1297009.23585,47,586752.2353,1305846.2362,11.811617650479,99.796349930127,-11.9550,16.6923
PJRK010,PJRK,2020-01-10 00:00:00,2020.0273224,10,-1062387.58791,6152905.11164,1297009.23800,47,586752.2336,1305846.2385,11.811617670544,99.796349914819,-11.9551,16.6922
PJRK011,PJRK,2020-01-11 00:00:00,2020.0300546,11,-1062387.59418,6152905.12609,1297009.24057,47,586752.2373,1305846.2379,11.811617664968,99.796349948924,-11.9396,16.7077
PJRK012,PJRK,2020-01-12 00:00:00,2020.0327869,12,-1062387.58902,6152905.10566,1297009.23604,47,586752.2357,1305846.2377,11.811617663753,99.796349934219,-11.9611,16.6862
PJRK013,PJRK,2020-01-13 00:00:00,2020.0355191,13,-1062387.59129,6152905.10985,1297009.23615,47,586752.2372,1305846.2369,11.811617656416,99.796349948177,-11.9567,16.6906
PJRK014,PJRK,2020-01-14 00:00:00,2020.0382514,14,-1062387.59518,6152905.10806,1297009.23975,47,586752.2414,1305846.2407,11.811617690321,99.796349986117,-11.9570,16.6903
PJRK015,PJRK,2020-01-15 00:00:00,2020.0409836,15,-1062387.59266,6152905.10732,1297009.23431,47,586752.2390,1305846.2356,11.811617644328,99.796349964498,-11.9592,16.6881
PJRK016,PJRK,2020-01-16 00:00:00,2020.0437158,16,-1062387.59386,6152905.10893,1297009.23791,47,586752.2399,1305846.2387,11.811617672836,99.796349972875,-11.9568,16.6905
