id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PKET001,PKET,2020-01-01 00:00:00,2020.0027322,1,-922365.11126,6250473.36396,869690.38296,47,433244.0757,872144.4513,7.889627412016,98.394397586138,0.1519,24.7508
PKET002,PKET,2020-01-02 00:00:00,2020.0054645,2,-922365.11482,6250473.36290,869690.38212,47,433244.0794,872144.4505,7.889627405152,98.394397619449,0.1513,24.7501
PKET003,PKET,2020-01-03 00:00:00,2020.0081967,3,-922365.11092,6250473.35645,869690.38001,47,433244.0765,872144.4494,7.889627394896,98.394397593003,0.1441,24.7430
PKET004,PKET,2020-01-04 00:00:00,2020.0109290,4,-922365.10805,6250473.35834,869690.37680,47,433244.0733,872144.4460,7.889627364278,98.394397564752,0.1451,24.7440
PKET005,PKET,2020-01-05 00:00:00,2020.0136612,5,-922365.11268,6250473.36297,869690.38162,47,433244.0772,872144.4501,7.889627400947,98.394397600200,0.1510,24.7498
PKET006,PKET,2020-01-06 00:00:00,2020.0163934,6,-922365.11249,6250473.35665,869690.38294,47,433244.0780,872144.4522,7.889627420581,98.394397606844,0.1450,24.7438
PKET007,PKET,2020-01-07 00:00:00,2020.0191257,7,-922365.11283,6250473.36063,869690.38433,47,433244.0777,872144.4531,7.889627428048,98.394397604654,0.1491,24.7479
PKET008,PKET,2020-01-08 00:00:00,2020.0218579,8,-922365.11209,6250473.35887,869690.38152,47,433244.0773,872144.4506,7.889627405238,98.394397600296,0.1469,24.7457
PKET009,PKET,2020-01-09 00:00:00,2020.0245902,9,-922365.11052,6250473.35856,869690.38179,47,433244.0758,872144.4509,7.889627408300,98.394397586628,0.1464,24.7452
PKET010,PKET,2020-01-10 00:00:00,2020.0273224,10,-922365.11002,6250473.36413,869690.38447,47,433244.0744,872144.4528,7.889627425523,98.394397574762,0.1521,24.7510
PKET011,PKET,2020-01-11 00:00:00,2020.0300546,11,-922365.11428,6250473.35736,869690.38389,47,433244.0796,872144.4531,7.889627427896,98.394397621931,0.1460,24.7449
PKET012,PKET,2020-01-12 00:00:00,2020.0327869,12,-922365.11142,6250473.36046,869690.38221,47,433244.0764,872144.4510,7.889627409552,98.394397592235,0.1484,24.7473
PKET013,PKET,2020-01-13 00:00:00,2020.0355191,13,-922365.11228,6250473.36562,869690.38193,47,433244.0765,872144.4500,7.889627400600,98.394397593134,0.1536,24.7524
PKET014,PKET,2020-01-14 00:00:00,2020.0382514,14,-922365.11094,6250473.35680,869690.38230,47,433244.0764,872144.4516,7.889627414901,98.394397592714,0.1448,24.7436
PKET015,PKET,2020-01-15 00:00:00,2020.0409836,15,-922365.11136,6250473.34979,869690.38179,47,433244.0779,872144.4521,7.889627418926,98.394397605831,0.1379,24.7367
PKET016,PKET,2020-01-16 00:00:00,2020.0437158,16,-922365.11191,6250473.36334,869690.38558,47,433244.0764,872144.4540,7.889627436085,98.394397592759,0.1518,24.7506
