id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
THAI001,THAI,2020-01-01 00:00:00,2020.0027322,1,-1150486.07621,6080853.89658,1537596.42738,47,685044.8285,1553154.1425,14.043005759036,100.713616591771,-7.2857,22.9721
THAI002,THAI,2020-01-02 00:00:00,2020.0054645,2,-1150486.08132,6080853.90406,1537596.43107,47,685044.8321,1553154.1441,14.043005773166,100.713616625381,-7.2768,22.9811
THAI003,THAI,2020-01-03 00:00:00,2020.0081967,3,-1150486.07646,6080853.90146,1537596.42764,47,685044.8278,1553154.1415,14.043005750739,100.713616585658,-7.2810,22.9769
THAI004,THAI,2020-01-04 00:00:00,2020.0109290,4,-1150486.07906,6080853.90950,1537596.42850,47,685044.8289,1553154.1404,14.043005739910,100.713616595478,-7.2726,22.9852
THAI005,THAI,2020-01-05 00:00:00,2020.0136612,5,-1150486.08050,6080853.91086,1537596.42894,47,685044.8301,1553154.1404,14.043005740236,100.713616606223,-7.2710,22.9869
THAI006,THAI,2020-01-06 00:00:00,2020.0163934,6,-1150486.07791,6080853.90638,1537596.42937,47,685044.8283,1553154.1420,14.043005754724,100.713616590373,-7.2756,22.9823
THAI007,THAI,2020-01-07 00:00:00,2020.0191257,7,-1150486.07740,6080853.91179,1537596.43379,47,685044.8268,1553154.1450,14.043005782011,100.713616576456,-7.2695,22.9884
THAI008,THAI,2020-01-08 00:00:00,2020.0218579,8,-1150486.07958,6080853.90961,1537596.43377,47,685044.8294,1553154.1454,14.043005785594,100.713616599972,-7.2712,22.9867
THAI009,THAI,2020-01-09 00:00:00,2020.0245902,9,-1150486.07866,6080853.91200,1537596.43303,47,685044.8280,1553154.1442,14.043005774382,100.713616587562,-7.2692,22.9886
THAI010,THAI,2020-01-10 00:00:00,2020.0273224,10,-1150486.07639,6080853.90794,1537596.43231,47,685044.8265,1553154.1445,14.043005777779,100.713616573888,-7.2737,22.9842
THAI011,THAI,2020-01-11 00:00:00,2020.0300546,11,-1150486.07749,6080853.91203,1537596.43000,47,685044.8269,1553154.1413,14.043005748235,100.713616576842,-7.2702,22.9877
THAI012,THAI,2020-01-12 00:00:00,2020.0327869,12,-1150486.08186,6080853.91813,1537596.43521,47,685044.8300,1553154.1447,14.043005778952,100.713616606075,-7.2623,22.9956
THAI013,THAI,2020-01-13 00:00:00,2020.0355191,13,-1150486.07830,6080853.90876,1537596.42810,47,685044.8283,1553154.1402,14.043005738285,100.713616589860,-7.2736,22.9843
THAI014,THAI,2020-01-14 00:00:00,2020.0382514,14,-1150486.07711,6080853.89949,1537596.42765,47,685044.8288,1553154.1420,14.043005754817,100.713616594967,-7.2827,22.9751
THAI015,THAI,2020-01-15 00:00:00,2020.0409836,15,-1150486.08061,6080853.90013,1537596.42990,47,685044.8321,1553154.1439,14.043005771738,100.713616625690,-7.2810,22.9769
THAI016,THAI,2020-01-16 00:00:00,2020.0437158,16,-1150486.07805,6080853.90127,1537596.42911,47,685044.8294,1553154.1430,14.043005763366,100.713616600472,-7.2805,22.9773
THAI017,THAI,2020-01-17 00:00:00,2020.0464481,17,-1150486.07735,6080853.90270,1537596.42886,47,685044.8285,1553154.1424,14.043005758371,100.713616591611,-7.2794,22.9785
THAI018,THAI,2020-01-18 00:00:00,2020.0491803,18,-1150486.07891,6080853.90132,1537596.42859,47,685044.8303,1553154.1424,14.043005758385,100.713616608215,-7.2804,22.9774
THAI019,THAI,2020-01-19 00:00:00,2020.0519126,19,-1150486.07836,6080853.90599,1537596.42959,47,685044.8289,1553154.1423,14.043005757259,100.713616595124,-7.2759,22.9820
THAI020,THAI,2020-01-20 00:00:00,2020.0546448,20,-1150486.07952,6080853.89948,1537596.42758,47,685044.8312,1553154.1418,14.043005753224,100.713616616927,-7.2823,22.9755
THAI021,THAI,2020-01-21 00:00:00,2020.0573770,21,-1150486.07742,6080853.90655,1537596.42921,47,685044.8278,1553154.1418,14.043005753142,100.713616585581,-7.2756,22.9823
THAI022,THAI,2020-01-22 00:00:00,2020.0601093,22,-1150486.07737,6080853.90313,1537596.42589,47,685044.8284,1553154.1394,14.043005731437,100.713616591003,-7.2797,22.9782
THAI023,THAI,2020-01-23 00:00:00,2020.0628415,23,-1150486.08046,6080853.90747,1537596.43133,47,685044.8306,1553154.1435,14.043005768469,100.713616611658,-7.2736,22.9842
THAI024,THAI,2020-01-24 00:00:00,2020.0655738,24,-1150486.08028,6080853.91003,1537596.43230,47,685044.8300,1553154.1439,14.043005771579,100.713616605674,-7.2710,22.9869
THAI025,THAI,2020-01-25 00:00:00,2020.0683060,25,-1150486.07785,6080853.91652,1537596.42973,47,685044.8264,1553154.1399,14.043005736024,100.713616572378,-7.2659,22.9920
THAI026,THAI,2020-01-26 00:00:00,2020.0710383,26,-1150486.08157,6080853.91326,1537596.43128,47,685044.8307,1553154.1421,14.043005755142,100.713616611831,-7.2679,22.9899
THAI027,THAI,2020-01-27 00:00:00,2020.0737705,27,-1150486.08415,6080853.92304,1537596.43706,47,685044.8314,1553154.1452,14.043005783707,100.713616618422,-7.2567,23.0011
THAI028,THAI,2020-01-28 00:00:00,2020.0765027,28,-1150486.07922,6080853.91075,1537596.43097,47,685044.8288,1553154.1424,14.043005758793,100.713616594770,-7.2708,22.9871
THAI029,THAI,2020-01-29 00:00:00,2020.0792350,29,-1150486.07796,6080853.90675,1537596.42925,47,685044.8283,1553154.1418,14.043005752820,100.713616590188,-7.2753,22.9826
THAI030,THAI,2020-01-30 00:00:00,2020.0819672,30,-1150486.08075,6080853.91159,1537596.43323,47,685044.8301,1553154.1444,14.043005776171,100.713616607226,-7.2692,22.9887
THAI031,THAI,2020-01-31 00:00:00,2020.0846995,31,-1150486.08273,6080853.91262,1537596.42971,47,685044.8319,1553154.1406,14.043005742268,100.713616623517,-7.2687,22.9892
THAI032,THAI,2020-02-01 00:00:00,2020.0874317,32,-1150486.07708,6080853.89636,1537596.42241,47,685044.8294,1553154.1377,14.043005715655,100.713616600037,-7.2870,22.9709
THAI033,THAI,2020-02-02 00:00:00,2020.0901639,33,-1150486.07996,6080853.90498,1537596.42766,47,685044.8306,1553154.1406,14.043005741905,100.713616611456,-7.2770,22.9809
THAI034,THAI,2020-02-03 00:00:00,2020.0928962,34,-1150486.07979,6080853.90593,1537596.42874,47,685044.8303,1553154.1414,14.043005749374,100.713616608261,-7.2759,22.9820
THAI035,THAI,2020-02-04 00:00:00,2020.0956284,35,-1150486.08174,6080853.90334,1537596.42963,47,685044.8327,1553154.1428,14.043005761978,100.713616630411,-7.2778,22.9801
THAI036,THAI,2020-02-05 00:00:00,2020.0983607,36,-1150486.07695,6080853.89779,1537596.42787,47,685044.8290,1553154.1426,14.043005760477,100.713616596390,-7.2843,22.9735
THAI037,THAI,2020-02-06 00:00:00,2020.1010929,37,-1150486.08423,6080853.90746,1537596.43078,47,685044.8344,1553154.1429,14.043005762108,100.713616646035,-7.2731,22.9848
THAI038,THAI,2020-02-07 00:00:00,2020.1038251,38,-1150486.08015,6080853.91203,1537596.43057,47,685044.8295,1553154.1417,14.043005752125,100.713616601025,-7.2695,22.9883
THAI039,THAI,2020-02-08 00:00:00,2020.1065574,39,-1150486.07924,6080853.90610,1537596.42792,47,685044.8297,1553154.1406,14.043005742061,100.713616602946,-7.2760,22.9819
THAI040,THAI,2020-02-09 00:00:00,2020.1092896,40,-1150486.08084,6080853.90797,1537596.43336,47,685044.8309,1553154.1454,14.043005785036,100.713616614308,-7.2726,22.9853
THAI041,THAI,2020-02-10 00:00:00,2020.1120219,41,-1150486.07988,6080853.90971,1537596.42889,47,685044.8297,1553154.1406,14.043005742465,100.713616602567,-7.2722,22.9857
THAI042,THAI,2020-02-11 00:00:00,2020.1147541,42,-1150486.07922,6080853.91490,1537596.42925,47,685044.8281,1553154.1398,14.043005734772,100.713616587598,-7.2673,22.9906
THAI043,THAI,2020-02-12 00:00:00,2020.1174863,43,-1150486.08076,6080853.90342,1537596.42509,47,685044.8317,1553154.1384,14.043005722412,100.713616621383,-7.2790,22.9789
THAI044,THAI,2020-02-13 00:00:00,2020.1202186,44,-1150486.07817,6080853.90358,1537596.42628,47,685044.8291,1553154.1396,14.043005733514,100.713616597529,-7.2790,22.9789
THAI045,THAI,2020-02-14 00:00:00,2020.1229508,45,-1150486.08227,6080853.91189,1537596.42764,47,685044.8316,1553154.1388,14.043005725858,100.713616620579,-7.2700,22.9879
THAI046,THAI,2020-02-15 00:00:00,2020.1256831,46,-1150486.07792,6080853.90748,1537596.43204,47,685044.8281,1553154.1443,14.043005775716,100.713616588611,-7.2739,22.9840
