id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
BOBR001,BOBR,2020-01-01 00:00:00,2020.0027322,1,-1391662.80759,5971556.56770,1750910.62185,47,940888.5480,1777625.3131,16.038931363330,103.118548838082,151.3219,179.7403
BOBR002,BOBR,2020-01-02 00:00:00,2020.0054645,2,-1391662.81268,5971556.57123,1750910.62415,47,940888.5521,1777625.3141,16.038931371790,103.118548876935,151.3270,179.7453
BOBR003,BOBR,2020-01-03 00:00:00,2020.0081967,3,-1391662.80955,5971556.56821,1750910.61962,47,940888.5498,1777625.3107,16.038931341570,103.118548854832,151.3222,179.7406
BOBR004,BOBR,2020-01-04 00:00:00,2020.0109290,4,-1391662.80969,5971556.57376,1750910.62099,47,940888.5487,1777625.3105,16.038931339928,103.118548844377,151.3278,179.7462
BOBR005,BOBR,2020-01-05 00:00:00,2020.0136612,5,-1391662.81205,5971556.58082,1750910.62303,47,940888.5494,1777625.3105,16.038931339112,103.118548850812,151.3355,179.7538
BOBR006,BOBR,2020-01-06 00:00:00,2020.0163934,6,-1391662.80877,5971556.57537,1750910.62311,47,940888.5474,1777625.3122,16.038931354931,103.118548832562,151.3297,179.7480
BOBR007,BOBR,2020-01-07 00:00:00,2020.0191257,7,-1391662.80713,5971556.57131,1750910.62448,47,940888.5467,1777625.3147,16.038931377626,103.118548826228,151.3259,179.7443
BOBR008,BOBR,2020-01-08 00:00:00,2020.0218579,8,-1391662.80966,5971556.57559,1750910.62667,47,940888.5481,1777625.3155,16.038931384781,103.118548840147,151.3311,179.7494
BOBR009,BOBR,2020-01-09 00:00:00,2020.0245902,9,-1391662.80877,5971556.57203,1750910.62410,47,940888.5481,1777625.3140,16.038931371631,103.118548839667,151.3269,179.7452
BOBR010,BOBR,2020-01-10 00:00:00,2020.0273224,10,-1391662.81062,5971556.57238,1750910.62290,47,940888.5499,1777625.3127,16.038931359353,103.118548855766,151.3273,179.7456
BOBR011,BOBR,2020-01-11 00:00:00,2020.0300546,11,-1391662.80859,5971556.56645,1750910.62266,47,940888.5492,1777625.3142,16.038931372798,103.118548849844,151.3212,179.7395
BOBR012,BOBR,2020-01-12 00:00:00,2020.0327869,12,-1391662.81366,5971556.58141,1750910.62668,47,940888.5508,1777625.3138,16.038931368491,103.118548864239,151.3374,179.7558
BOBR013,BOBR,2020-01-13 00:00:00,2020.0355191,13,-1391662.80867,5971556.56980,1750910.62200,47,940888.5486,1777625.3126,16.038931358917,103.118548843492,151.3242,179.7425
BOBR014,BOBR,2020-01-14 00:00:00,2020.0382514,14,-1391662.80949,5971556.56821,1750910.62273,47,940888.5497,1777625.3138,16.038931368673,103.118548854333,151.3231,179.7414
BOBR015,BOBR,2020-01-15 00:00:00,2020.0409836,15,-1391662.81224,5971556.57147,1750910.62335,47,940888.5516,1777625.3133,16.038931364559,103.118548872418,151.3269,179.7452
BOBR016,BOBR,2020-01-16 00:00:00,2020.0437158,16,-1391662.81182,5971556.57706,1750910.62389,47,940888.5500,1777625.3123,16.038931355895,103.118548856761,151.3322,179.7505
BOBR017,BOBR,2020-01-17 00:00:00,2020.0464481,17,-1391662.81173,5971556.57694,1750910.62284,47,940888.5499,1777625.3114,16.038931347151,103.118548856149,151.3318,179.7501
BOBR018,BOBR,2020-01-18 00:00:00,2020.0491803,18,-1391662.80977,5971556.56861,1750910.62013,47,940888.5499,1777625.3111,16.038931344974,103.118548855979,151.3228,179.7411
BOBR019,BOBR,2020-01-19 00:00:00,2020.0519126,19,-1391662.80979,5971556.56729,1750910.62144,47,940888.5502,1777625.3127,16.038931359454,103.118548858970,151.3219,179.7403
BOBR020,BOBR,2020-01-20 00:00:00,2020.0546448,20,-1391662.81132,5971556.57263,1750910.62438,47,940888.5505,1777625.3140,16.038931371206,103.118548861583,151.3281,179.7464
BOBR021,BOBR,2020-01-21 00:00:00,2020.0573770,21,-1391662.80949,5971556.57181,1750910.62253,47,940888.5489,1777625.3126,16.038931358153,103.118548846630,151.3264,179.7447
BOBR022,BOBR,2020-01-22 00:00:00,2020.0601093,22,-1391662.81078,5971556.57958,1750910.62246,47,940888.5484,1777625.3103,16.038931337924,103.118548841881,151.3339,179.7523
BOBR023,BOBR,2020-01-23 00:00:00,2020.0628415,23,-1391662.81366,5971556.58153,1750910.62939,47,940888.5507,1777625.3163,16.038931391763,103.118548864030,151.3383,179.7566
BOBR024,BOBR,2020-01-24 00:00:00,2020.0655738,24,-1391662.81162,5971556.57013,1750910.62371,47,940888.5513,1777625.3141,16.038931371275,103.118548869624,151.3256,179.7439
BOBR025,BOBR,2020-01-25 00:00:00,2020.0683060,25,-1391662.80967,5971556.58730,1750910.62660,47,940888.5456,1777625.3122,16.038931355743,103.118548815433,151.3421,179.7604
BOBR026,BOBR,2020-01-26 00:00:00,2020.0710383,26,-1391662.81125,5971556.56640,1750910.61826,47,940888.5519,1777625.3099,16.038931333208,103.118548874181,151.3205,179.7389
BOBR027,BOBR,2020-01-27 00:00:00,2020.0737705,27,-1391662.81313,5971556.58187,1750910.62743,47,940888.5501,1777625.3144,16.038931374164,103.118548858466,151.3380,179.7563
BOBR028,BOBR,2020-01-28 00:00:00,2020.0765027,28,-1391662.81222,5971556.57777,1750910.62325,47,940888.5502,1777625.3115,16.038931348348,103.118548858835,151.3328,179.7511
BOBR029,BOBR,2020-01-29 00:00:00,2020.0792350,29,-1391662.81046,5971556.57667,1750910.62197,47,940888.5488,1777625.3107,16.038931340903,103.118548845145,151.3310,179.7493
BOBR030,BOBR,2020-01-30 00:00:00,2020.0819672,30,-1391662.81038,5971556.56830,1750910.62305,47,940888.5505,1777625.3140,16.038931370693,103.118548862170,151.3234,179.7418
BOBR031,BOBR,2020-01-31 00:00:00,2020.0846995,31,-1391662.81453,5971556.57938,1750910.62196,47,940888.5521,1777625.3097,16.038931331938,103.118548876431,151.3344,179.7527
BOBR032,BOBR,2020-02-01 00:00:00,2020.0874317,32,-1391662.80508,5971556.56140,1750910.61331,47,940888.5471,1777625.3067,16.038931305899,103.118548828558,151.3131,179.7315
BOBR033,BOBR,2020-02-02 00:00:00,2020.0901639,33,-1391662.80913,5971556.56530,1750910.61847,47,940888.5501,1777625.3105,16.038931338932,103.118548857150,151.3191,179.7374
BOBR034,BOBR,2020-02-03 00:00:00,2020.0928962,34,-1391662.81067,5971556.57406,1750910.62250,47,940888.5495,1777625.3119,16.038931351771,103.118548852591,151.3288,179.7471
BOBR035,BOBR,2020-02-04 00:00:00,2020.0956284,35,-1391662.81184,5971556.57128,1750910.62101,47,940888.5513,1777625.3111,16.038931344867,103.118548869157,151.3260,179.7443
BOBR036,BOBR,2020-02-05 00:00:00,2020.0983607,36,-1391662.80783,5971556.56495,1750910.62305,47,940888.5488,1777625.3150,16.038931380278,103.118548846094,151.3198,179.7381
BOBR037,BOBR,2020-02-06 00:00:00,2020.1010929,37,-1391662.81271,5971556.56995,1750910.62120,47,940888.5525,1777625.3117,16.038931349261,103.118548879884,151.3250,179.7433
BOBR038,BOBR,2020-02-07 00:00:00,2020.1038251,38,-1391662.81374,5971556.58061,1750910.62618,47,940888.5510,1777625.3135,16.038931366016,103.118548866668,151.3366,179.7549
BOBR039,BOBR,2020-02-08 00:00:00,2020.1065574,39,-1391662.81395,5971556.58234,1750910.62593,47,940888.5509,1777625.3128,16.038931359577,103.118548864932,151.3382,179.7565
BOBR040,BOBR,2020-02-09 00:00:00,2020.1092896,40,-1391662.81421,5971556.57474,1750910.62556,47,940888.5528,1777625.3145,16.038931374678,103.118548883423,151.3310,179.7493
BOBR041,BOBR,2020-02-10 00:00:00,2020.1120219,41,-1391662.81213,5971556.57426,1750910.62192,47,940888.5509,1777625.3112,16.038931345380,103.118548865509,151.3291,179.7474
BOBR042,BOBR,2020-02-11 00:00:00,2020.1147541,42,-1391662.81299,5971556.58678,1750910.62279,47,940888.5490,1777625.3086,16.038931321984,103.118548846783,151.3412,179.7596
BOBR043,BOBR,2020-02-12 00:00:00,2020.1174863,43,-1391662.81309,5971556.57967,1750910.62115,47,940888.5507,1777625.3089,16.038931324981,103.118548862718,151.3342,179.7525
BOBR044,BOBR,2020-02-13 00:00:00,2020.1202186,44,-1391662.81105,5971556.57301,1750910.62229,47,940888.5502,1777625.3119,16.038931352277,103.118548858340,151.3278,179.7461
BOBR045,BOBR,2020-02-14 00:00:00,2020.1229508,45,-1391662.81557,5971556.58421,1750910.62162,47,940888.5521,1777625.3080,16.038931316625,103.118548875721,151.3391,179.7574
BOBR046,BOBR,2020-02-15 00:00:00,2020.1256831,46,-1391662.81097,5971556.57938,1750910.62226,47,940888.5487,1777625.3102,16.038931336529,103.118548844046,151.3337,179.7521
BOBR047,BOBR,2020-02-16 00:00:00,2020.1284153,47,-1391662.81343,5971556.57020,1750910.62382,47,940888.5531,1777625.3141,16.038931371040,103.118548885907,151.3261,179.7444
BOBR048,BOBR,2020-02-17 00:00:00,2020.1311475,48,-1391662.81064,5971556.57285,1750910.62368,47,940888.5498,1777625.3133,16.038931364963,103.118548854925,151.3279,179.7463
BOBR049,BOBR,2020-02-18 00:00:00,2020.1338798,49,-1391662.81414,5971556.57783,1750910.62145,47,940888.5521,1777625.3097,16.038931331470,103.118548876216,151.3327,179.7511
BOBR050,BOBR,2020-02-19 00:00:00,2020.1366120,50,-1391662.81061,5971556.56995,1750910.61964,47,940888.5505,1777625.3103,16.038931336953,103.118548860841,151.3241,179.7424
BOBR051,BOBR,2020-02-20 00:00:00,2020.1393443,51,-1391662.81415,5971556.57429,1750910.62107,47,940888.5529,1777625.3103,16.038931336827,103.118548883777,151.3293,179.7476
BOBR052,BOBR,2020-02-21 00:00:00,2020.1420765,52,-1391662.81411,5971556.57094,1750910.62418,47,940888.5536,1777625.3142,16.038931371969,103.118548890547,151.3270,179.7454
BOBR053,BOBR,2020-02-22 00:00:00,2020.1448087,53,-1391662.81180,5971556.57294,1750910.62317,47,940888.5509,1777625.3128,16.038931359623,103.118548865248,151.3281,179.7465
BOBR054,BOBR,2020-02-23 00:00:00,2020.1475410,54,-1391662.81306,5971556.57098,1750910.61958,47,940888.5526,1777625.3098,16.038931332496,103.118548880928,151.3256,179.7439
BOBR055,BOBR,2020-02-24 00:00:00,2020.1502732,55,-1391662.81495,5971556.57720,1750910.62178,47,940888.5531,1777625.3101,16.038931335394,103.118548884953,151.3324,179.7507
BOBR056,BOBR,2020-02-25 00:00:00,2020.1530055,56,-1391662.81518,5971556.57973,1750910.61786,47,940888.5528,1777625.3057,16.038931295124,103.118548881666,151.3338,179.7521
