id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
JAHM001,JAHM,2020-01-01 00:00:00,2020.0027322,1,-1003279.83989,5959660.14216,2032774.36070,47,558607.2308,2068529.8397,18.707275620813,99.555867104199,274.9181,312.2543
JAHM002,JAHM,2020-01-02 00:00:00,2020.0054645,2,-1003279.84167,5959660.13943,2032774.35906,47,558607.2330,2068529.8390,18.707275613730,99.555867125126,274.9153,312.2515
JAHM003,JAHM,2020-01-03 00:00:00,2020.0081967,3,-1003279.84065,5959660.14264,2032774.35867,47,558607.2315,2068529.8376,18.707275601713,99.555867110520,274.9181,312.2542
JAHM004,JAHM,2020-01-04 00:00:00,2020.0109290,4,-1003279.84020,5959660.14412,2032774.35829,47,558607.2308,2068529.8368,18.707275594425,99.555867103981,274.9193,312.2554
JAHM005,JAHM,2020-01-05 00:00:00,2020.0136612,5,-1003279.83994,5959660.14554,2032774.35809,47,558607.2303,2068529.8362,18.707275588805,99.555867099307,274.9205,312.2566
JAHM006,JAHM,2020-01-06 00:00:00,2020.0163934,6,-1003279.84051,5959660.14732,2032774.36072,47,558607.2306,2068529.8381,18.707275605896,99.555867101919,274.9231,312.2592
JAHM007,JAHM,2020-01-07 00:00:00,2020.0191257,7,-1003279.84331,5959660.15407,2032774.36502,47,558607.2322,2068529.8399,18.707275622058,99.555867117386,274.9312,312.2673
JAHM008,JAHM,2020-01-08 00:00:00,2020.0218579,8,-1003279.84209,5959660.14486,2032774.36057,47,558607.2325,2068529.8386,18.707275610906,99.555867120486,274.9210,312.2571
JAHM009,JAHM,2020-01-09 00:00:00,2020.0245902,9,-1003279.84058,5959660.14604,2032774.36310,47,558607.2308,2068529.8407,18.707275629929,99.555867104522,274.9226,312.2588
JAHM010,JAHM,2020-01-10 00:00:00,2020.0273224,10,-1003279.83894,5959660.14680,2032774.36268,47,558607.2291,2068529.8402,18.707275624935,99.555867088057,274.9230,312.2591
