id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
KOGD001,KOGD,2020-01-01 00:00:00,2020.0027322,1,-1356671.04717,6098368.02666,1280387.72992,47,886290.0648,1291158.4275,11.658063010897,102.542041126134,35.9576,55.7974
KOGD002,KOGD,2020-01-02 00:00:00,2020.0054645,2,-1356671.05033,6098368.03356,1280387.72885,47,886290.0664,1291158.4250,11.658062987889,102.542041140683,35.9646,55.8045
KOGD003,KOGD,2020-01-03 00:00:00,2020.0081967,3,-1356671.04768,6098368.03315,1280387.72840,47,886290.0639,1291158.4247,11.658062985698,102.542041117760,35.9636,55.8034
KOGD004,KOGD,2020-01-04 00:00:00,2020.0109290,4,-1356671.04804,6098368.04218,1280387.72956,47,886290.0623,1291158.4240,11.658062979706,102.542041102977,35.9725,55.8124
KOGD005,KOGD,2020-01-05 00:00:00,2020.0136612,5,-1356671.04931,6098368.04192,1280387.72951,47,886290.0636,1291158.4240,11.658062979280,102.542041114933,35.9726,55.8124
KOGD006,KOGD,2020-01-06 00:00:00,2020.0163934,6,-1356671.04787,6098368.03858,1280387.72994,47,886290.0629,1291158.4251,11.658062989618,102.542041108631,35.9691,55.8090
KOGD007,KOGD,2020-01-07 00:00:00,2020.0191257,7,-1356671.05135,6098368.04167,1280387.73421,47,886290.0656,1291158.4286,11.658063020499,102.542041133658,35.9737,55.8135
KOGD008,KOGD,2020-01-08 00:00:00,2020.0218579,8,-1356671.04957,6098368.04360,1280387.73421,47,886290.0635,1291158.4283,11.658063017734,102.542041113887,35.9752,55.8150
KOGD009,KOGD,2020-01-09 00:00:00,2020.0245902,9,-1356671.04958,6098368.04585,1280387.73698,47,886290.0630,1291158.4305,11.658063038314,102.542041109464,35.9779,55.8177
KOGD010,KOGD,2020-01-10 00:00:00,2020.0273224,10,-1356671.05390,6098368.04472,1280387.73631,47,886290.0674,1291158.4300,11.658063032639,102.542041150369,35.9776,55.8174
