id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
LSN1167,LSN1,2020-06-15 00:00:00,2020.4562842,167,-1088138.32938,6196941.04591,1042730.29331,47,605293.7173,1047220.4974,9.472357981938,99.959198750968,8.3079,31.4065
LSN1168,LSN1,2020-06-16 00:00:00,2020.4590164,168,-1088138.33294,6196941.05016,1042730.29492,47,605293.7201,1047220.4982,9.472357989217,99.959198776227,8.3129,31.4115
LSN1169,LSN1,2020-06-17 00:00:00,2020.4617486,169,-1088138.33486,6196941.05307,1042730.29352,47,605293.7215,1047220.4963,9.472357971982,99.959198788874,8.3158,31.4144
LSN1170,LSN1,2020-06-18 00:00:00,2020.4644809,170,-1088138.33224,6196941.04892,1042730.29284,47,605293.7196,1047220.4963,9.472357972612,99.959198771876,8.3113,31.4098
LSN1172,LSN1,2020-06-20 00:00:00,2020.4699454,172,-1088138.33371,6196941.05972,1042730.29752,47,605293.7192,1047220.4992,9.472357998147,99.959198768045,8.3228,31.4214
LSN1173,LSN1,2020-06-21 00:00:00,2020.4726776,173,-1088138.33618,6196941.05150,1042730.29476,47,605293.7231,1047220.4977,9.472357985011,99.959198803146,8.3147,31.4133
LSN1174,LSN1,2020-06-22 00:00:00,2020.4754098,174,-1088138.33388,6196941.05343,1042730.29648,47,605293.7205,1047220.4992,9.472357998104,99.959198779504,8.3165,31.4151
LSN1175,LSN1,2020-06-23 00:00:00,2020.4781421,175,-1088138.33013,6196941.04995,1042730.29527,47,605293.7174,1047220.4986,9.472357993378,99.959198751329,8.3123,31.4109
LSN1176,LSN1,2020-06-24 00:00:00,2020.4808743,176,-1088138.33061,6196941.03709,1042730.29213,47,605293.7201,1047220.4976,9.472357984049,99.959198775931,8.2994,31.3980
LSN1177,LSN1,2020-06-25 00:00:00,2020.4836066,177,-1088138.33234,6196941.06268,1042730.29793,47,605293.7174,1047220.4991,9.472357997855,99.959198751123,8.3255,31.4241
LSN1178,LSN1,2020-06-26 00:00:00,2020.4863388,178,-1088138.33379,6196941.04983,1042730.29196,47,605293.7210,1047220.4953,9.472357963029,99.959198784325,8.3123,31.4108
LSN1181,LSN1,2020-06-29 00:00:00,2020.4945355,181,-1088138.32609,6196941.04731,1042730.29312,47,605293.7139,1047220.4970,9.472357979113,99.959198719278,8.3087,31.4073
LSN1182,LSN1,2020-06-30 00:00:00,2020.4972678,182,-1088138.33220,6196941.04895,1042730.29452,47,605293.7196,1047220.4980,9.472357987569,99.959198771501,8.3116,31.4101
LSN1184,LSN1,2020-07-02 00:00:00,2020.5027322,184,-1088138.33519,6196941.04090,1042730.29489,47,605293.7239,1047220.4996,9.472358001895,99.959198811018,8.3043,31.4029
LSN1185,LSN1,2020-07-03 00:00:00,2020.5054645,185,-1088138.33365,6196941.04351,1042730.29436,47,605293.7220,1047220.4987,9.472357993773,99.959198793090,8.3065,31.4051
LSN1186,LSN1,2020-07-04 00:00:00,2020.5081967,186,-1088138.33365,6196941.05416,1042730.29295,47,605293.7201,1047220.4956,9.472357965538,99.959198776270,8.3166,31.4152
LSN1187,LSN1,2020-07-05 00:00:00,2020.5109290,187,-1088138.33392,6196941.04839,1042730.29644,47,605293.7214,1047220.4999,9.472358005109,99.959198787784,8.3116,31.4102
LSN1188,LSN1,2020-07-06 00:00:00,2020.5136612,188,-1088138.33119,6196941.04129,1042730.29108,47,605293.7199,1047220.4959,9.472357968375,99.959198774449,8.3034,31.4020
