id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
NKBI167,NKBI,2020-06-15 00:00:00,2020.4562842,167,-1004107.40412,6237146.54797,874718.73948,47,516034.1322,877174.7526,7.935542105587,99.145478454834,-8.8866,12.4267
NKBI168,NKBI,2020-06-16 00:00:00,2020.4590164,168,-1004107.40627,6237146.54462,874718.73649,47,516034.1349,877174.7501,7.935542082535,99.145478478921,-8.8900,12.4234
NKBI169,NKBI,2020-06-17 00:00:00,2020.4617486,169,-1004107.40781,6237146.55141,874718.73720,47,516034.1353,877174.7498,7.935542080251,99.145478482902,-8.8830,12.4304
NKBI170,NKBI,2020-06-18 00:00:00,2020.4644809,170,-1004107.40723,6237146.55310,874718.73794,47,516034.1345,877174.7503,7.935542084908,99.145478475225,-8.8813,12.4320
NKBI172,NKBI,2020-06-20 00:00:00,2020.4699454,172,-1004107.40550,6237146.54727,874718.73851,47,516034.1337,877174.7517,7.935542097524,99.145478468208,-8.8872,12.4261
NKBI173,NKBI,2020-06-21 00:00:00,2020.4726776,173,-1004107.40743,6237146.55066,874718.73815,47,516034.1350,877174.7509,7.935542089686,99.145478480574,-8.8836,12.4297
NKBI174,NKBI,2020-06-22 00:00:00,2020.4754098,174,-1004107.40267,6237146.55293,874718.74012,47,516034.1300,877174.7526,7.935542105544,99.145478434627,-8.8819,12.4315
NKBI176,NKBI,2020-06-24 00:00:00,2020.4808743,176,-1004107.40258,6237146.54724,874718.73966,47,516034.1308,877174.7529,7.935542108425,99.145478442075,-8.8875,12.4258
NKBI177,NKBI,2020-06-25 00:00:00,2020.4836066,177,-1004107.40364,6237146.55924,874718.73942,47,516034.1299,877174.7510,7.935542091266,99.145478434279,-8.8757,12.4377
NKBI178,NKBI,2020-06-26 00:00:00,2020.4863388,178,-1004107.40826,6237146.54299,874718.73545,47,516034.1371,877174.7492,7.935542074817,99.145478499031,-8.8914,12.4220
NKBI181,NKBI,2020-06-29 00:00:00,2020.4945355,181,-1004107.40144,6237146.54909,874718.73802,47,516034.1294,877174.7511,7.935542091709,99.145478429224,-8.8861,12.4272
NKBI182,NKBI,2020-06-30 00:00:00,2020.4972678,182,-1004107.40762,6237146.55069,874718.73519,47,516034.1352,877174.7479,7.935542063102,99.145478482210,-8.8840,12.4294
