id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PJRK001,PJRK,2020-01-01 00:00:00,2020.0027322,1,-1062387.59149,6152905.10156,1297009.23470,47,586752.2388,1305846.2372,11.811617658658,99.796349962921,-11.9649,16.6824
PJRK002,PJRK,2020-01-02 00:00:00,2020.0054645,2,-1062387.59128,6152905.10543,1297009.23574,47,586752.2380,1305846.2374,11.811617660825,99.796349955026,-11.9610,16.6863
PJRK003,PJRK,2020-01-03 00:00:00,2020.0081967,3,-1062387.59209,6152905.10710,1297009.23327,47,586752.2385,1305846.2346,11.811617635633,99.796349959709,-11.9598,16.6875
PJRK004,PJRK,2020-01-04 00:00:00,2020.0109290,4,-1062387.58843,6152905.10289,1297009.23055,47,586752.2356,1305846.2329,11.811617620457,99.796349933168,-11.9650,16.6823
PJRK005,PJRK,2020-01-05 00:00:00,2020.0136612,5,-1062387.59001,6152905.10300,1297009.23226,47,586752.2372,1305846.2345,11.811617634917,99.796349947284,-11.9643,16.6830
PJRK006,PJRK,2020-01-06 00:00:00,2020.0163934,6,-1062387.59053,6152905.10997,1297009.23587,47,586752.2365,1305846.2366,11.811617653980,99.796349941090,-11.9567,16.6906
PJRK007,PJRK,2020-01-07 00:00:00,2020.0191257,7,-1062387.59157,6152905.12177,1297009.24142,47,586752.2355,1305846.2396,11.811617681203,99.796349932070,-11.9440,16.7033
PJRK008,PJRK,2020-01-08 00:00:00,2020.0218579,8,-1062387.59157,6152905.11563,1297009.23904,47,586752.2365,1305846.2386,11.811617671378,99.796349941696,-11.9504,16.6969
PJRK009,PJRK,2020-01-09 00:00:00,2020.0245902,9,-1062387.58996,6152905.11131,1297009.23606,47,586752.2357,1305846.2366,11.811617653372,99.796349933857,-11.9555,16.6918
PJRK010,PJRK,2020-01-10 00:00:00,2020.0273224,10,-1062387.58873,6152905.11377,1297009.23895,47,586752.2340,1305846.2389,11.811617674853,99.796349918873,-11.9527,16.6946
PJRK011,PJRK,2020-01-11 00:00:00,2020.0300546,11,-1062387.59464,6152905.12557,1297009.24038,47,586752.2379,1305846.2378,11.811617664150,99.796349953897,-11.9401,16.7072
PJRK012,PJRK,2020-01-12 00:00:00,2020.0327869,12,-1062387.58949,6152905.10636,1297009.23626,47,586752.2361,1305846.2378,11.811617664274,99.796349937358,-11.9603,16.6870
PJRK013,PJRK,2020-01-13 00:00:00,2020.0355191,13,-1062387.59182,6152905.10993,1297009.23636,47,586752.2378,1305846.2371,11.811617657918,99.796349952839,-11.9565,16.6908
