id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PKET001,PKET,2020-01-01 00:00:00,2020.0027322,1,-922365.11066,6250473.36200,869690.38255,47,433244.0754,872144.4512,7.889627410817,98.394397583388,0.1499,24.7487
PKET002,PKET,2020-01-02 00:00:00,2020.0054645,2,-922365.11487,6250473.36221,869690.38188,47,433244.0795,872144.4504,7.889627403843,98.394397620839,0.1506,24.7494
PKET003,PKET,2020-01-03 00:00:00,2020.0081967,3,-922365.11106,6250473.35667,869690.37987,47,433244.0766,872144.4492,7.889627393352,98.394397593949,0.1444,24.7432
PKET004,PKET,2020-01-04 00:00:00,2020.0109290,4,-922365.10812,6250473.35758,869690.37689,47,433244.0735,872144.4462,7.889627366071,98.394397566382,0.1444,24.7432
PKET005,PKET,2020-01-05 00:00:00,2020.0136612,5,-922365.11244,6250473.36280,869690.38190,47,433244.0770,872144.4504,7.889627403733,98.394397598221,0.1508,24.7497
PKET006,PKET,2020-01-06 00:00:00,2020.0163934,6,-922365.11227,6250473.35641,869690.38319,47,433244.0778,872144.4525,7.889627423115,98.394397605217,0.1447,24.7436
PKET007,PKET,2020-01-07 00:00:00,2020.0191257,7,-922365.11261,6250473.36019,869690.38468,47,433244.0776,872144.4535,7.889627431792,98.394397603269,0.1487,24.7475
PKET008,PKET,2020-01-08 00:00:00,2020.0218579,8,-922365.11225,6250473.35936,869690.38209,47,433244.0774,872144.4510,7.889627409674,98.394397601109,0.1475,24.7463
PKET009,PKET,2020-01-09 00:00:00,2020.0245902,9,-922365.11108,6250473.35829,869690.38165,47,433244.0763,872144.4508,7.889627407286,98.394397591997,0.1462,24.7450
PKET010,PKET,2020-01-10 00:00:00,2020.0273224,10,-922365.11065,6250473.36542,869690.38461,47,433244.0749,872144.4527,7.889627425077,98.394397578700,0.1535,24.7523
PKET011,PKET,2020-01-11 00:00:00,2020.0300546,11,-922365.11502,6250473.35704,869690.38373,47,433244.0804,872144.4529,7.889627426752,98.394397628989,0.1458,24.7446
PKET012,PKET,2020-01-12 00:00:00,2020.0327869,12,-922365.11203,6250473.35897,869690.38217,47,433244.0772,872144.4512,7.889627410950,98.394397599666,0.1471,24.7459
PKET013,PKET,2020-01-13 00:00:00,2020.0355191,13,-922365.11250,6250473.36570,869690.38173,47,433244.0767,872144.4498,7.889627398588,98.394397594984,0.1537,24.7525
PKET014,PKET,2020-01-14 00:00:00,2020.0382514,14,-922365.11178,6250473.35670,869690.38174,47,433244.0773,872144.4511,7.889627409882,98.394397600435,0.1447,24.7436
PKET015,PKET,2020-01-15 00:00:00,2020.0409836,15,-922365.11149,6250473.34969,869690.38133,47,433244.0780,872144.4516,7.889627414897,98.394397607085,0.1378,24.7366
PKET016,PKET,2020-01-16 00:00:00,2020.0437158,16,-922365.11200,6250473.36343,869690.38536,47,433244.0765,872144.4537,7.889627433965,98.394397593495,0.1519,24.7507
PKET017,PKET,2020-01-17 00:00:00,2020.0464481,17,-922365.11156,6250473.36197,869690.38314,47,433244.0763,872144.4517,7.889627416009,98.394397591436,0.1501,24.7489
PKET018,PKET,2020-01-18 00:00:00,2020.0491803,18,-922365.10898,6250473.35059,869690.38161,47,433244.0754,872144.4518,7.889627416744,98.394397583396,0.1383,24.7372
PKET019,PKET,2020-01-19 00:00:00,2020.0519126,19,-922365.11139,6250473.36529,869690.38302,47,433244.0756,872144.4512,7.889627410865,98.394397585533,0.1533,24.7521
PKET020,PKET,2020-01-20 00:00:00,2020.0546448,20,-922365.11338,6250473.35737,869690.38075,47,433244.0788,872144.4500,7.889627399890,98.394397613871,0.1455,24.7443
PKET021,PKET,2020-01-21 00:00:00,2020.0573770,21,-922365.10949,6250473.35726,869690.38073,47,433244.0749,872144.4500,7.889627400615,98.394397579173,0.1448,24.7437
PKET022,PKET,2020-01-22 00:00:00,2020.0601093,22,-922365.11480,6250473.36870,869690.38338,47,433244.0785,872144.4510,7.889627409298,98.394397611654,0.1572,24.7560
PKET023,PKET,2020-01-23 00:00:00,2020.0628415,23,-922365.11049,6250473.34924,869690.38217,47,433244.0771,872144.4525,7.889627423164,98.394397598752,0.1373,24.7361
PKET024,PKET,2020-01-24 00:00:00,2020.0655738,24,-922365.11071,6250473.36551,869690.38226,47,433244.0749,872144.4504,7.889627403917,98.394397579136,0.1533,24.7521
PKET025,PKET,2020-01-25 00:00:00,2020.0683060,25,-922365.10843,6250473.36172,869690.38264,47,433244.0732,872144.4514,7.889627412429,98.394397563728,0.1493,24.7481
PKET026,PKET,2020-01-26 00:00:00,2020.0710383,26,-922365.11561,6250473.36682,869690.38127,47,433244.0796,872144.4491,7.889627392565,98.394397621364,0.1551,24.7540
PKET027,PKET,2020-01-27 00:00:00,2020.0737705,27,-922365.11399,6250473.36252,869690.38385,47,433244.0786,872144.4523,7.889627421207,98.394397612524,0.1511,24.7499
PKET028,PKET,2020-01-28 00:00:00,2020.0765027,28,-922365.10979,6250473.35843,869690.38269,47,433244.0751,872144.4518,7.889627416622,98.394397580289,0.1463,24.7451
PKET029,PKET,2020-01-29 00:00:00,2020.0792350,29,-922365.11068,6250473.35987,869690.38092,47,433244.0757,872144.4499,7.889627398864,98.394397586356,0.1476,24.7464
PKET030,PKET,2020-01-30 00:00:00,2020.0819672,30,-922365.11518,6250473.36391,869690.38442,47,433244.0796,872144.4527,7.889627424441,98.394397621364,0.1527,24.7515
PKET031,PKET,2020-01-31 00:00:00,2020.0846995,31,-922365.11312,6250473.35394,869690.38030,47,433244.0790,872144.4500,7.889627400110,98.394397616060,0.1420,24.7409
PKET032,PKET,2020-02-01 00:00:00,2020.0874317,32,-922365.11024,6250473.35145,869690.37863,47,433244.0765,872144.4487,7.889627388756,98.394397593566,0.1389,24.7378
PKET033,PKET,2020-02-02 00:00:00,2020.0901639,33,-922365.11127,6250473.35841,869690.38048,47,433244.0765,872144.4496,7.889627396616,98.394397593598,0.1462,24.7450
PKET034,PKET,2020-02-03 00:00:00,2020.0928962,34,-922365.11148,6250473.36086,869690.38123,47,433244.0764,872144.4500,7.889627400233,98.394397592198,0.1487,24.7475
PKET035,PKET,2020-02-04 00:00:00,2020.0956284,35,-922365.11405,6250473.36330,869690.38400,47,433244.0786,872144.4524,7.889627421620,98.394397612079,0.1518,24.7507
PKET036,PKET,2020-02-05 00:00:00,2020.0983607,36,-922365.11117,6250473.35985,869690.38221,47,433244.0762,872144.4511,7.889627410308,98.394397590730,0.1478,24.7466
