id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
THAI001,THAI,2020-01-01 00:00:00,2020.0027322,1,-1150486.07622,6080853.89516,1537596.42693,47,685044.8288,1553154.1424,14.043005758160,100.713616594284,-7.2872,22.9707
THAI002,THAI,2020-01-02 00:00:00,2020.0054645,2,-1150486.08135,6080853.90312,1537596.43078,47,685044.8323,1553154.1440,14.043005772685,100.713616627229,-7.2778,22.9801
THAI003,THAI,2020-01-03 00:00:00,2020.0081967,3,-1150486.07637,6080853.90102,1537596.42754,47,685044.8278,1553154.1416,14.043005750815,100.713616585589,-7.2814,22.9764
THAI004,THAI,2020-01-04 00:00:00,2020.0109290,4,-1150486.07890,6080853.90967,1537596.42860,47,685044.8287,1553154.1404,14.043005740456,100.713616593753,-7.2725,22.9854
THAI005,THAI,2020-01-05 00:00:00,2020.0136612,5,-1150486.08022,6080853.91118,1537596.42889,47,685044.8297,1553154.1403,14.043005739231,100.713616603156,-7.2707,22.9871
THAI006,THAI,2020-01-06 00:00:00,2020.0163934,6,-1150486.07767,6080853.90683,1537596.42958,47,685044.8280,1553154.1421,14.043005755710,100.713616587412,-7.2752,22.9827
THAI007,THAI,2020-01-07 00:00:00,2020.0191257,7,-1150486.07756,6080853.91186,1537596.43311,47,685044.8270,1553154.1443,14.043005775792,100.713616577729,-7.2695,22.9883
THAI008,THAI,2020-01-08 00:00:00,2020.0218579,8,-1150486.07927,6080853.90882,1537596.43355,47,685044.8292,1553154.1454,14.043005785558,100.713616598560,-7.2720,22.9858
THAI009,THAI,2020-01-09 00:00:00,2020.0245902,9,-1150486.07907,6080853.91233,1537596.43303,47,685044.8284,1553154.1441,14.043005773492,100.713616590684,-7.2688,22.9890
THAI010,THAI,2020-01-10 00:00:00,2020.0273224,10,-1150486.07688,6080853.90986,1537596.43297,47,685044.8267,1553154.1447,14.043005779182,100.713616575035,-7.2716,22.9863
THAI011,THAI,2020-01-11 00:00:00,2020.0300546,11,-1150486.07769,6080853.91028,1537596.42937,47,685044.8274,1553154.1411,14.043005746402,100.713616581640,-7.2719,22.9859
THAI012,THAI,2020-01-12 00:00:00,2020.0327869,12,-1150486.08216,6080853.91700,1537596.43510,47,685044.8305,1553154.1448,14.043005780345,100.713616610735,-7.2633,22.9945
THAI013,THAI,2020-01-13 00:00:00,2020.0355191,13,-1150486.07859,6080853.90806,1537596.42797,47,685044.8287,1553154.1402,14.043005738565,100.713616593716,-7.2742,22.9836
THAI014,THAI,2020-01-14 00:00:00,2020.0382514,14,-1150486.07780,6080853.89940,1537596.42776,47,685044.8295,1553154.1421,14.043005755626,100.713616601401,-7.2827,22.9752
THAI015,THAI,2020-01-15 00:00:00,2020.0409836,15,-1150486.08080,6080853.89893,1537596.42967,47,685044.8326,1553154.1440,14.043005772186,100.713616629506,-7.2821,22.9757
THAI016,THAI,2020-01-16 00:00:00,2020.0437158,16,-1150486.07843,6080853.90183,1537596.42932,47,685044.8297,1553154.1430,14.043005763852,100.713616602897,-7.2799,22.9780
THAI017,THAI,2020-01-17 00:00:00,2020.0464481,17,-1150486.07742,6080853.90337,1537596.42919,47,685044.8284,1553154.1426,14.043005759803,100.713616591108,-7.2786,22.9793
THAI018,THAI,2020-01-18 00:00:00,2020.0491803,18,-1150486.07881,6080853.90204,1537596.42888,47,685044.8300,1553154.1425,14.043005759373,100.713616606002,-7.2797,22.9782
THAI019,THAI,2020-01-19 00:00:00,2020.0519126,19,-1150486.07826,6080853.90821,1537596.43004,47,685044.8283,1553154.1422,14.043005756482,100.713616590366,-7.2736,22.9842
THAI020,THAI,2020-01-20 00:00:00,2020.0546448,20,-1150486.07920,6080853.90016,1537596.42790,47,685044.8308,1553154.1420,14.043005754660,100.713616612820,-7.2817,22.9762
THAI021,THAI,2020-01-21 00:00:00,2020.0573770,21,-1150486.07751,6080853.90790,1537596.42948,47,685044.8277,1553154.1417,14.043005752523,100.713616584076,-7.2742,22.9837
THAI022,THAI,2020-01-22 00:00:00,2020.0601093,22,-1150486.07743,6080853.90308,1537596.42596,47,685044.8285,1553154.1395,14.043005732082,100.713616591656,-7.2797,22.9782
THAI023,THAI,2020-01-23 00:00:00,2020.0628415,23,-1150486.07963,6080853.90733,1537596.43196,47,685044.8298,1553154.1442,14.043005774666,100.713616604362,-7.2738,22.9841
THAI024,THAI,2020-01-24 00:00:00,2020.0655738,24,-1150486.08153,6080853.91278,1537596.43241,47,685044.8307,1553154.1433,14.043005766081,100.713616612255,-7.2681,22.9897
THAI025,THAI,2020-01-25 00:00:00,2020.0683060,25,-1150486.07858,6080853.91527,1537596.42931,47,685044.8274,1553154.1398,14.043005734710,100.713616581138,-7.2670,22.9908
THAI026,THAI,2020-01-26 00:00:00,2020.0710383,26,-1150486.08128,6080853.91064,1537596.43022,47,685044.8309,1553154.1417,14.043005751560,100.713616613729,-7.2707,22.9871
THAI027,THAI,2020-01-27 00:00:00,2020.0737705,27,-1150486.08447,6080853.92180,1537596.43672,47,685044.8319,1553154.1452,14.043005783263,100.713616623499,-7.2580,22.9999
THAI028,THAI,2020-01-28 00:00:00,2020.0765027,28,-1150486.07954,6080853.90945,1537596.43055,47,685044.8294,1553154.1423,14.043005757800,100.713616599902,-7.2721,22.9858
THAI029,THAI,2020-01-29 00:00:00,2020.0792350,29,-1150486.07796,6080853.90594,1537596.42900,47,685044.8285,1553154.1417,14.043005752354,100.713616591556,-7.2761,22.9818
THAI030,THAI,2020-01-30 00:00:00,2020.0819672,30,-1150486.08089,6080853.91094,1537596.43307,47,685044.8304,1553154.1444,14.043005776104,100.713616609650,-7.2698,22.9880
THAI031,THAI,2020-01-31 00:00:00,2020.0846995,31,-1150486.08270,6080853.91294,1537596.42989,47,685044.8318,1553154.1407,14.043005743189,100.713616622640,-7.2684,22.9895
THAI032,THAI,2020-02-01 00:00:00,2020.0874317,32,-1150486.07703,6080853.89676,1537596.42271,47,685044.8293,1553154.1379,14.043005717359,100.713616598925,-7.2866,22.9713
THAI033,THAI,2020-02-02 00:00:00,2020.0901639,33,-1150486.08008,6080853.90605,1537596.42806,47,685044.8306,1553154.1407,14.043005743025,100.713616610696,-7.2759,22.9820
THAI034,THAI,2020-02-03 00:00:00,2020.0928962,34,-1150486.07967,6080853.90657,1537596.42898,47,685044.8300,1553154.1415,14.043005750170,100.713616606022,-7.2752,22.9827
THAI035,THAI,2020-02-04 00:00:00,2020.0956284,35,-1150486.08151,6080853.90313,1537596.42955,47,685044.8325,1553154.1428,14.043005761832,100.713616628680,-7.2780,22.9798
THAI036,THAI,2020-02-05 00:00:00,2020.0983607,36,-1150486.07727,6080853.89775,1537596.42752,47,685044.8293,1553154.1423,14.043005757329,100.713616599373,-7.2844,22.9735
THAI037,THAI,2020-02-06 00:00:00,2020.1010929,37,-1150486.08425,6080853.90848,1537596.43083,47,685044.8342,1553154.1427,14.043005760393,100.713616644443,-7.2721,22.9858
THAI038,THAI,2020-02-07 00:00:00,2020.1038251,38,-1150486.08009,6080853.91112,1537596.43029,47,685044.8296,1553154.1417,14.043005751661,100.713616602017,-7.2705,22.9874
THAI039,THAI,2020-02-08 00:00:00,2020.1065574,39,-1150486.07961,6080853.90548,1537596.42772,47,685044.8302,1553154.1405,14.043005741500,100.713616607347,-7.2766,22.9813
THAI040,THAI,2020-02-09 00:00:00,2020.1092896,40,-1150486.08136,6080853.90693,1537596.43320,47,685044.8316,1553154.1454,14.043005785692,100.713616620813,-7.2735,22.9843
THAI041,THAI,2020-02-10 00:00:00,2020.1120219,41,-1150486.08055,6080853.90877,1537596.42859,47,685044.8305,1553154.1406,14.043005741602,100.713616610290,-7.2731,22.9848
THAI042,THAI,2020-02-11 00:00:00,2020.1147541,42,-1150486.07964,6080853.91412,1537596.42916,47,685044.8286,1553154.1399,14.043005735450,100.713616592770,-7.2680,22.9899
THAI043,THAI,2020-02-12 00:00:00,2020.1174863,43,-1150486.08118,6080853.90343,1537596.42522,47,685044.8321,1553154.1385,14.043005723355,100.713616625165,-7.2788,22.9790
THAI044,THAI,2020-02-13 00:00:00,2020.1202186,44,-1150486.07834,6080853.90394,1537596.42640,47,685044.8292,1553154.1397,14.043005733765,100.713616598501,-7.2786,22.9793
THAI045,THAI,2020-02-14 00:00:00,2020.1229508,45,-1150486.08240,6080853.91298,1537596.42802,47,685044.8316,1553154.1389,14.043005726807,100.713616619859,-7.2688,22.9890
THAI046,THAI,2020-02-15 00:00:00,2020.1256831,46,-1150486.07824,6080853.90942,1537596.43221,47,685044.8281,1553154.1440,14.043005772896,100.713616588161,-7.2720,22.9859
THAI047,THAI,2020-02-16 00:00:00,2020.1284153,47,-1150486.07850,6080853.90719,1537596.43203,47,685044.8288,1553154.1443,14.043005776020,100.713616594315,-7.2741,22.9838
THAI072,THAI,2020-03-12 00:00:00,2020.1967213,72,-1150486.08376,6080853.90279,1537596.42714,47,685044.8348,1553154.1405,14.043005740507,100.713616649764,-7.2785,22.9793
THAI073,THAI,2020-03-13 00:00:00,2020.1994536,73,-1150486.08302,6080853.91182,1537596.42978,47,685044.8324,1553154.1409,14.043005744491,100.713616627497,-7.2694,22.9885
THAI074,THAI,2020-03-14 00:00:00,2020.2021858,74,-1150486.08666,6080853.91292,1537596.43035,47,685044.8357,1553154.1410,14.043005745613,100.713616658740,-7.2676,22.9903
THAI075,THAI,2020-03-15 00:00:00,2020.2049180,75,-1150486.07897,6080853.88920,1537596.42245,47,685044.8326,1553154.1394,14.043005730640,100.713616629543,-7.2935,22.9644
THAI076,THAI,2020-03-16 00:00:00,2020.2076503,76,-1150486.08458,6080853.90980,1537596.42934,47,685044.8343,1553154.1409,14.043005744328,100.713616645196,-7.2712,22.9867
THAI077,THAI,2020-03-17 00:00:00,2020.2103825,77,-1150486.08423,6080853.91208,1537596.42834,47,685044.8335,1553154.1394,14.043005730830,100.713616638090,-7.2693,22.9886
THAI078,THAI,2020-03-18 00:00:00,2020.2131148,78,-1150486.08368,6080853.91145,1537596.42932,47,685044.8331,1553154.1405,14.043005741006,100.713616634175,-7.2698,22.9881
THAI079,THAI,2020-03-19 00:00:00,2020.2158470,79,-1150486.08212,6080853.90242,1537596.42805,47,685044.8332,1553154.1415,14.043005749947,100.713616635519,-7.2790,22.9789
THAI080,THAI,2020-03-20 00:00:00,2020.2185792,80,-1150486.08185,6080853.89836,1537596.42720,47,685044.8337,1553154.1417,14.043005751350,100.713616640004,-7.2831,22.9748
THAI081,THAI,2020-03-21 00:00:00,2020.2213115,81,-1150486.08590,6080853.91834,1537596.42902,47,685044.8340,1553154.1385,14.043005722587,100.713616642506,-7.2629,22.9950
THAI082,THAI,2020-03-22 00:00:00,2020.2240437,82,-1150486.08460,6080853.90902,1537596.42933,47,685044.8344,1553154.1411,14.043005745902,100.713616646642,-7.2719,22.9860
THAI083,THAI,2020-03-23 00:00:00,2020.2267760,83,-1150486.09113,6080853.91187,1537596.43082,47,685044.8403,1553154.1416,14.043005750155,100.713616701201,-7.2677,22.9902
THAI084,THAI,2020-03-24 00:00:00,2020.2295082,84,-1150486.08513,6080853.91526,1537596.43126,47,685044.8338,1553154.1414,14.043005749181,100.713616640752,-7.2654,22.9925
THAI085,THAI,2020-03-25 00:00:00,2020.2322404,85,-1150486.08506,6080853.91405,1537596.42944,47,685044.8340,1553154.1399,14.043005735819,100.713616642197,-7.2670,22.9909
THAI086,THAI,2020-03-26 00:00:00,2020.2349727,86,-1150486.08577,6080853.90658,1537596.42876,47,685044.8360,1553154.1410,14.043005745678,100.713616661499,-7.2742,22.9837
THAI087,THAI,2020-03-27 00:00:00,2020.2377049,87,-1150486.08410,6080853.90398,1537596.42837,47,685044.8349,1553154.1414,14.043005748563,100.713616650775,-7.2770,22.9808
THAI088,THAI,2020-03-28 00:00:00,2020.2404372,88,-1150486.08181,6080853.90857,1537596.43094,47,685044.8318,1553154.1428,14.043005762123,100.713616622046,-7.2724,22.9854
THAI089,THAI,2020-03-29 00:00:00,2020.2431694,89,-1150486.08616,6080853.91719,1537596.43087,47,685044.8345,1553154.1405,14.043005741164,100.713616646800,-7.2635,22.9944
THAI090,THAI,2020-03-30 00:00:00,2020.2459016,90,-1150486.08674,6080853.90921,1537596.42897,47,685044.8365,1553154.1406,14.043005741457,100.713616665872,-7.2714,22.9864
THAI091,THAI,2020-03-31 00:00:00,2020.2486339,91,-1150486.08467,6080853.91261,1537596.43042,47,685044.8338,1553154.1413,14.043005747739,100.713616641132,-7.2682,22.9897
THAI092,THAI,2020-04-01 00:00:00,2020.2513661,92,-1150486.08436,6080853.91695,1537596.43080,47,685044.8327,1553154.1406,14.043005741830,100.713616630831,-7.2640,22.9938
THAI093,THAI,2020-04-02 00:00:00,2020.2540984,93,-1150486.08667,6080853.90786,1537596.42922,47,685044.8367,1553154.1412,14.043005746611,100.713616667542,-7.2727,22.9852
THAI094,THAI,2020-04-03 00:00:00,2020.2568306,94,-1150486.08705,6080853.91922,1537596.43406,47,685044.8349,1553154.1431,14.043005764401,100.713616651417,-7.2606,22.9973
THAI097,THAI,2020-04-06 00:00:00,2020.2650273,97,-1150486.08741,6080853.91700,1537596.42908,47,685044.8357,1553154.1388,14.043005725435,100.713616658530,-7.2639,22.9940
THAI098,THAI,2020-04-07 00:00:00,2020.2677596,98,-1150486.08439,6080853.90810,1537596.42970,47,685044.8344,1553154.1416,14.043005751213,100.713616646361,-7.2727,22.9851
THAI101,THAI,2020-04-10 00:00:00,2020.2759563,101,-1150486.08778,6080853.91216,1537596.43334,47,685044.8370,1553154.1441,14.043005772978,100.713616670235,-7.2674,22.9905
THAI102,THAI,2020-04-11 00:00:00,2020.2786885,102,-1150486.08973,6080853.91832,1537596.43285,47,685044.8377,1553154.1420,14.043005754609,100.713616677358,-7.2613,22.9966
THAI103,THAI,2020-04-12 00:00:00,2020.2814208,103,-1150486.08464,6080853.90972,1537596.43125,47,685044.8343,1553154.1428,14.043005761272,100.713616645816,-7.2708,22.9871
THAI104,THAI,2020-04-13 00:00:00,2020.2841530,104,-1150486.08495,6080853.90220,1537596.42417,47,685044.8361,1553154.1377,14.043005715250,100.713616661640,-7.2796,22.9783
THAI105,THAI,2020-04-14 00:00:00,2020.2868852,105,-1150486.08845,6080853.91792,1537596.42942,47,685044.8366,1553154.1389,14.043005725992,100.713616666402,-7.2627,22.9952
THAI106,THAI,2020-04-15 00:00:00,2020.2896175,106,-1150486.08892,6080853.92274,1537596.42987,47,685044.8362,1553154.1381,14.043005719334,100.713616662364,-7.2579,23.0000
THAI107,THAI,2020-04-16 00:00:00,2020.2923497,107,-1150486.08756,6080853.90893,1537596.42913,47,685044.8374,1553154.1408,14.043005743193,100.713616673779,-7.2715,22.9864
THAI108,THAI,2020-04-17 00:00:00,2020.2950820,108,-1150486.08293,6080853.90223,1537596.42623,47,685044.8341,1553154.1397,14.043005734090,100.713616643199,-7.2794,22.9785
THAI109,THAI,2020-04-18 00:00:00,2020.2978142,109,-1150486.08472,6080853.90704,1537596.42892,47,685044.8349,1553154.1411,14.043005746531,100.713616651199,-7.2739,22.9840
THAI110,THAI,2020-04-19 00:00:00,2020.3005464,110,-1150486.08502,6080853.92317,1537596.43202,47,685044.8322,1553154.1403,14.043005738881,100.713616626131,-7.2577,23.0002
THAI111,THAI,2020-04-20 00:00:00,2020.3032787,111,-1150486.08988,6080853.91296,1537596.42785,47,685044.8389,1553154.1385,14.043005722282,100.713616687959,-7.2676,22.9903
THAI112,THAI,2020-04-21 00:00:00,2020.3060109,112,-1150486.08854,6080853.91262,1537596.42852,47,685044.8377,1553154.1393,14.043005729488,100.713616676331,-7.2680,22.9899
THAI113,THAI,2020-04-22 00:00:00,2020.3087432,113,-1150486.08841,6080853.91090,1537596.43034,47,685044.8378,1553154.1414,14.043005749218,100.713616678061,-7.2692,22.9887
THAI114,THAI,2020-04-23 00:00:00,2020.3114754,114,-1150486.08872,6080853.90977,1537596.42823,47,685044.8384,1553154.1397,14.043005732962,100.713616682900,-7.2707,22.9872
THAI128,THAI,2020-05-07 00:00:00,2020.3497268,128,-1150486.08796,6080853.92309,1537596.43507,47,685044.8351,1553154.1431,14.043005764583,100.713616653054,-7.2565,23.0014
THAI129,THAI,2020-05-08 00:00:00,2020.3524590,129,-1150486.08635,6080853.90867,1537596.43014,47,685044.8362,1553154.1419,14.043005753062,100.713616663211,-7.2717,22.9861
THAI130,THAI,2020-05-09 00:00:00,2020.3551913,130,-1150486.08696,6080853.91065,1537596.42910,47,685044.8365,1553154.1404,14.043005739474,100.713616665384,-7.2700,22.9879
THAI131,THAI,2020-05-10 00:00:00,2020.3579235,131,-1150486.08673,6080853.91253,1537596.42994,47,685044.8359,1553154.1407,14.043005742853,100.713616660047,-7.2680,22.9898
THAI132,THAI,2020-05-11 00:00:00,2020.3606557,132,-1150486.09119,6080853.91982,1537596.43036,47,685044.8389,1553154.1392,14.043005729035,100.713616688057,-7.2602,22.9977
THAI133,THAI,2020-05-12 00:00:00,2020.3633880,133,-1150486.09055,6080853.91384,1537596.42821,47,685044.8394,1553154.1386,14.043005723325,100.713616692509,-7.2665,22.9914
THAI134,THAI,2020-05-13 00:00:00,2020.3661202,134,-1150486.09105,6080853.92471,1537596.43146,47,685044.8379,1553154.1391,14.043005728156,100.713616678331,-7.2553,23.0026
THAI135,THAI,2020-05-14 00:00:00,2020.3688525,135,-1150486.09498,6080853.91912,1537596.43109,47,685044.8428,1553154.1400,14.043005735403,100.713616723769,-7.2600,22.9979
THAI136,THAI,2020-05-15 00:00:00,2020.3715847,136,-1150486.08743,6080853.91565,1537596.42802,47,685044.8360,1553154.1381,14.043005719007,100.713616660997,-7.2654,22.9925
THAI137,THAI,2020-05-16 00:00:00,2020.3743169,137,-1150486.09072,6080853.91377,1537596.43008,47,685044.8396,1553154.1404,14.043005739774,100.713616694188,-7.2661,22.9918
THAI138,THAI,2020-05-17 00:00:00,2020.3770492,138,-1150486.09166,6080853.91667,1537596.43146,47,685044.8400,1553154.1410,14.043005745215,100.713616697744,-7.2628,22.9950
THAI139,THAI,2020-05-18 00:00:00,2020.3797814,139,-1150486.08808,6080853.91112,1537596.42987,47,685044.8375,1553154.1409,14.043005744714,100.713616674710,-7.2691,22.9887
THAI163,THAI,2020-06-11 00:00:00,2020.4453552,163,-1150486.09360,6080853.90947,1537596.42802,47,685044.8432,1553154.1393,14.043005729784,100.713616727754,-7.2702,22.9877
THAI164,THAI,2020-06-12 00:00:00,2020.4480874,164,-1150486.09501,6080853.90994,1537596.42375,47,685044.8445,1553154.1350,14.043005690726,100.713616739802,-7.2705,22.9874
THAI165,THAI,2020-06-13 00:00:00,2020.4508197,165,-1150486.09479,6080853.90945,1537596.42425,47,685044.8444,1553154.1356,14.043005696339,100.713616738617,-7.2709,22.9870
THAI166,THAI,2020-06-14 00:00:00,2020.4535519,166,-1150486.09348,6080853.90249,1537596.42248,47,685044.8444,1553154.1356,14.043005696319,100.713616738654,-7.2782,22.9797
THAI167,THAI,2020-06-15 00:00:00,2020.4562842,167,-1150486.09375,6080853.90990,1537596.42368,47,685044.8433,1553154.1350,14.043005690762,100.713616728431,-7.2708,22.9871
THAI168,THAI,2020-06-16 00:00:00,2020.4590164,168,-1150486.09095,6080853.90357,1537596.42358,47,685044.8417,1553154.1366,14.043005704692,100.713616713811,-7.2773,22.9805
THAI169,THAI,2020-06-17 00:00:00,2020.4617486,169,-1150486.09202,6080853.90511,1537596.42389,47,685044.8425,1553154.1364,14.043005703664,100.713616720933,-7.2756,22.9823
THAI171,THAI,2020-06-19 00:00:00,2020.4672131,171,-1150486.09411,6080853.91166,1537596.42857,47,685044.8433,1553154.1393,14.043005729722,100.713616728675,-7.2679,22.9900
THAI172,THAI,2020-06-20 00:00:00,2020.4699454,172,-1150486.09410,6080853.90746,1537596.42557,47,685044.8441,1553154.1374,14.043005712398,100.713616735769,-7.2726,22.9853
THAI173,THAI,2020-06-21 00:00:00,2020.4726776,173,-1150486.09800,6080853.91516,1537596.42532,47,685044.8465,1553154.1352,14.043005692078,100.713616758017,-7.2646,22.9933
THAI175,THAI,2020-06-23 00:00:00,2020.4781421,175,-1150486.09210,6080853.89905,1537596.42560,47,685044.8437,1553154.1395,14.043005731648,100.713616732114,-7.2810,22.9769
THAI176,THAI,2020-06-24 00:00:00,2020.4808743,176,-1150486.09193,6080853.90466,1537596.42750,47,685044.8425,1553154.1401,14.043005736286,100.713616720841,-7.2752,22.9827
THAI177,THAI,2020-06-25 00:00:00,2020.4836066,177,-1150486.09277,6080853.91092,1537596.42100,47,685044.8422,1553154.1322,14.043005665490,100.713616717731,-7.2706,22.9872
THAI178,THAI,2020-06-26 00:00:00,2020.4863388,178,-1150486.09534,6080853.90609,1537596.42412,47,685044.8456,1553154.1363,14.043005702143,100.713616749422,-7.2740,22.9839
THAI179,THAI,2020-06-27 00:00:00,2020.4890710,179,-1150486.09638,6080853.90448,1537596.42424,47,685044.8469,1553154.1368,14.043005706258,100.713616761691,-7.2753,22.9825
THAI180,THAI,2020-06-28 00:00:00,2020.4918033,180,-1150486.09398,6080853.91849,1537596.42534,47,685044.8419,1553154.1346,14.043005686730,100.713616715666,-7.2622,22.9957
THAI181,THAI,2020-06-29 00:00:00,2020.4945355,181,-1150486.09222,6080853.90810,1537596.42262,47,685044.8421,1553154.1345,14.043005685974,100.713616717623,-7.2730,22.9848
THAI183,THAI,2020-07-01 00:00:00,2020.5000000,183,-1150486.09500,6080853.90855,1537596.42694,47,685044.8448,1553154.1385,14.043005721749,100.713616742053,-7.2711,22.9868
THAI184,THAI,2020-07-02 00:00:00,2020.5027322,184,-1150486.09751,6080853.90559,1537596.42654,47,685044.8478,1553154.1387,14.043005723585,100.713616770002,-7.2735,22.9844
